# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Goals (minutes),Open BACK ODDS,SUCCESS,WON B/L
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,"1,33,42,93",1.8,0,0
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,"42,53,76",1.97,0,0
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,20,1.9,1,1
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,"4,23,87",1.9,0,0
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,"3,5,19,34",2.06,0,0
0,6,41733,WILLEM II,0,0,0,3.02,0,3,"3,34,68,90",1.56,0,0
1,7,41733,TEPLICE,0,PRIBRAM,0,3.71,1,4,84,1.84,1,1
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,"13,79,89",1.78,0,0
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,"4,60,61,76",1.71,2,0
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,"4,58,82",1.67,2,0
0,11,41734,AUGSBURG,0,1,0,3.13,1,4,31,1.7,3,1
0,12,41734,BREMEN,0,2,0,3.15,1,7,"15,33",1.6,2,1
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,"69,89",1.74,3,1
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,"39,57,66",1.95,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,"2,30,57,69,84,86,93",1.8,2,0
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,"17,27,42,86,87",1.72,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,"16,28,40,48,54",1.68,2,0
0,18,41734,PSG,0,REIMS,0,3.41,0,11,"43,48,89",1.69,2,0
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,"26,34,52",1.77,2,0
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,"43,65",1.76,2,1
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,"4,38,70",1.79,2,0
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,"11,22,25,60",1.73,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,"7,13,24,53,78,78,89",1.89,2,0
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,"14,33,54,66",2.06,2,0
0,25,41735,BASEL,0,3,0,3.03,1,13,0,1.69,3,1
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,"33,61,64",2.01,2,0
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,"44,47,71",1.7,2,0
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,"39,41,63,77",1.49,2,0
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,55,1.92,3,1
1,30,41736,3,0,4,0,3.99,1,8,"32,35",1.7,2,1
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,"37,42,56",1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,"14,35,62,72,85",1.7,2,0
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,"44,52,60,65",2.14,2,0
1,34,41736,METZ,0,5,0,3.23,0,6,"18,39,53",2.18,2,0
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,"9,32,67",1.85,2,0
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,"42,58",1.8,2,1
1,37,41740,BELUPO,0,6,0,3.19,0,6,"69,79,81",1.75,0,0
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,"16,18,36",1.97,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,"17,22,25,63,87",2.05,0,0
1,40,41740,TOURS,0,7,0,4.18,0,1,"15,86,92",1.75,0,0
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,"59,91",1.57,1,1
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,"17,38,58",1.79,0,0
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,"9,48,26",1.97,0,0
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,"12,89",1.69,1,1
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,"32,48,58,73",2.02,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,"13,25,27,34,48,85",1.67,0,0
1,47,41741,4,0,COVENTRY,0,3.72,1,4,6,1.82,1,1
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,"7,89",2.12,1,1
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,"21,52,64,81,94",1.76,0,0
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,"31,34,51",1.99,0,0
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,"19,89,93",1.64,0,0
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,"85,89",1.83,1,1
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,0,2.14,1,1
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,"30,82",1.86,1,1
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,"24,34,59,76,85",1.92,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,"6,26,57,62,78",2.48,0,0
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,"46,82",1.76,1,1
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,"29,64,68",1.98,0,0
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,88,1.63,1,1
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,"70,94",2.18,1,1
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,"53,74,75,84,91",2.0,0,0
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,"34,83,90",2.04,0,0
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,0,2.14,1,1
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,41,2.44,1,1
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,"16,25,70",1.67,0,0
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,"5,8,17,28",2.4,0,0
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,"10,34",1.86,0,1
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,"6,15,27,45,60",1.86,0,0
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,"49,59",1.74,0,1
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,"9,37,68",2.06,0,0
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,"70,82,88",1.6,0,0
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,"6,19",2.14,0,1
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,"2,13,20,29,68",1.74,0,0
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,"13,30,86",1.8,0,0
1,75,41747,2,0,TRANMERE,0,3.31,1,8,"78,93",1.82,1,1
1,76,41747,NIMES,0,5,0,3.53,1,4,67,1.98,1,1
1,77,41747,TROYES,0,7,0,3.48,0,5,"20,30,70",1.68,0,0
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,"34,37,48, 62",1.7,0,0
1,79,41748,AC MILAN,0,4,0,3.39,0,11,"43,51,84",1.65,0,0
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,"75,86",1.47,1,1
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,2,1.76,1,1
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,"33,68,90,91",1.74,0,0
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,"18,22,45",1.74,0,0
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,"17,52,66 (NOT IN PLAY)",1.7,1,0
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,"11,18,80",1.7,0,0
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,"2,42,49,58",1.7,0,0
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,63,1.7,1,1
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,"35,59,74,92",2.12,0,0
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,"27,73,81",2.06,0,0
1,90,41749,HORSENS,0,AB,0,3.79,1,13,0,1.75,1,1
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,"12,25,43,51",1.73,0,0
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,"11,15,37",1.77,0,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,"23,54,59,69",1.76,0,0
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,"39,70",2.16,1,1
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,"10,20,24,48,63,84",1.82,0,0
1,96,41750,ROTHERHAM,0,8,0,3.68,1,4,79,1.75,1,1
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,"31,52,56,66",1.79,0,0
1,98,41750,ATHLONE,0,DUNDALK,0,5.32,1,2,94,1.6,1,1
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,"53,67,84",1.9,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,"28,50,62,64,90",1.47,0,0
