# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Goals (minutes),Open BACK ODDS,SUCCESS,WON B/L
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,1,1.8,0,0
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,33,1.8,0,0
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,42,1.8,0,0
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,93,1.8,0,0
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,42,1.97,0,0
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,53,1.97,0,0
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,76,1.97,0,0
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,20,1.9,1,1
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,4,1.9,0,0
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,23,1.9,0,0
0,4,41733,UJPEST,0,FERENCVAROS,0,3.43,0,1,87,1.9,0,0
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,3,2.06,0,0
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,5,2.06,0,0
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,19,2.06,0,0
0,5,41733,CRETEIL,0,LAVAL,0,3.14,0,Apr-00,34,2.06,0,0
0,6,41733,WILLEM II,0,0,0,3.02,0,3,3,1.56,0,0
0,6,41733,WILLEM II,0,0,0,3.02,0,3,34,1.56,0,0
0,6,41733,WILLEM II,0,0,0,3.02,0,3,68,1.56,0,0
0,6,41733,WILLEM II,0,0,0,3.02,0,3,90,1.56,0,0
1,7,41733,TEPLICE,0,PRIBRAM,0,3.71,1,4,84,1.84,1,1
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,13,1.78,0,0
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,79,1.78,0,0
0,8,41733,HEIST,0,WESTERLO,0,3.47,0,5,89,1.78,0,0
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,4,1.71,2,0
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,60,1.71,2,0
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,61,1.71,2,0
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,76,1.71,2,0
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,4,1.67,2,0
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,58,1.67,2,0
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,82,1.67,2,0
0,11,41734,AUGSBURG,0,1,0,3.13,1,4,31,1.7,3,1
0,12,41734,BREMEN,0,2,0,3.15,1,7,15,1.6,2,1
0,12,41734,BREMEN,0,2,0,3.15,1,7,33,1.6,2,1
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,69,1.74,3,1
0,13,41734,VFB STUTTGART,0,FREIBURG,0,3.21,1,8,89,1.74,3,1
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,39,1.95,2,0
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,57,1.95,2,0
0,14,41734,COVENTRY,0,MK DONS,0,3.57,0,1,66,1.95,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,2,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,30,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,57,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,69,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,84,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,86,1.8,2,0
0,15,41734,2,0,ROTHERHAM,0,3.29,0,4-Mar,93,1.8,2,0
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,17,1.72,2,0
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,27,1.72,2,0
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,42,1.72,2,0
