Thematic,Milestones,Status,Need for Technical Assistance?,Financial Support needed,Priority,Supporting Attachment (to be uploaded in the specified link),Indicator it corresponds to
0,Plan,0,0,0,0,0,A
0,Structure + Membership,0,0,0,0,0,0
0,Training + Capacity Building,0,0,0,0,0,D
0,Training + Capacity Building,0,0,0,0,0,E
0,Training + Capacity Building,0,0,0,0,0,F
0,Tools,0,0,0,0,0,1
0,Implement Oversight activities (over a period of 6 months at least),0,0,0,0,0,D
1,Plan composition (number and repartition),0,0,0,0,0,2
1,Formal decision to renew composition and membership by CCM,0,0,0,0,0,2
1,Membership Renewal Calendar,0,0,0,0,0,2
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,G
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,H
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,I
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,K
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,P
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,J
1,Implementation of renewal (including constituency mobilization),0,0,0,0,0,M
1,0,0,0,0,0,0,2
2,Policy developped and endorsed by CCM,0,0,0,0,0,N
2,Implementation (including signature of COI forms),0,0,0,0,0,3
2,0,0,0,0,0,0,3
3,Organogram and Terms of Reference,0,0,0,0,0,0
3,Conduct Structural reform,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,Government Sector,0,0,0,0,0,1
4,Partners,0,0,0,0,0,1
4,Civil Society and Private Sector,0,0,0,0,0,1
5,Communication Plan,0,0,0,0,0,L
5,Implementation of Communication Plan,0,0,0,0,0,F
5,Implementation of Communication Plan,0,0,0,0,0,C
