Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Contract Comment,Districts,Prime
3531 TRUCKING,43.0,660000.0,0.0,1.0,C.A.RASMUSSEN INC,08-0P3904,"4,8",1.0
A & M CONSULTING ENGINEERS,-4142.0,190800.0,0.0,10.0,"GHILOTTI BROS., INC.        
GOLDEN STATE BRIDGE, INC.
O.C. JONES & SONS INC
Q&D CONSTRUCTION LLC","03-4F8404
03-3F5504
03-0H4704
04-270104
04-2J5404
04-3G6904
04-4G5604
04-OK8404
04-2J1004
04-4K1104","3, 4",4.0
ABSL CONSTRUCTION,-4142.0,4918680.5,0.0,35.0,"AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC
BAY CITIES PAVING & GRADING, INC.
BALDWIN CONTRACTING COMPANY
BRIDGEWAY CIVIL CONSTRUCTORS, INC
CALPORTLAND COMPANY
COFFMAN SPECIALTIES
DESILVA GATES CONSTRUCTION
FLATIRON WEST INC
GEORGE REED INC
GHILOTTI BROTHERS INC
GHILOTTI CONSTRUCTION COMPANY INC
GORDON N. BALL, INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY 
HAT CREEK CONSTRUCTION & MATERIALS, INC.
LAMON CONSTRUCTION CO INC
M.C.M. CONSTRUCTION INC
O.C. JONES & SONS, INC.
TEICHERT CONSTRUCTION


","10-1E3504
01-0A0404
04-1J3704
08-0K2934
05-1C6504
05-1F7604
04-3J9004
03-2F3204
10-0L0204
06-394604
01-0H3604
02-4H2004
04-151614
04-4G1134
05-0A0504
05-1A0004
10-1C2904
03-2G3404
04-2J1004
04-4G8404
05-1C2504
05-1C85U4
05-1K3304
06-0T2104
03-1F1904
03-0H5104
04-4G3804
04-4K1104
10-1H4704","1,3,4,5,6,8,10",17.0
ALL STATE TRUCKING,43.0,658690.0,0.0,3.0,SEMA CONSTRUCTION INC,"06-0S5504
07-312604
08-0F0304","6,7,8",1.0
"ANCO IRON & CONSTRUCTION, INC.",-4142.0,1206045.56,0.0,1.0,"GOLDEN STATE BRIDGE, INC.
","03-3F5504
",3,1.0
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC","06-0Q2804
04-3J9004
06-0H2004
06-0P9004
04-4G8804
04-4H0804
05-0A0504
07-4W0804
10-1C2904
04-3G6904
05-1F75U4
06-0S5504
06-0Q19A4
06-0T2104
04-1A6834
04-4G3804
06-470904
04-1A6834
04-4G3804
06-470904
05-1F7404








","4, 5, 6, 7, 10",15.0
AVISION CONSTRUCTION INC,-4142.0,374132.19,0.0,1.0,AVISION CONSTRUCTION INC,06-0V9804,6,1.0
BARGAS ENVIRONMENTAL CONSULTING,-4142.0,189900.0,1.0,3.0,"C. A. RASMUSSEN, INC.     
ORTIZ ENTERPRISES, INC.   
SULLY-MILLER CONTRACTING COMPANY
","08-0N9724
08-0P3904
08-0Q1204",8,3.0
BLANCO CONSTRUCTION,-4142.0,5693130.0,0.0,3.0,"AUTOBAHN CONSTRUCTION INC
J. MCLOUGHLIN ENGINEERING CO INC","08-1E5504
08-1E5604
08-0Q75U4",8,2.0
CENTRAL COAST TRAFFIC SAFETY,-4142.0,113189.06,0.0,2.0,"BRIDEWAY CIVIL CONSTRUCTORS INC
R. BURKE CORPORATION","05-1C3704
05-1G7504",5,2.0
CHAVEZ TRUCKING,43.0,1834360.73,1.0,6.0,"BAY CITIES PAVING & GRADING, INC.
DESILVA GATES CONSTRUCTION 
GHILOTTI CONSTRUCTION COMPANY
O.C. JONES & SONS INC","04-4J2814
04-4G1134
04-270104
04-4G5604
04-2J1004
04-4G3804",4,4.0
CLAY MIRANDA TRUCKING,43.0,403200.0,1.0,1.0,TEICHERT CONSTRUCTION,06-394604,6,1.0
"CONSTRUCTION AREA SIGNS, INC.",33.0,453400.16,1.0,3.0,"FLATIRON WEST INC
O.C. JONES & SONS
ROAD AND HIGHWAY BUILDERS LLC
SEMA CONSTRUCTION INC","03-0H4704
03-2F3404
03-4F6004","3,8",4.0
CONTERA CONSTRUCTION CORPORATION,-4142.0,3167532.8,0.0,2.0,"OHL USA
ORTIZ ENTERPRISES INC","05-1F75U4
08-0Q1204","5, 8",2.0
D.B. ELECTRIC INC,-4142.0,407510.0,0.0,3.0,"BAY CITIES PAVING & GRADING, INC.
COFFMAN SPECIALTIES
SEMA CONSTRUCTION","08-0K2934
04-4G1134
08-0F0304","4, 8",3.0
DON MAHAFFEY DRILLING COMPANY,-4142.0,2427504.0,1.0,2.0,"FLATIRON WEST, INC.","11-430184
08-0F0304",11,1.0
DOUBLE M TRUCKING,43.0,1106520.0,0.0,4.0,"O.C. JONES & SONS INC
TEICHERT CONSTRUCTION","03-2F9804
04-4G5604
04-2J1004
03-1F1904","3,4",2.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
","06-0Q2804
05-1C6504
05-1F7604
06-394604
01-0H3604
02-0H4504
05-1A0004
05-1F75U4
05-1C2504
06-0T2104
04-1A6834
04-4K1104
06-470904
11-2N0214","1,2,4,5,6,11",9.0
DRS REBAR INC,-4142.0,2028803.45,0.0,5.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION INC
ORTIZ ENTERPRISES INC.
SECURITY PAVING COMPANY INC","07-275104
07-312204
08-0Q1204
08-0N6704
12-0C1104","7, 8,12",4.0
EAGLE ROCK INDUSTRIES,-4142.0,9828650.0,0.0,1.0,0,"05-1C8904
",5,1.0
EIGHTEEN TRUCKING COMPANY,43.0,115000.0,1.0,2.0,GORDON N. BALL INC,"04-2J5404
04-4G8404",4,1.0
