OCCUPATION,ALL,PHONE,EMAIL
Appraiser,88626,61034,25336
Architect,98805,70981,25647
Army Credit Union Trades,150399,95307,49473
Auditor,15769,11233,4810
Auto Mechanic,9686,6471,2683
Baker,8633,5419,2312
Banker,19140,12301,5936
Bartender,13462,7804,3713
Bookkeeper,58578,40627,16169
Broker,1461924,885050,536957
Stock,1461924,885050,536957
Trader,1461924,885050,536957
Cashier,75359,44031,22157
Chemist,9510,7209,2866
Chiropractor,39659,24155,9589
Clerk,933489,655004,308384
Computer Programmer,25571,18518,8043
Construction,297600,196855,74119
Cosmetologist,1069332,635772,276644
Counselor,68536,44331,18165
Dental Assistant,67465,40366,17832
Dental Hygienist,109197,75587,27502
Dentist,168562,116581,43142
Designer,17946,12555,4956
Detective,14630,9320,4151
Investigator,14630,9320,4151
Dietician,34120,24042,8306
Driver,21043,13480,6142
Bus Driver,21043,13480,6142
Driver,90047,58143,22641
Truck Driver,90047,58143,22641
Editor,8920,6392,2459
Electrician,189399,130533,50056
Engineer,518782,381961,135264
Engineer,9084,6430,2625
Electrical,9084,6430,2625
Electronic,9084,6430,2625
Farmer,631103,502191,112994
Dairyman,631103,502191,112994
Firefighter,26537,19398,7934
Gardener,15845,10532,3931
Landscaper,15845,10532,3931
Geologist,9418,7050,2313
Housekeeper,32839,19800,7454
Maid,32839,19800,7454
Insurance,1119009,729472,325327
Agent,1119009,729472,325327
Interior Designer,8211,6082,2056
Laborer,2409498,1423065,716736
Legal Secretary,11059,7836,3313
Legal,362136,266498,91464
Attorney,362136,266498,91464
Lawyer,362136,266498,91464
Legal,17335,11441,4940
Paralegal,17335,11441,4940
Assistant,17335,11441,4940
Librarian,11134,8352,2797
Archivist,11134,8352,2797
Machinist,56651,38777,15235
Manager,602945,419233,206784
Marketing Manager,602945,419233,206784
Manager,8059,5916,2195
Plant Manager,8059,5916,2195
Manager,42126,30048,12519
Sales Manager,42126,30048,12519
Mechanic,240457,157024,65002
Medical Assistant,30459,18751,8111
Medical Doctor,627895,423018,155423
Physician,627895,423018,155423
Medical Secretary,18373,10954,5112
Medical Technician,18926,13286,5590
Medical,20277,13228,5909
Paramedic,20277,13228,5909
Musician,7982,5542,2268
Music,7982,5542,2268
Dance,7982,5542,2268
Navy Credit Union Trades,187077,136257,54752
Nurse,70247,40371,19606
Nurse (Registered),3139173,2032183,997629
Nurse,492778,310678,145568
LPN,492778,310678,145568
Nurses Aide,442504,233724,132211
Orderly,442504,233724,132211
Optician,19469,13285,5429
Optometrist,10357,7257,2526
Pastor,58078,44084,16021
Pharmacist,323188,221279,89315
Pharmacy,323188,221279,89315
Photography,8009,5345,2334
Pilot,269477,175711,65344
Plumber,107519,70946,26110
Police,31859,20925,8686
Trooper,31859,20925,8686
Press Operator,15261,10327,4303
Professor,24768,19548,6184
Psychologist,111699,70445,30208
Real Estate,1448054,921666,407162
Realtor,1448054,921666,407162
Researcher,8591,5924,2262
Scientist,20412,14738,5729
Security,193890,95904,58247
Shipping,23787,14861,6568
Import,23787,14861,6568
Export,23787,14861,6568
Custom,23787,14861,6568
Social Worker,271048,179330,69684
Case Worker,271048,179330,69684
Surveyor,22811,16295,5607
Teacher,358047,270323,99511
Technician,115610,77503,34553
Technician,44258,30328,13282
Lab,44258,30328,13282
Technician,25097,16565,7141
X-ray,25097,16565,7141
Teller,43859,29058,12065
Bank Teller,43859,29058,12065
Therapist,68945,46799,19134
Therapists,278878,187396,70644
Physical,278878,187396,70644
Veterinarian,47372,30070,10301
Welder,41444,26616,10211
