Desc,ID,Size,Price,Colors
Hic,S4162,0,32.66,Yellow
Hic,S4162,0,32.66, Green
Hic,S4162,0,32.66, Blue
Det,F4478,0,86.32,Green
Det,F4478,0,86.32, Black
Det,F4478,0,86.32, Red
Wum,N9551,1,56.75,0
Nef,G4058,2,16.85,Green
Nef,G4058,2,16.85, Black
Nef,G4058,2,16.85, Blue
Nef,G4058,2,16.85, Yellow
Kid,M4124,3,35.4,Blue
Kid,M4124,3,35.4, Red
Kid,M4124,3,35.4, Green
Moc,D6429,3,38.34,Green
Moc,D6429,3,38.34, Black
Teb,D6219,0,92.6,Black
Teb,D6219,0,92.6, Blue
Goh,N6858,3,24.81,Blue
Goh,N6858,3,24.81, Red
Nup,D3028,2,13.62,1
Dar,P5336,2,94.3,Black
Dar,P5336,2,94.3, Yellow
Dar,P5336,2,94.3, Green
Dar,P5336,2,94.3, Red
Sep,H5408,0,46.42,2
Keg,K1919,1,65.67,Blue
Keg,K1919,1,65.67, Red
Keg,K1919,1,65.67, Green
Keg,K1919,1,65.67, Black
Huc,S3840,2,25.32,Yellow
Huc,S3840,2,25.32, Black
Huc,S3840,2,25.32, Green
Luh,N5050,0,18.57,Blue
Luh,N5050,0,18.57, Yellow
Luh,N5050,0,18.57, Red
Vof,D5368,0,89.03,Blue
Vof,D5368,0,89.03, Red
Vof,D5368,0,89.03, Yellow
Rif,P8966,2,29.97,0
Pav,H1756,2,30.42,Red
Pav,H1756,2,30.42, Yellow
Pav,H1756,2,30.42, Black
Leg,F3006,1,10.15,Red
Leg,F3006,1,10.15, Green
Leg,F3006,1,10.15, Black
Leg,F3006,1,10.15, Blue
Nif,M2228,2,22.27,Yellow
Nif,M2228,2,22.27, Blue
Pec,B2448,1,47.69,1
Dut,F2709,1,53.46,Yellow
Dut,F2709,1,53.46, Black
Viv,N5044,2,32.05,Black
Bov,H4912,0,13.88,Red
Bov,H4912,0,13.88, Green
Fes,J2948,2,55.84,Yellow
Fes,J2948,2,55.84, Red
Fes,J2948,2,55.84, Blue
Len,N3316,1,84.06,2
Deh,F7804,2,39.13,Black
Deh,F7804,2,39.13, Yellow
Deh,F7804,2,39.13, Green
Juc,N9050,2,82.26,Blue
Juc,N9050,2,82.26, Black
Juc,N9050,2,82.26, Red
Fik,K4149,2,79.77,Red
Fik,K4149,2,79.77, Black
Hag,T4758,2,33.37,Blue
Hag,T4758,2,33.37, Green
Sav,J7355,0,98.53,0
