Column1,Aliases,"Hardy
Through
Zone",Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-
Annual ryegrass,Italian ryegrass,6,1,1,3,3,1,0,6.5,0.5
Barley,,0,0,3,2,1,3,0,7.25,1.25
Oats,spring oats,8,1,1,1,2,2,0,6.0,1.5
Cereal rye,winter or grain rye,3,1,3,3,2,4,0,6.0,1.0
Wheat,,4,2,2,2,0,2,0,6.75,0.75
Buckwheat,,1,1,0,1,1,1,1,6.0,1.0
Sorghum–sudangrass,Sudax,1,2,4,2,2,2,0,6.5,0.5
Mustards,"brown, oriental, white, yellow",0,1,3,2,1,1,0,6.5,1.0
Radish,"oilseed, Daikon, forage",6,2,1,2,1,2,0,6.75,0.75
Rapeseed,"rape, canola",0,3,2,2,1,1,0,6.75,1.25
Berseem clover,"Bigbee, multicut",7,3,2,3,2,2,1,6.6,0.4
Cowpeas,"crowder peas, southern peas",1,2,3,2,1,4,2,6.0,0.5
Crimson clover,,0,1,1,3,1,2,0,6.75,1.25
Field peas,"winter peas, black peas",0,3,2,1,1,1,2,6.5,0.5
Hairy vetch,winter vetch,2,1,2,2,1,1,2,6.5,1.0
Medics,,2,2,3,3,1,2,3,6.5,0.5
Red clover,,2,1,1,3,2,1,0,6.6,0.4
Subterranean clover,subclover,0,1,3,3,2,4,3,6.25,0.75
Sweetclovers,,2,0,4,1,1,4,0,7.0,0.25
White clover,white dutch ladino,2,1,2,3,3,2,3,6.5,0.5
Woollypod vetch,Lana,0,3,3,2,2,3,Semi-prostrate,7.0,1.0
