original_title,title_length,production_companies
Jurassic World,14,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu"
Mad Max: Fury Road,18,"Village Roadshow Pictures, Kennedy Miller Productions"
Insurgent,9,"Summit Entertainment, Mandeville Films, Red Wagon Entertainment, NeoReel"
Star Wars: The Force Awakens,28,"Lucasfilm, Truenorth Productions, Bad Robot"
Furious 7,9,"Universal Pictures, Original Film, Media Rights Capital, Dentsu, One Race Films"
The Revenant,12,"Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures"
Terminator Genisys,18,"Paramount Pictures, Skydance Productions"
The Martian,11,"Twentieth Century Fox Film Corporation, Scott Free Productions, Mid Atlantic Films, International Traders, TSG Entertainment"
Minions,7,"Universal Pictures, Illumination Entertainment"
Inside Out,10,"Walt Disney Pictures, Pixar Animation Studios, Walt Disney Studios Motion Pictures"
Spectre,7,"Columbia Pictures, Danjaq, B24"
Jupiter Ascending,17,"Village Roadshow Pictures, Dune Entertainment, Anarchos Productions, Warner Bros."
Ex Machina,10,"DNA Films, Universal Pictures International (UPI), Film4"
Pixels,6,"Columbia Pictures, Happy Madison Productions"
Avengers: Age of Ultron,23,"Marvel Studios, Prime Focus, Revolution Sun Studios"
The Hateful Eight,17,"Double Feature Films, The Weinstein Company, FilmColony"
Taken 3,7,"Twentieth Century Fox Film Corporation, M6 Films, Canal+, EuropaCorp, CinÃ©+"
Ant-Man,7,Marvel Studios
Cinderella,10,"Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions"
The Hunger Games: Mockingjay - Part 2,37,"Studio Babelsberg, StudioCanal, Lionsgate, Walt Disney Studios Motion Pictures, Color Force"
Tomorrowland,12,"Walt Disney Pictures, Babieka, A113"
Southpaw,8,"Escape Artists, Riche-Ludwig Productions"
San Andreas,11,"New Line Cinema, Village Roadshow Pictures, Warner Bros., Flynn Picture Company"
Fifty Shades of Grey,20,"Focus Features, Trigger Street Productions, Michael De Luca Productions"
The Big Short,13,"Paramount Pictures, Plan B Entertainment, Regency Enterprises"
Mission: Impossible - Rogue Nation,34,"Paramount Pictures, Skydance Productions, China Movie Channel, Bad Robot, TC Productions"
Ted 2,5,"Universal Pictures, Media Rights Capital, Fuzzy Door Productions"
Kingsman: The Secret Service,28,"Twentieth Century Fox Film Corporation, Marv Films, TSG Entertainment, Cloudy Productions"
Spotlight,9,"Participant Media, Open Road Films, Anonymous Content, Rocklin / Faust, Entertainment One Features"
Maze Runner: The Scorch Trials,30,"Gotham Group, Temple Hill Entertainment, TSG Entertainment"
Chappie,7,"Columbia Pictures, Media Rights Capital, Sony Pictures Entertainment (SPE), Alpha Core, Genre Films"
Pitch Perfect 2,15,"Universal Pictures, Gold Circle Films, Brownstone Productions"
Bridge of Spies,15,"DreamWorks SKG, Amblin Entertainment, Studio Babelsberg, Fox 2000 Pictures, Marc Platt Productions"
Goosebumps,10,"Columbia Pictures, Original Film, Scholastic Entertainment"
Room,4,"Element Pictures, No Trace Camping, A24, Duperele Films"
The Good Dinosaur,17,"Walt Disney Pictures, Pixar Animation Studios, Buena Vista"
Run All Night,13,"Vertigo Entertainment, Energy Entertainment, RatPac-Dune Entertainment"
Brooklyn,8,"Wildgaze Films, Irish Film Board, Item 7, Parallel Film Productions"
Straight Outta Compton,22,"New Line Cinema, Universal Pictures, Legendary Pictures, Cube Vision, Broken Chair Flickz"
The Last Witch Hunter,21,"Summit Entertainment, Atmosphere Entertainment MM, One Race Films, Goldmann Pictures, NeoReel"
The Man from U.N.C.L.E.,23,"Davis Entertainment, Warner Bros., Wigram Productions, RatPac-Dune Entertainment"
The Age of Adaline,18,"Lakeshore Entertainment, Sidney Kimmel Entertainment, Sierra/Affinity"
Hardcore Henry,14,"Bazelevs Production, Versus Pictures"
Home,4,"Twentieth Century Fox Film Corporation, DreamWorks Animation"
Paper Towns,11,Fox 2000 Pictures
Carol,5,"Killer Films, Film4, Number 9 Films"
The Intern,10,"Waverly Films, Warner Bros."
Everest,7,"Universal Pictures, Working Title Films, Walden Media, Cross Creek Pictures, Free State Pictures"
Point Break,11,"Studio Babelsberg, Alcon Entertainment, DMG Entertainment, Ehman Productions"
Burnt,5,"Double Feature Films, PeaPie Films, 3 Arts Entertainment"
Self/less,9,"Endgame Entertainment, Ram Bergman Productions"
Mortdecai,9,"Lionsgate, Mad Chance, OddLot Entertainment, Huayi Brothers Media"
The Danish Girl,15,"Pretty Pictures, Working Title Films, ArtÃ©mis Productions, Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique, Taxshelter. be"
Blackhat,8,"Universal Pictures, Forward Pass, Legendary Pictures"
Sicario,7,"Lionsgate, Thunder Road Pictures, Black Label Media"
Fantastic Four,14,"Twentieth Century Fox Film Corporation, Marv Films, Marvel Entertainment, Constantin Film., Moving Picture Company (MPC)"
Spy,3,"Twentieth Century Fox Film Corporation, Chernin Entertainment, Feigco Entertainment"
Focus,5,"Kramer & Sigman Films, RatPac-Dune Entertainment, Zaftig Films"
Hitman: Agent 47,16,"Twentieth Century Fox Film Corporation, Fox International Productions, Infinite Frameworks Studios, TSG Entertainment"
In the Heart of the Sea,23,"Imagine Entertainment, Spring Creek Productions, Warner Bros., Roth Films, K. JAM Media"
Creed,5,"New Line Cinema, Warner Bros., Metro-Goldwyn-Mayer (MGM), Chartoff-Winkler Productions"
Trainwreck,10,"Universal Pictures, Fuji Television Network, Dentsu, Apatow Productions"
Eye in the Sky,14,"Entertainment One, Moonlighting Films, Raindog Films"
Legend,6,"Working Title Films, Cross Creek Pictures, Anton Capital Entertainment (ACE)"
Pan,3,"Warner Bros., Moving Picture Company (MPC), Berlanti Productions, RatPac-Dune Entertainment"
The Peanuts Movie,17,"Blue Sky Studios, Twentieth Century Fox Animation, Feigco Entertainment"
Concussion,10,"Village Roadshow Pictures, Scott Free Productions, LStar Capital, The Cantillon Company, The Shuman Company"
The Night Before,16,"Sony Pictures, Point Grey Pictures, Good Universe"
The Longest Ride,16,"Fox 2000 Pictures, Temple Hill Entertainment"
Hotel Transylvania 2,20,"Columbia Pictures, Sony Pictures Animation"
Love the Coopers,16,"Imagine Entertainment, Groundswell Productions, CBS Films"
The Walk,8,"TriStar Pictures, Sony Pictures Entertainment, ImageMovers"
Vacation,8,"New Line Cinema, BenderSpink, David Dobkin Productions"
Poltergeist,11,"Ghost House Pictures, Vertigo Entertainment, Metro-Goldwyn-Mayer (MGM), TSG Entertainment"
Child 44,8,"Summit Entertainment, Scott Free Productions, Worldview Entertainment"
The Gift,8,"Blumhouse Productions, Blue-Tongue Films, STX Entertainment, Ahimsa Films"
Daddy's Home,12,"Paramount Pictures, Gary Sanchez Productions, Good Universe, Red Granite Pictures"
The Little Prince,17,"Onyx Films, Orange Studios, CityMation, On Entertainment, Zippcast Films"
The Dressmaker,14,"Amazon Studios, Film Art Media, Apollo Media"
The DUFF,8,"Wonderland Sound and Vision, CBS Films, Vast Entertainment"
Sinister 2,10,"Alliance Films, Blumhouse Productions, IM Global, Automatik Entertainment, Entertainment One"
Paul Blart: Mall Cop 2,22,"Columbia Pictures, Happy Madison Productions, Sony Pictures Releasing, Sony Pictures Home Entertainment, Sony Pictures Entertainment (SPE)"
Entourage,9,"Warner Bros., Closest to the Hole Productions"
The Wedding Ringer,18,"Miramax Films, Screen Gems, LStar Capital"
The Visit,9,"Blumhouse Productions, Blinding Edge Pictures"
Black Mass,10,"Infinitum Nihil, Head Gear Films, Cross Creek Pictures, Free State Pictures, RatPac-Dune Entertainment"
Krampus,7,"Universal Pictures, Legendary Pictures"
No Escape,9,"Bold Films, Living Films, Brothers Dowdle Productions"
Woman in Gold,13,"BBC Films, Origin Pictures"
Sisters,7,Little Stranger
Project Almanac,15,"Paramount Pictures, MTV Films, Platinum Dunes, Insurge Pictures"
The Transporter Refueled,24,EuropaCorp
Crimson Peak,12,Legendary Pictures
Magic Mike XXL,14,"Warner Bros., Iron Horse Entertainment (II)"
Paranormal Activity: The Ghost Dimension,40,"Paramount Pictures, Blumhouse Productions"
Trumbo,6,"Groundswell Productions, Inimitable Pictures, ShivHans Pictures"
Secret in Their Eyes,20,"Ingenious Media, Gran Via Productions, IM Global, Route One Films"
The SpongeBob Movie: Sponge Out of Water,40,"Paramount Pictures, Nickelodeon Movies, Nickelodeon Animation Studios, United Plankton Pictures, Disruption Entertainment"
Max,3,"Sunswept Entertainment, Warner Bros., Metro-Goldwyn-Mayer (MGM)"
The Gunman,10,"StudioCanal, Silver Pictures, TF1 Films Production, Canal+, Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA)"
Hot Pursuit,11,"New Line Cinema, Warner Bros., Metro-Goldwyn-Mayer (MGM), Pacific Standard"
Insidious: Chapter 3,20,Sony Pictures
The Lady in the Van,19,"BBC Films, TriStar Productions"
Victor Frankenstein,19,"Twentieth Century Fox Film Corporation, Davis Entertainment, Moving Picture Company (MPC), TSG Entertainment"
Ricki and the Flash,19,"Columbia TriStar, Clinica Estetico, LStar Capital"
The Perfect Guy,15,Screen Gems
While We're Young,17,"Scott Rudin Productions, A24"
Get Hard,8,"Gary Sanchez Productions, Warner Bros."
Suffragette,11,"Ruby Films, PathÃ©, Film4"
We Are Your Friends,19,Working Title Films
Little Boy,10,Metanoia Films
Aloha,5,"Columbia Pictures, Vinyl Films, Regency Enterprises, Sony Pictures Entertainment (SPE), RatPac Entertainment"
Our Brand Is Crisis,19,"Participant Media, Smokehouse Pictures"
Rock the Kasbah,15,"Shangri-La Entertainment, QED International, Dune Films, Venture Forth"
A Walk in the Woods,19,"Wildwood Enterprises, Route One Films"
