city,cuisine_style,ranking,rating,reviews_number
Paris,"European, French, International",5570.0,3.5,194.0
Stockholm,unknown,1537.0,4.0,10.0
London,"Japanese, Sushi, Asian, Grill, Vegetarian Friendly, Vegan Options, Gluten Free Options",353.0,4.5,688.0
Berlin,unknown,3458.0,5.0,3.0
Munich,"German, Central European, Vegetarian Friendly",621.0,4.0,84.0
Oporto,unknown,1419.0,3.0,2.0
Milan,"Italian, Pizza",1722.0,4.0,50.0
Bratislava,Italian,826.0,3.0,9.0
Vienna,unknown,2692.0,4.0,
Rome,"Italian, Pizza, Fast Food",4210.0,4.0,55.0
Barcelona,unknown,6579.0,3.0,6.0
London,"Italian, Pizza, Vegetarian Friendly",5321.0,4.0,42.0
London,"Italian, Pizza, Vegetarian Friendly, Gluten Free Options",4073.0,3.5,286.0
Berlin,"Vegetarian Friendly, Gluten Free Options",4639.0,4.5,10.0
Madrid,"Mediterranean, Spanish, Healthy",4776.0,4.0,7.0
Dublin,Cafe,1405.0,4.0,28.0
Berlin,"Japanese, Asian, Thai, Vietnamese",5259.0,4.0,3.0
London,"Bar, Pub",11131.0,4.5,7.0
Berlin,German,3129.0,4.0,12.0
Brussels,Chinese,2792.0,3.0,12.0
Munich,"German, Vegetarian Friendly",370.0,5.0,27.0
Madrid,unknown,5847.0,4.0,
London,"Bar, British, Pub",13026.0,3.5,52.0
Zurich,"Asian, Thai, Vegetarian Friendly, Gluten Free Options, Vegan Options",73.0,4.0,371.0
London,"Cafe, British",14984.0,3.0,18.0
Warsaw,"Polish, International, European, Fusion",1077.0,5.0,2.0
Madrid,unknown,2765.0,5.0,11.0
Budapest,unknown,2109.0,3.5,2.0
Paris,unknown,10059.0,4.5,4.0
Madrid,unknown,8356.0,2.5,16.0
Copenhagen,unknown,1846.0,3.0,16.0
Amsterdam,"Dutch, European",2011.0,4.5,15.0
Budapest,unknown,1328.0,5.0,
Lyon,Vietnamese,2435.0,3.0,4.0
Rome,"Italian, Pizza",2428.0,4.5,69.0
Madrid,"Italian, Mexican, Venezuelan, South American",2047.0,4.5,20.0
Milan,Italian,5845.0,3.0,104.0
Rome,"Japanese, Sushi, Asian",5210.0,5.0,2.0
Paris,French,11293.0,4.5,10.0
Milan,unknown,3133.0,4.0,7.0
Madrid,"Bar, Cafe, Mediterranean, Pub",2713.0,4.5,9.0
Paris,"Asian, Thai, Vegetarian Friendly",5460.0,3.5,132.0
Hamburg,"Soups, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",165.0,4.5,73.0
Paris,Pub,9926.0,3.5,39.0
Lisbon,Japanese,2195.0,4.0,7.0
London,Pizza,11955.0,4.0,3.0
Madrid,Italian,8467.0,2.0,4.0
Brussels,"Belgian, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",76.0,4.0,484.0
Barcelona,"Cafe, Mediterranean, Spanish, Vegetarian Friendly",2099.0,4.0,41.0
Paris,"French, European, Vegetarian Friendly",1049.0,4.5,281.0
Copenhagen,"Chinese, Fast Food",1912.0,2.5,9.0
London,unknown,10151.0,4.0,5.0
Paris,"French, Vietnamese",9233.0,4.0,25.0
Dublin,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",280.0,4.0,257.0
Amsterdam,"Steakhouse, Latin, Barbecue, European, Argentinean, South American, Vegetarian Friendly",156.0,4.5,482.0
Prague,Cafe,2628.0,4.5,4.0
Lyon,Italian,1586.0,4.0,25.0
Madrid,unknown,5513.0,4.5,6.0
Milan,"Japanese, Sushi, Vegetarian Friendly",548.0,4.0,554.0
Paris,unknown,10034.0,4.5,2.0
London,unknown,8764.0,4.5,4.0
Warsaw,unknown,1622.0,4.0,2.0
Barcelona,Spanish,3663.0,4.0,26.0
Budapest,"Healthy, Mediterranean, Vegetarian Friendly",151.0,4.5,1317.0
Dublin,"Irish, Seafood, European, Soups, Vegetarian Friendly, Gluten Free Options",53.0,4.5,1820.0
