deployDate,recoveryDate,between_days
2/23/2008,5/20/2008,2008-02-23
2/23/2008,5/20/2008, 2008-02-24
2/23/2008,5/20/2008, 2008-02-25
2/23/2008,5/20/2008, 2008-02-26
2/23/2008,5/20/2008,2008-02-27
2/23/2008,5/20/2008, 2008-02-28
2/23/2008,5/20/2008, 2008-02-29
2/23/2008,5/20/2008, 2008-03-01
2/23/2008,5/20/2008,2008-03-02
2/23/2008,5/20/2008, 2008-03-03
2/23/2008,5/20/2008, 2008-03-04
2/23/2008,5/20/2008, 2008-03-05
2/23/2008,5/20/2008,2008-03-06
2/23/2008,5/20/2008, 2008-03-07
2/23/2008,5/20/2008, 2008-03-08
2/23/2008,5/20/2008, 2008-03-09
2/23/2008,5/20/2008,2008-03-10
2/23/2008,5/20/2008, 2008-03-11
2/23/2008,5/20/2008, 2008-03-12
2/23/2008,5/20/2008, 2008-03-13
2/23/2008,5/20/2008,2008-03-14
2/23/2008,5/20/2008, 2008-03-15
2/23/2008,5/20/2008, 2008-03-16
2/23/2008,5/20/2008, 2008-03-17
2/23/2008,5/20/2008,2008-03-18
2/23/2008,5/20/2008, 2008-03-19
2/23/2008,5/20/2008, 2008-03-20
2/23/2008,5/20/2008, 2008-03-21
2/23/2008,5/20/2008,2008-03-22
2/23/2008,5/20/2008, 2008-03-23
2/23/2008,5/20/2008, 2008-03-24
2/23/2008,5/20/2008, 2008-03-25
2/23/2008,5/20/2008,2008-03-26
2/23/2008,5/20/2008, 2008-03-27
2/23/2008,5/20/2008, 2008-03-28
2/23/2008,5/20/2008, 2008-03-29
2/23/2008,5/20/2008,2008-03-30
2/23/2008,5/20/2008, 2008-03-31
2/23/2008,5/20/2008, 2008-04-01
2/23/2008,5/20/2008, 2008-04-02
2/23/2008,5/20/2008,2008-04-03
2/23/2008,5/20/2008, 2008-04-04
2/23/2008,5/20/2008, 2008-04-05
2/23/2008,5/20/2008, 2008-04-06
2/23/2008,5/20/2008,2008-04-07
2/23/2008,5/20/2008, 2008-04-08
2/23/2008,5/20/2008, 2008-04-09
2/23/2008,5/20/2008, 2008-04-10
2/23/2008,5/20/2008,2008-04-11
2/23/2008,5/20/2008, 2008-04-12
2/23/2008,5/20/2008, 2008-04-13
2/23/2008,5/20/2008, 2008-04-14
2/23/2008,5/20/2008,2008-04-15
2/23/2008,5/20/2008, 2008-04-16
2/23/2008,5/20/2008, 2008-04-17
2/23/2008,5/20/2008, 2008-04-18
2/23/2008,5/20/2008,2008-04-19
2/23/2008,5/20/2008, 2008-04-20
2/23/2008,5/20/2008, 2008-04-21
2/23/2008,5/20/2008, 2008-04-22
2/23/2008,5/20/2008,2008-04-23
2/23/2008,5/20/2008, 2008-04-24
2/23/2008,5/20/2008, 2008-04-25
2/23/2008,5/20/2008, 2008-04-26
2/23/2008,5/20/2008,2008-04-27
2/23/2008,5/20/2008, 2008-04-28
2/23/2008,5/20/2008, 2008-04-29
2/23/2008,5/20/2008, 2008-04-30
2/23/2008,5/20/2008,2008-05-01
2/23/2008,5/20/2008, 2008-05-02
2/23/2008,5/20/2008, 2008-05-03
2/23/2008,5/20/2008, 2008-05-04
2/23/2008,5/20/2008,2008-05-05
2/23/2008,5/20/2008, 2008-05-06
2/23/2008,5/20/2008, 2008-05-07
2/23/2008,5/20/2008, 2008-05-08
2/23/2008,5/20/2008,2008-05-09
2/23/2008,5/20/2008, 2008-05-10
2/23/2008,5/20/2008, 2008-05-11
2/23/2008,5/20/2008, 2008-05-12
2/23/2008,5/20/2008,2008-05-13
2/23/2008,5/20/2008, 2008-05-14
2/23/2008,5/20/2008, 2008-05-15
2/23/2008,5/20/2008, 2008-05-16
2/23/2008,5/20/2008,2008-05-17
2/23/2008,5/20/2008, 2008-05-18
2/23/2008,5/20/2008, 2008-05-19
2/23/2008,5/20/2008, 2008-05-20
2/17/2009,5/16/2009,2009-02-17
2/17/2009,5/16/2009, 2009-02-18
2/17/2009,5/16/2009, 2009-02-19
2/17/2009,5/16/2009, 2009-02-20
2/17/2009,5/16/2009,2009-02-21
2/17/2009,5/16/2009, 2009-02-22
2/17/2009,5/16/2009, 2009-02-23
2/17/2009,5/16/2009, 2009-02-24
2/17/2009,5/16/2009,2009-02-25
2/17/2009,5/16/2009, 2009-02-26
2/17/2009,5/16/2009, 2009-02-27
2/17/2009,5/16/2009, 2009-02-28
2/17/2009,5/16/2009,2009-03-01
2/17/2009,5/16/2009, 2009-03-02
2/17/2009,5/16/2009, 2009-03-03
2/17/2009,5/16/2009, 2009-03-04
2/17/2009,5/16/2009,2009-03-05
2/17/2009,5/16/2009, 2009-03-06
2/17/2009,5/16/2009, 2009-03-07
2/17/2009,5/16/2009, 2009-03-08
2/17/2009,5/16/2009,2009-03-09
2/17/2009,5/16/2009, 2009-03-10
2/17/2009,5/16/2009, 2009-03-11
2/17/2009,5/16/2009, 2009-03-12
2/17/2009,5/16/2009,2009-03-13
2/17/2009,5/16/2009, 2009-03-14
2/17/2009,5/16/2009, 2009-03-15
2/17/2009,5/16/2009, 2009-03-16
2/17/2009,5/16/2009,2009-03-17
2/17/2009,5/16/2009, 2009-03-18
2/17/2009,5/16/2009, 2009-03-19
2/17/2009,5/16/2009, 2009-03-20
2/17/2009,5/16/2009,2009-03-21
2/17/2009,5/16/2009, 2009-03-22
2/17/2009,5/16/2009, 2009-03-23
2/17/2009,5/16/2009, 2009-03-24
2/17/2009,5/16/2009,2009-03-25
2/17/2009,5/16/2009, 2009-03-26
2/17/2009,5/16/2009, 2009-03-27
2/17/2009,5/16/2009, 2009-03-28
2/17/2009,5/16/2009,2009-03-29
2/17/2009,5/16/2009, 2009-03-30
2/17/2009,5/16/2009, 2009-03-31
2/17/2009,5/16/2009, 2009-04-01
2/17/2009,5/16/2009,2009-04-02
2/17/2009,5/16/2009, 2009-04-03
2/17/2009,5/16/2009, 2009-04-04
2/17/2009,5/16/2009, 2009-04-05
2/17/2009,5/16/2009,2009-04-06
2/17/2009,5/16/2009, 2009-04-07
2/17/2009,5/16/2009, 2009-04-08
2/17/2009,5/16/2009, 2009-04-09
2/17/2009,5/16/2009,2009-04-10
2/17/2009,5/16/2009, 2009-04-11
2/17/2009,5/16/2009, 2009-04-12
2/17/2009,5/16/2009, 2009-04-13
2/17/2009,5/16/2009,2009-04-14
2/17/2009,5/16/2009, 2009-04-15
2/17/2009,5/16/2009, 2009-04-16
2/17/2009,5/16/2009, 2009-04-17
2/17/2009,5/16/2009,2009-04-18
2/17/2009,5/16/2009, 2009-04-19
2/17/2009,5/16/2009, 2009-04-20
2/17/2009,5/16/2009, 2009-04-21
2/17/2009,5/16/2009,2009-04-22
2/17/2009,5/16/2009, 2009-04-23
2/17/2009,5/16/2009, 2009-04-24
2/17/2009,5/16/2009, 2009-04-25
2/17/2009,5/16/2009,2009-04-26
2/17/2009,5/16/2009, 2009-04-27
2/17/2009,5/16/2009, 2009-04-28
2/17/2009,5/16/2009, 2009-04-29
2/17/2009,5/16/2009,2009-04-30
2/17/2009,5/16/2009, 2009-05-01
2/17/2009,5/16/2009, 2009-05-02
2/17/2009,5/16/2009, 2009-05-03
2/17/2009,5/16/2009,2009-05-04
2/17/2009,5/16/2009, 2009-05-05
2/17/2009,5/16/2009, 2009-05-06
2/17/2009,5/16/2009, 2009-05-07
2/17/2009,5/16/2009,2009-05-08
2/17/2009,5/16/2009, 2009-05-09
2/17/2009,5/16/2009, 2009-05-10
2/17/2009,5/16/2009, 2009-05-11
2/17/2009,5/16/2009,2009-05-12
2/17/2009,5/16/2009, 2009-05-13
2/17/2009,5/16/2009, 2009-05-14
2/17/2009,5/16/2009, 2009-05-15
2/17/2009,5/16/2009,2009-05-16
3/8/2010,5/5/2010,2010-03-08
3/8/2010,5/5/2010, 2010-03-09
3/8/2010,5/5/2010, 2010-03-10
3/8/2010,5/5/2010, 2010-03-11
3/8/2010,5/5/2010,2010-03-12
3/8/2010,5/5/2010, 2010-03-13
3/8/2010,5/5/2010, 2010-03-14
3/8/2010,5/5/2010, 2010-03-15
3/8/2010,5/5/2010,2010-03-16
3/8/2010,5/5/2010, 2010-03-17
3/8/2010,5/5/2010, 2010-03-18
3/8/2010,5/5/2010, 2010-03-19
3/8/2010,5/5/2010,2010-03-20
3/8/2010,5/5/2010, 2010-03-21
3/8/2010,5/5/2010, 2010-03-22
3/8/2010,5/5/2010, 2010-03-23
3/8/2010,5/5/2010,2010-03-24
3/8/2010,5/5/2010, 2010-03-25
3/8/2010,5/5/2010, 2010-03-26
3/8/2010,5/5/2010, 2010-03-27
3/8/2010,5/5/2010,2010-03-28
3/8/2010,5/5/2010, 2010-03-29
3/8/2010,5/5/2010, 2010-03-30
3/8/2010,5/5/2010, 2010-03-31
3/8/2010,5/5/2010,2010-04-01
3/8/2010,5/5/2010, 2010-04-02
3/8/2010,5/5/2010, 2010-04-03
3/8/2010,5/5/2010, 2010-04-04
3/8/2010,5/5/2010,2010-04-05
3/8/2010,5/5/2010, 2010-04-06
3/8/2010,5/5/2010, 2010-04-07
3/8/2010,5/5/2010, 2010-04-08
3/8/2010,5/5/2010,2010-04-09
3/8/2010,5/5/2010, 2010-04-10
3/8/2010,5/5/2010, 2010-04-11
3/8/2010,5/5/2010, 2010-04-12
3/8/2010,5/5/2010,2010-04-13
3/8/2010,5/5/2010, 2010-04-14
3/8/2010,5/5/2010, 2010-04-15
3/8/2010,5/5/2010, 2010-04-16
3/8/2010,5/5/2010,2010-04-17
3/8/2010,5/5/2010, 2010-04-18
3/8/2010,5/5/2010, 2010-04-19
3/8/2010,5/5/2010, 2010-04-20
3/8/2010,5/5/2010,2010-04-21
3/8/2010,5/5/2010, 2010-04-22
3/8/2010,5/5/2010, 2010-04-23
3/8/2010,5/5/2010, 2010-04-24
3/8/2010,5/5/2010,2010-04-25
3/8/2010,5/5/2010, 2010-04-26
3/8/2010,5/5/2010, 2010-04-27
3/8/2010,5/5/2010, 2010-04-28
3/8/2010,5/5/2010,2010-04-29
3/8/2010,5/5/2010, 2010-04-30
3/8/2010,5/5/2010, 2010-05-01
3/8/2010,5/5/2010, 2010-05-02
3/8/2010,5/5/2010,2010-05-03
3/8/2010,5/5/2010, 2010-05-04
3/8/2010,5/5/2010, 2010-05-05
2/17/2011,5/8/2011,2011-02-17
2/17/2011,5/8/2011, 2011-02-18
2/17/2011,5/8/2011, 2011-02-19
2/17/2011,5/8/2011, 2011-02-20
2/17/2011,5/8/2011,2011-02-21
2/17/2011,5/8/2011, 2011-02-22
2/17/2011,5/8/2011, 2011-02-23
2/17/2011,5/8/2011, 2011-02-24
2/17/2011,5/8/2011,2011-02-25
2/17/2011,5/8/2011, 2011-02-26
2/17/2011,5/8/2011, 2011-02-27
2/17/2011,5/8/2011, 2011-02-28
2/17/2011,5/8/2011,2011-03-01
2/17/2011,5/8/2011, 2011-03-02
2/17/2011,5/8/2011, 2011-03-03
2/17/2011,5/8/2011, 2011-03-04
2/17/2011,5/8/2011,2011-03-05
2/17/2011,5/8/2011, 2011-03-06
2/17/2011,5/8/2011, 2011-03-07
2/17/2011,5/8/2011, 2011-03-08
2/17/2011,5/8/2011,2011-03-09
2/17/2011,5/8/2011, 2011-03-10
2/17/2011,5/8/2011, 2011-03-11
2/17/2011,5/8/2011, 2011-03-12
2/17/2011,5/8/2011,2011-03-13
2/17/2011,5/8/2011, 2011-03-14
2/17/2011,5/8/2011, 2011-03-15
2/17/2011,5/8/2011, 2011-03-16
2/17/2011,5/8/2011,2011-03-17
2/17/2011,5/8/2011, 2011-03-18
2/17/2011,5/8/2011, 2011-03-19
2/17/2011,5/8/2011, 2011-03-20
2/17/2011,5/8/2011,2011-03-21
2/17/2011,5/8/2011, 2011-03-22
2/17/2011,5/8/2011, 2011-03-23
2/17/2011,5/8/2011, 2011-03-24
2/17/2011,5/8/2011,2011-03-25
2/17/2011,5/8/2011, 2011-03-26
2/17/2011,5/8/2011, 2011-03-27
2/17/2011,5/8/2011, 2011-03-28
2/17/2011,5/8/2011,2011-03-29
2/17/2011,5/8/2011, 2011-03-30
2/17/2011,5/8/2011, 2011-03-31
2/17/2011,5/8/2011, 2011-04-01
2/17/2011,5/8/2011,2011-04-02
2/17/2011,5/8/2011, 2011-04-03
2/17/2011,5/8/2011, 2011-04-04
2/17/2011,5/8/2011, 2011-04-05
2/17/2011,5/8/2011,2011-04-06
2/17/2011,5/8/2011, 2011-04-07
2/17/2011,5/8/2011, 2011-04-08
2/17/2011,5/8/2011, 2011-04-09
2/17/2011,5/8/2011,2011-04-10
2/17/2011,5/8/2011, 2011-04-11
2/17/2011,5/8/2011, 2011-04-12
2/17/2011,5/8/2011, 2011-04-13
2/17/2011,5/8/2011,2011-04-14
2/17/2011,5/8/2011, 2011-04-15
2/17/2011,5/8/2011, 2011-04-16
2/17/2011,5/8/2011, 2011-04-17
2/17/2011,5/8/2011,2011-04-18
2/17/2011,5/8/2011, 2011-04-19
2/17/2011,5/8/2011, 2011-04-20
2/17/2011,5/8/2011, 2011-04-21
2/17/2011,5/8/2011,2011-04-22
2/17/2011,5/8/2011, 2011-04-23
2/17/2011,5/8/2011, 2011-04-24
2/17/2011,5/8/2011, 2011-04-25
2/17/2011,5/8/2011,2011-04-26
2/17/2011,5/8/2011, 2011-04-27
2/17/2011,5/8/2011, 2011-04-28
2/17/2011,5/8/2011, 2011-04-29
2/17/2011,5/8/2011,2011-04-30
2/17/2011,5/8/2011, 2011-05-01
2/17/2011,5/8/2011, 2011-05-02
2/17/2011,5/8/2011, 2011-05-03
2/17/2011,5/8/2011,2011-05-04
2/17/2011,5/8/2011, 2011-05-05
2/17/2011,5/8/2011, 2011-05-06
2/17/2011,5/8/2011, 2011-05-07
2/17/2011,5/8/2011,2011-05-08
1/28/2013,5/6/2013,2013-01-28
1/28/2013,5/6/2013, 2013-01-29
1/28/2013,5/6/2013, 2013-01-30
1/28/2013,5/6/2013, 2013-01-31
1/28/2013,5/6/2013,2013-02-01
1/28/2013,5/6/2013, 2013-02-02
1/28/2013,5/6/2013, 2013-02-03
1/28/2013,5/6/2013, 2013-02-04
1/28/2013,5/6/2013,2013-02-05
1/28/2013,5/6/2013, 2013-02-06
1/28/2013,5/6/2013, 2013-02-07
1/28/2013,5/6/2013, 2013-02-08
1/28/2013,5/6/2013,2013-02-09
1/28/2013,5/6/2013, 2013-02-10
1/28/2013,5/6/2013, 2013-02-11
1/28/2013,5/6/2013, 2013-02-12
1/28/2013,5/6/2013,2013-02-13
1/28/2013,5/6/2013, 2013-02-14
1/28/2013,5/6/2013, 2013-02-15
1/28/2013,5/6/2013, 2013-02-16
1/28/2013,5/6/2013,2013-02-17
1/28/2013,5/6/2013, 2013-02-18
1/28/2013,5/6/2013, 2013-02-19
1/28/2013,5/6/2013, 2013-02-20
1/28/2013,5/6/2013,2013-02-21
1/28/2013,5/6/2013, 2013-02-22
1/28/2013,5/6/2013, 2013-02-23
1/28/2013,5/6/2013, 2013-02-24
1/28/2013,5/6/2013,2013-02-25
1/28/2013,5/6/2013, 2013-02-26
1/28/2013,5/6/2013, 2013-02-27
1/28/2013,5/6/2013, 2013-02-28
1/28/2013,5/6/2013,2013-03-01
1/28/2013,5/6/2013, 2013-03-02
1/28/2013,5/6/2013, 2013-03-03
1/28/2013,5/6/2013, 2013-03-04
1/28/2013,5/6/2013,2013-03-05
1/28/2013,5/6/2013, 2013-03-06
1/28/2013,5/6/2013, 2013-03-07
1/28/2013,5/6/2013, 2013-03-08
1/28/2013,5/6/2013,2013-03-09
1/28/2013,5/6/2013, 2013-03-10
1/28/2013,5/6/2013, 2013-03-11
1/28/2013,5/6/2013, 2013-03-12
1/28/2013,5/6/2013,2013-03-13
1/28/2013,5/6/2013, 2013-03-14
1/28/2013,5/6/2013, 2013-03-15
1/28/2013,5/6/2013, 2013-03-16
1/28/2013,5/6/2013,2013-03-17
1/28/2013,5/6/2013, 2013-03-18
