Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,URL_TA,ID_TA
id_5569,Paris,"European,  French,  International",5570,3.5,$$ - $$$,194.0,/Restaurant_Review-g187147-d1912643-Reviews-R_Yves-Paris_Ile_de_France.html,d1912643
id_1535,Stockholm,Other,1537,4.0,,10.0,/Restaurant_Review-g189852-d7992032-Reviews-Buddha_Nepal-Stockholm.html,d7992032
id_352,London,"Japanese,  Sushi,  Asian,  Grill,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",353,4.5,$$$$,688.0,/Restaurant_Review-g186338-d8632781-Reviews-ROKA_Mayfair-London_England.html,d8632781
id_3456,Berlin,Other,3458,5.0,,3.0,/Restaurant_Review-g187323-d1358776-Reviews-Esplanade-Berlin.html,d1358776
id_615,Munich,"German,  Central European,  Vegetarian Friendly",621,4.0,$$ - $$$,84.0,/Restaurant_Review-g187309-d6864963-Reviews-Augustiner_Schutzen_Garten-Munich_Upper_Bavaria_Bavaria.html,d6864963
id_1418,Oporto,Other,1419,3.0,,2.0,/Restaurant_Review-g189180-d12503536-Reviews-Dick_s_Bar-Porto_Porto_District_Northern_Portugal.html,d12503536
id_1720,Milan,"Italian,  Pizza",1722,4.0,$,50.0,/Restaurant_Review-g187849-d5808504-Reviews-Pizzeria_La_Costiera-Milan_Lombardy.html,d5808504
id_825,Bratislava,Italian,826,3.0,,9.0,/Restaurant_Review-g274924-d3199765-Reviews-Ristorante_Italiano_San_Cono-Bratislava_Bratislava_Region.html,d3199765
id_2690,Vienna,Other,2692,4.0,,,/Restaurant_Review-g190454-d12845029-Reviews-Grunstern-Vienna.html,d12845029
id_4209,Rome,"Italian,  Pizza,  Fast Food",4210,4.0,$,55.0,/Restaurant_Review-g187791-d8020681-Reviews-Quadro_Pizzetterie-Rome_Lazio.html,d8020681
id_6578,Barcelona,Other,6579,3.0,,6.0,/Restaurant_Review-g187497-d10696479-Reviews-Restaurant_El_Plaer-Barcelona_Catalonia.html,d10696479
id_5312,London,"Italian,  Pizza,  Vegetarian Friendly",5321,4.0,$$ - $$$,42.0,/Restaurant_Review-g186338-d12402429-Reviews-Pizza_Pilgrims-London_England.html,d12402429
id_4066,London,"Italian,  Pizza,  Vegetarian Friendly,  Gluten Free Options",4073,3.5,$$ - $$$,286.0,/Restaurant_Review-g186338-d2259559-Reviews-Made_In_Italy_King_s_Road-London_England.html,d2259559
id_4637,Berlin,"Vegetarian Friendly,  Gluten Free Options",4639,4.5,$$ - $$$,10.0,/Restaurant_Review-g187323-d12107166-Reviews-Lykke-Berlin.html,d12107166
id_4773,Madrid,"Mediterranean,  Spanish,  Healthy",4776,4.0,$$ - $$$,7.0,/Restaurant_Review-g187514-d10859423-Reviews-Batea-Madrid.html,d10859423
id_1401,Dublin,Cafe,1405,4.0,$$ - $$$,28.0,/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html,d6633059
id_5257,Berlin,"Japanese,  Asian,  Thai,  Vietnamese",5259,4.0,,3.0,/Restaurant_Review-g187323-d10266473-Reviews-Akira_Sushi_Streetfood-Berlin.html,d10266473
id_11121,London,"Bar,  Pub",11131,4.5,$$ - $$$,7.0,/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html,d8659568
id_3127,Berlin,German,3129,4.0,$$ - $$$,12.0,/Restaurant_Review-g187323-d3702312-Reviews-Albrechtshof-Berlin.html,d3702312
id_2791,Brussels,Chinese,2792,3.0,$$ - $$$,12.0,/Restaurant_Review-g947638-d8155327-Reviews-Hong_Yun-Watermael_Boitsfort_Brussels.html,d8155327
id_368,Munich,"German,  Vegetarian Friendly",370,5.0,$$ - $$$,27.0,/Restaurant_Review-g187309-d10524693-Reviews-Schmaus_Braus-Munich_Upper_Bavaria_Bavaria.html,d10524693
id_5844,Madrid,Other,5847,4.0,,,/Restaurant_Review-g187514-d10058810-Reviews-Bar_Restaurante_El_Diezy7-Madrid.html,d10058810
id_13016,London,"Bar,  British,  Pub",13026,3.5,$$ - $$$,52.0,/Restaurant_Review-g186338-d2508041-Reviews-The_Swan_Wimbledon-London_England.html,d2508041
id_72,Zurich,"Asian,  Thai,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options",73,4.0,$$ - $$$,371.0,/Restaurant_Review-g188113-d1018940-Reviews-White_Elephant-Zurich.html,d1018940
id_14973,London,"Cafe,  British",14984,3.0,$,18.0,/Restaurant_Review-g186338-d7617571-Reviews-Square_Pie-London_England.html,d7617571
id_1076,Warsaw,"Polish,  International,  European,  Fusion",1077,5.0,$,2.0,/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html,d12018194
id_2763,Madrid,Other,2765,5.0,,11.0,/Restaurant_Review-g187514-d10060659-Reviews-Gaditaun-Madrid.html,d10060659
id_2108,Budapest,Other,2109,3.5,,2.0,/Restaurant_Review-g274887-d11616946-Reviews-Pajtas_Onkiszolgalo_Etterem-Budapest_Central_Hungary.html,d11616946
id_10057,Paris,Other,10059,4.5,,4.0,/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,d2040769
id_8349,Madrid,Other,8356,2.5,,16.0,/Restaurant_Review-g187514-d5776152-Reviews-Argayo-Madrid.html,d5776152
id_1841,Copenhagen,Other,1846,3.0,,16.0,/Restaurant_Review-g189541-d11841754-Reviews-Cafe_Phenix-Copenhagen_Zealand.html,d11841754
id_2006,Amsterdam,"Dutch,  European",2011,4.5,$$ - $$$,15.0,/Restaurant_Review-g188590-d3591150-Reviews-Cafe_Bos-Amsterdam_North_Holland_Province.html,d3591150
id_1327,Budapest,Other,1328,5.0,,,/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,d8791087
id_2434,Lyon,Vietnamese,2435,3.0,,4.0,/Restaurant_Review-g187265-d3543959-Reviews-Vietnam_City-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d3543959
id_2427,Rome,"Italian,  Pizza",2428,4.5,$,69.0,/Restaurant_Review-g187791-d5263694-Reviews-Pizza_Mix-Rome_Lazio.html,d5263694
id_2045,Madrid,"Italian,  Mexican,  Venezuelan,  South American",2047,4.5,$$ - $$$,20.0,/Restaurant_Review-g187514-d10302313-Reviews-Pizzeria_La_Margaritena-Madrid.html,d10302313
id_5842,Milan,Italian,5845,3.0,$$ - $$$,104.0,/Restaurant_Review-g187849-d3267260-Reviews-La_Salumeria_Della_Musica-Milan_Lombardy.html,d3267260
id_5209,Rome,"Japanese,  Sushi,  Asian",5210,5.0,$$ - $$$,2.0,/Restaurant_Review-g187791-d13322935-Reviews-Gyoza_Ristorante_Dim_sum_Sushi-Rome_Lazio.html,d13322935
id_11291,Paris,French,11293,4.5,$$ - $$$,10.0,/Restaurant_Review-g187147-d3543081-Reviews-La_Cave_Marcadet-Paris_Ile_de_France.html,d3543081
id_3131,Milan,Other,3133,4.0,,7.0,/Restaurant_Review-g187849-d12447161-Reviews-Le_Biciclette_Art_Bar_Bistrot-Milan_Lombardy.html,d12447161
id_2711,Madrid,"Bar,  Cafe,  Mediterranean,  Pub",2713,4.5,$,9.0,/Restaurant_Review-g187514-d12354572-Reviews-La_Tragona_Bar_de_Tapas-Madrid.html,d12354572
id_5459,Paris,"Asian,  Thai,  Vegetarian Friendly",5460,3.5,$$ - $$$,132.0,/Restaurant_Review-g187147-d953033-Reviews-Chao_praya-Paris_Ile_de_France.html,d953033
id_164,Hamburg,"Soups,  Healthy,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",165,4.5,$$ - $$$,73.0,/Restaurant_Review-g187331-d6031001-Reviews-Dean_David_Fresh_to_Eat-Hamburg.html,d6031001
id_9924,Paris,Pub,9926,3.5,$,39.0,/Restaurant_Review-g187147-d5799345-Reviews-The_Financier-Paris_Ile_de_France.html,d5799345
id_2192,Lisbon,Japanese,2195,4.0,,7.0,/Restaurant_Review-g189158-d5981466-Reviews-Aya_Bistrot-Lisbon_Lisbon_District_Central_Portugal.html,d5981466
id_11945,London,Pizza,11955,4.0,,3.0,/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,d7276832
