mission_title,Target
1,"98, 136, 204, 205, 212, 214, 332"
10,"183, 259, 314, 375"
11,"204, 212, 268, 404"
12,"208, 277, 305, 391"
13,"232, 289, 333, 363, 396"
14,"110, 299, 337, 409, 454"
15,"210, 241, 426, 455, 460"
16,"311, 311, 312, 376, 412, 422, 474"
17,"204, 320, 475, 476, 482"
18,"99, 122, 328, 343, 405, 424, 435"
19,"208, 329, 384, 493"
2,"100, 85, 123, 203, 208, 209, 262, 288, 308"
20,"277, 332, 333, 353, 427, 498, 502, 505"
21,"268, 345, 396, 506"
22,"171, 215, 317, 354, 438, 455, 511"
23,"271, 299, 320, 356, 461, 513, 514"
24,"118, 208, 306, 349, 363, 375, 426, 466, 518"
25,"268, 312, 329, 393, 519"
26,"277, 336, 384, 385, 467, 520"
27,"241, 300, 388, 480, 521, 522"
28,"268, 395, 444, 475, 523"
29,"398, 524, 525"
3,"91, 118, 206, 210, 211, 236, 328, 409"
30,"429, 436, 476"
31,"384, 491, 526"
32,"311, 454, 481"
33,"503, 529, 530"
34,"340, 498, 501"
35,"363, 500, 531"
36,"426, 479, 532"
37,"455, 535, 536"
38,"343, 397, 409"
39,"458, 513, 537"
4,"183, 212, 302, 303, 345"
40,"506, 538, 539"
41,"508, 521, 540"
42,"512, 524, 541"
43,"384, 393, 514"
44,"476, 542, 543"
45,475
46,"311, 502, 546"
47,"396, 519, 547"
48,"525, 548, 549"
49,"489, 522, 551"
5,"110, 204, 354, 422, 423"
50,"422, 529, 552"
51,"426, 553"
52,"467, 509, 535"
53,"491, 531, 554"
54,"524, 555, 556"
55,"492, 497, 537"
56,"539, 557, 558"
57,"476, 547, 559, 560, 561"
59,"547, 559, 562"
6,"208, 229, 274, 329, 429"
60,"513, 563, 564"
61,519
7,"99, 232, 311, 362"
8,"206, 241, 268, 271"
9,"212, 251, 384, 435"
ASTP,"23, 76, 77"
Antares,278
Apollo 10,"17, 23, 26"
Apollo 11,"24, 27, 29"
Apollo 12,"20, 28, 44"
Apollo 13,"22, 45, 46"
Apollo 14,"48, 49, 50"
Apollo 15,"25, 54, 55"
Apollo 16,"17, 56, 57"
Apollo 17,"26, 58, 59"
Apollo 7,"7, 30, 31"
Apollo 8,"21, 22, 33"
Apollo 9,"18, 25"
Astro-1,239
Astro-2,239
Atlas-1,130
EP-19,565
Euromir 94,131
Gemini 10,"17, 27"
Gemini 11,"20, 28"
Gemini 12,"22, 29"
Gemini 3,"16, 17"
Gemini 4,"18, 19"
Gemini 5,"8, 20"
Gemini 6A,7
Gemini 7,"21, 22"
Gemini 8,"24, 25"
Gemini 9A,"23, 26"
MA-6,3
Mercury-Atlas 7,4
Mercury-Atlas 8,7
Mercury-Atlas 9,8
Mir Aragatz,108
Mir EO-15,308
Mir EO-21,308
STS 101,308
STS 51-C,157
STS 51-L,157
STS-1,"17, 102"
STS-100,"323, 335, 340, 348, 392, 404"
STS-101,"262, 288, 313, 331, 346, 396"
STS-102,"226, 349, 402, 403"
STS-103,"271, 280, 282, 319, 322, 326, 393"
STS-104,"334, 368, 373, 383, 407"
STS-105,"344, 346, 387, 408"
STS-106,"318, 362, 377, 397, 398"
STS-107,"369, 374, 389, 430, 431, 432, 433"
STS-108,"244, 382, 411, 412"
STS-109,"296, 301, 326, 350, 377, 413, 414"
STS-110,"192, 291, 319, 367, 415, 416, 417"
STS-111,"197, 290, 420, 421"
STS-112,"306, 392, 400, 424, 425"
STS-113,"226, 337, 420, 428"
STS-114,"324, 327, 349, 365, 402, 438, 439"
STS-115,"286, 321, 341, 398, 447, 448"
STS-116,"364, 401, 450, 451, 452, 453"
STS-117,"373, 387, 408, 457, 458, 459"
STS-118,"379, 393, 397, 407, 461, 462, 463"
STS-119,"404, 457, 458, 490, 491, 492"
STS-120,"323, 400, 446, 465, 466, 467"
STS-121,"368, 411, 425, 444, 445, 446"
STS-122,"295, 415, 416, 468, 469, 470"
STS-123,"350, 370, 382, 471, 472, 473"
STS-124,"411, 444, 478, 479, 480, 481"
STS-125,"326, 377, 414, 494, 495, 496, 497"
STS-126,"429, 447, 448, 487, 488, 489"
STS-127,"306, 390, 401, 499, 500, 501"
STS-128,"387, 408, 452, 459, 503, 504"
STS-129,"407, 469, 473, 508, 509, 510"
STS-130,"365, 378, 451, 465, 472, 512"
STS-131,"397, 446, 460, 468, 515, 516, 517"
STS-132,"425, 474, 478, 488, 490, 495"
STS-133,"368, 462, 487, 488, 493, 505"
STS-134,"411, 418, 435, 471, 482, 497"
STS-135,"416, 424, 447, 499"
STS-151-C,56
STS-2,"104, 105"
STS-26,"119, 142, 179, 180, 185"
STS-27,"132, 145, 192, 213, 214"
STS-28,"128, 151, 219, 220, 221"
STS-29,"144, 158, 215, 216, 217"
STS-3,"106, 62"
STS-30,"122, 154, 184, 193, 218"
STS-31,"135, 146, 150, 156, 196"
STS-32,"124, 187, 226, 227, 228"
STS-33,"117, 165, 215, 224, 225"
STS-34,"160, 171, 197, 222, 223"
STS-35,"76, 129, 163, 180, 213, 240"
STS-36,"145, 169, 185, 230, 231"
STS-37,"170, 192, 243, 244, 245"
STS-38,"179, 216, 236, 237, 238"
STS-39,"125, 144, 246, 247, 248, 249, 250"
STS-4,"109, 56"
STS-40,"161, 217, 253, 254, 255, 256"
STS-40 Columbia,191
STS-41,"214, 219, 233, 234, 235"
STS-41 B,134
STS-41 C,141
STS-41-B,"76, 132, 133, 135"
STS-41-C,"102, 139, 140"
STS-41-D,"109, 144, 146, 147"
STS-41-G,"102, 121, 149, 150, 151, 152, 153"
STS-41C,142
STS-41D,"145, 148"
STS-42,"122, 131, 184, 185, 265, 265, 266, 267"
STS-43,"171, 215, 220, 228, 257"
STS-44,"117, 165, 261, 262, 263, 264"
STS-45,"150, 151, 196, 270, 271, 272"
STS-46,"156, 163, 197, 227, 279, 280"
STS-47,"132, 218, 245, 282, 283, 284, 285"
STS-48,"158, 169, 221, 238, 258"
STS-49,"124, 225, 231, 234, 235, 250, 273"
STS-5,"76, 112, 113, 114"
STS-50,"187, 219, 223, 237, 274, 275, 276"
STS-51,"236, 266, 301, 302, 303"
STS-51 J,134
STS-51-A,"113, 119, 154, 155"
STS-51-B,"112, 127, 165, 166"
STS-51-C,"156, 158"
STS-51-D,"115, 160, 161, 162, 163"
STS-51-F,"106, 174, 175, 176, 178"
STS-51-G,"120, 124, 169, 171"
STS-51-I,"104, 179, 180, 181"
STS-51-J,"115, 184, 185, 186"
STS-51-L,"133, 139, 147"
STS-51A,126
STS-51B,122
STS-51C,159
STS-51D,"148, 164"
STS-51F,117
STS-51G,"170, 172, 173"
STS-51I,141
STS-51L,"200, 201, 202"
STS-52,"214, 226, 249, 254, 257, 286"
STS-53,"125, 154, 233, 262, 287"
STS-54,"230, 247, 248, 263, 288"
STS-55,"170, 192, 261, 292, 293, 294, 295"
