No.,Title,Written by,Storyboard by,Original air date
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch,Eric Bergeron,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Marie Blanchard,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Angus Bungay,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Mario Cabrera,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Gerry Capelle,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Emmanuelle Gignac,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Stefanie Gignac,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Lyndon Ruddy,"November 23, 2000"
S1,"""Arthur's Perfect Christmas""",Peter K. Hirsch, Nick Vallinakis & Robert Yap,"November 23, 2000"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh,Gerry Capelle,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Helene Cossette,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Nadja Cozic,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Elie Klimos,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Sylvie Lafrance,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Jeremy O'Neill,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Zhigang Wang,"September 2, 2002"
S2,"""Arthur, It's Only Rock 'n' Roll""",Kathy Waugh, Harry Rasmussen & Ivan Tankushev,"September 2, 2002"
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch,Gerry Capelle,"May 29, 2017"
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Bernie Denk,"May 29, 2017"
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Olivier Migneron,"May 29, 2017"
S3,"""D.W. and the Beastly Birthday""",Peter K. Hirsch, Dev Ramsaran & Cilbur Rocha,"May 29, 2017"
