Season,Champion(s),Record,Coach,Selector(s)
1869,Princeton,1–1,,BR
1869,Princeton,1–1,, NCF
1869,Princeton,1–1,, PD
1869,Rutgers,1–1,,PD
1870,Princeton,1–0,,BR
1870,Princeton,1–0,, NCF
1870,Princeton,1–0,, PD
1871,None,No games played,No games played,No games played
1872,Princeton,1–0,,BR
1872,Princeton,1–0,, NCF
1872,Princeton,1–0,, PD
1872,Yale,1–0,,PD
1873,Princeton,2–0,,BR
1873,Princeton,2–0,, NCF
1873,Princeton,2–0,, PD
1874,Harvard,1–1,,PD
1874,Princeton,2–0,,BR
1874,Princeton,2–0,, PD
1874,Yale,3–0,,NCF
1874,Yale,3–0,, PD
1875,Columbia,3–1–1,,PD
1875,Harvard,4–0,,NCF
1875,Harvard,4–0,, PD
1875,Princeton,2–0,,BR
1875,Princeton,2–0,, PD
1876,Yale,3–0,,BR
1876,Yale,3–0,, NCF
1876,Yale,3–0,, PD
1877,Princeton,2–0–1,,BR
1877,Princeton,2–0–1,, PD
1877,Yale,3–0–1,,NCF
1877,Yale,3–0–1,, PD
1878,Princeton,6–0,,BR
1878,Princeton,6–0,, NCF
1878,Princeton,6–0,, PD
1879,Princeton,4–0–1,,BR
1879,Princeton,4–0–1,, NCF
1879,Princeton,4–0–1,, PD
1879,Yale,3–0–2,,PD
1880,Princeton,4–0–1,,NCF
1880,Princeton,4–0–1,, PD
1880,Yale,4–0–1,,BR
1880,Yale,4–0–1,, NCF
1880,Yale,4–0–1,, PD
1881,Princeton,7–0–2,,BR
1881,Princeton,7–0–2,, PD
1881,Yale,5–0–1,,NCF
1881,Yale,5–0–1,, PD
1882,Yale,8–0,,BR
1882,Yale,8–0,, NCF
1882,Yale,8–0,, PD
1883,Yale,9–0,,BR
1883,Yale,9–0,, HAF
1883,Yale,9–0,, NCF
1883,Yale,9–0,, PD
1884,Princeton,9–0–1,,BR
1884,Princeton,9–0–1,, PD
1884,Yale,8–0–1,,HAF
1884,Yale,8–0–1,, NCF
1884,Yale,8–0–1,, PD
1885,Princeton,9–0,,BR
1885,Princeton,9–0,, HAF
1885,Princeton,9–0,, HS
1885,Princeton,9–0,, NCF
1885,Princeton,9–0,, PD
1886,Princeton,7–0–1,,BR
1886,Princeton,7–0–1,, PD
1886,Yale,9–0–1,,HAF
1886,Yale,9–0–1,, NCF
1886,Yale,9–0–1,, PD
1887,Yale,9–0,,BR
1887,Yale,9–0,, HAF
1887,Yale,9–0,, HS
1887,Yale,9–0,, NCF
1887,Yale,9–0,, PD
1888,Yale,13–0,Walter Camp,BR
1888,Yale,13–0,Walter Camp, HAF
1888,Yale,13–0,Walter Camp, HS
1888,Yale,13–0,Walter Camp, NCF
1888,Yale,13–0,Walter Camp, PD
1889,Princeton,10–0,,BR
1889,Princeton,10–0,, HAF
1889,Princeton,10–0,, HS
1889,Princeton,10–0,, NCF
1889,Princeton,10–0,, PD
1890,Harvard,11–0,George C. Adams,BR
1890,Harvard,11–0,George C. Adams, HAF
1890,Harvard,11–0,George C. Adams, HS
1890,Harvard,11–0,George C. Adams, NCF
1890,Harvard,11–0,George C. Adams, PD
1891,Yale,13–0,Walter Camp,BR
1891,Yale,13–0,Walter Camp, HAF
1891,Yale,13–0,Walter Camp, HS
1891,Yale,13–0,Walter Camp, NCF
1891,Yale,13–0,Walter Camp, PD
1892,Yale,13–0,Walter Camp,BR
1892,Yale,13–0,Walter Camp, HAF
1892,Yale,13–0,Walter Camp, HS
1892,Yale,13–0,Walter Camp, NCF
1892,Yale,13–0,Walter Camp, PD
1893,Princeton,11–0,,BR
1893,Princeton,11–0,, HAF
1893,Princeton,11–0,, HS
1893,Princeton,11–0,, NCF
1893,Yale,10–1,William Rhodes,PD
1894,Penn,12–0,George Washington Woodruff,PD
1894,Princeton,8–2,,HS
1894,Yale,16–0,William Rhodes,BR
1894,Yale,16–0,William Rhodes, HAF
1894,Yale,16–0,William Rhodes, NCF
1894,Yale,16–0,William Rhodes, PD
1895,Penn,14–0,George Washington Woodruff,BR
1895,Penn,14–0,George Washington Woodruff, HAF
1895,Penn,14–0,George Washington Woodruff, HS
1895,Penn,14–0,George Washington Woodruff, NCF
1895,Penn,14–0,George Washington Woodruff, PD
1895,Yale,13–0–2,John A. Hartwell,PD
1896,Lafayette,11–0–1,Parke H. Davis,NCF
1896,Lafayette,11–0–1,Parke H. Davis, PD
1896,Princeton,10–0–1,Franklin Morse,BR
1896,Princeton,10–0–1,Franklin Morse, HAF
1896,Princeton,10–0–1,Franklin Morse, HS
1896,Princeton,10–0–1,Franklin Morse, NCF
1896,Princeton,10–0–1,Franklin Morse, PD
1897,Penn,15–0,George Washington Woodruff,BR
1897,Penn,15–0,George Washington Woodruff, HAF
1897,Penn,15–0,George Washington Woodruff, HS
1897,Penn,15–0,George Washington Woodruff, NCF
1897,Penn,15–0,George Washington Woodruff, PD
1897,Yale,9–0–2,Frank Butterworth,PD
1898,Harvard,11–0,William Forbes,BR
1898,Harvard,11–0,William Forbes, HAF
1898,Harvard,11–0,William Forbes, HS
1898,Harvard,11–0,William Forbes, NCF
1898,Princeton,11–0–1,,PD
1899,Harvard,10–0–1,Benjamin Dibblee,HAF
1899,Harvard,10–0–1,Benjamin Dibblee, HS
1899,Harvard,10–0–1,Benjamin Dibblee, NCF
1899,Princeton,12–1,,BR
1899,Princeton,12–1,, PD
1900,Yale,12–0,Malcolm McBride,BR
1900,Yale,12–0,Malcolm McBride, HAF
1900,Yale,12–0,Malcolm McBride, HS
1900,Yale,12–0,Malcolm McBride, NCF
1900,Yale,12–0,Malcolm McBride, PD
1901,Harvard,12–0,Bill Reid,BR
1901,Michigan,11–0,Fielding H. Yost,HAF
1901,Michigan,11–0,Fielding H. Yost, HS
1901,Michigan,11–0,Fielding H. Yost, NCF
1901,Yale,11–1–1,George S. Stillman,PDa
1902,Michigan,11–0,Fielding H. Yost,BR
1902,Michigan,11–0,Fielding H. Yost, HAF
1902,Michigan,11–0,Fielding H. Yost, HS
1902,Michigan,11–0,Fielding H. Yost, NCF
1902,Michigan,11–0,Fielding H. Yost, PD
1902,Yale,11–0–1,Joseph R. Swan,PD
1903,Michigan,11–0–1,Fielding H. Yost,NCF
1903,Princeton,11–0,Art Hillebrand,BR
1903,Princeton,11–0,Art Hillebrand, HAF
1903,Princeton,11–0,Art Hillebrand, HS
1903,Princeton,11–0,Art Hillebrand, NCF
1903,Princeton,11–0,Art Hillebrand, PD
1904,Michigan,10–0,Fielding H. Yost,NCF
1904,Minnesota,13–0,Henry Williams,BR
1904,Penn,12–0,Carl S. Williams,HAF
1904,Penn,12–0,Carl S. Williams, HS
1904,Penn,12–0,Carl S. Williams, NCF
1904,Penn,12–0,Carl S. Williams, PD
1905,Chicago,10–0,Amos Alonzo Stagg,BR
1905,Chicago,10–0,Amos Alonzo Stagg, HAF
1905,Chicago,10–0,Amos Alonzo Stagg, HS
1905,Chicago,10–0,Amos Alonzo Stagg, NCF
1905,Yale,10–0,Jack Owsley,CW
1905,Yale,10–0,Jack Owsley, PD
1906,Princeton,9–0–1,William Roper,HAF
