Team,Nickname,City,State,Current Conference,Former Conferences,First Played,Joined FBS
Air Force,Falcons,Colorado Springs,Colorado,Mountain West,WAC,1955,
Akron,Zips,Akron,Ohio,MAC,OAC,1891,1987.0
Akron,Zips,Akron,Ohio,MAC, MCC,1891,1987.0
Akron,Zips,Akron,Ohio,MAC, OVC,1891,1987.0
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,SIAA,1892,
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC, SoCon,1892,
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,NSC,1928,2014.0
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt, SoCon,1928,2014.0
Arizona,Wildcats,Tucson,Arizona,Pac-12,BIAA,1899,
Arizona,Wildcats,Tucson,Arizona,Pac-12, WAC,1899,
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,BIAA,1896,
Arizona State,Sun Devils,Tempe,Arizona,Pac-12, WAC,1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,SWC,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,Arkansas Intercollegiate Conference,1911,1992.0
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt, Southland,1911,1992.0
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt, Big West,1911,1992.0
Army West Point,Black Knights,West Point,New York,Independent,C-USA,1890,
Auburn,Tigers,Auburn,Alabama,SEC,SIAA,1892,
Auburn,Tigers,Auburn,Alabama,SEC, SoCon,1892,
Ball State,Cardinals,Muncie,Indiana,MAC,IIC,1924,
Ball State,Cardinals,Muncie,Indiana,MAC, ICC,1924,
Baylor,Bears,Waco,Texas,Big 12,TIAA,1899,
Baylor,Bears,Waco,Texas,Big 12, SWC,1899,
Boise State,Broncos,Boise,Idaho,Mountain West,ICAC,1933,1996.0
Boise State,Broncos,Boise,Idaho,Mountain West, Big Sky,1933,1996.0
Boise State,Broncos,Boise,Idaho,Mountain West, Big West,1933,1996.0
Boise State,Broncos,Boise,Idaho,Mountain West, WAC,1933,1996.0
