Teams,Win,Loss,Total,Year(s) won
Boston Celtics,17,4,21,"1957, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1968, 1969, 1974, 1976, 1981, 1984, 1986, 2008"
Minneapolis/Los Angeles Lakers,16,15,31,"1949, 1950, 1952, 1953, 1954, 1972, 1980, 1982, 1985, 1987, 1988, 2000, 2001, 2002, 2009, 2010"
Chicago Bulls,6,0,6,"1991, 1992, 1993, 1996, 1997, 1998"
Philadelphia/San Francisco/Golden State Warriors,5,4,9,"1947, 1956, 1975, 2015, 2017"
San Antonio Spurs,5,1,6,"1999, 2003, 2005, 2007, 2014"
Syracuse Nationals/Philadelphia 76ers,3,6,9,"1955, 1967, 1983"
Fort Wayne Pistons/Detroit Pistons,3,4,7,"1989, 1990, 2004"
Miami Heat,3,2,5,"2006, 2012, 2013"
New York Knicks,2,6,8,"1970, 1973"
Houston Rockets,2,2,4,"1994, 1995"
St. Louis/Atlanta Hawks,1,3,4,1958
Baltimore/Washington Bullets/Washington Wizards,1,3,4,1978
Seattle SuperSonics/Oklahoma City Thunder,1,3,4,1979
Cleveland Cavaliers,1,3,4,2016
Portland Trail Blazers,1,2,3,1977
Milwaukee Bucks,1,1,2,1971
Dallas Mavericks,1,1,2,2011
Baltimore Bullets (original) (folded in 1954),1,0,1,1948
Rochester/Cincinnati Royals/Kansas City/Sacramento Kings,1,0,1,1951
Phoenix Suns,0,2,2,—
New Orleans/Utah Jazz,0,2,2,—
New Jersey/Brooklyn Nets,0,2,2,—
Orlando Magic,0,2,2,—
Chicago Stags (folded in 1950),0,1,1,—
Washington Capitols (folded in 1951),0,1,1,—
Indiana Pacers,0,1,1,—
Buffalo Braves/San Diego/Los Angeles Clippers,—,—,—,
Charlotte Bobcats/Hornets,—,—,—,
Denver Nuggets,—,—,—,
Minnesota Timberwolves,—,—,—,
New Orleans Hornets/Pelicans,—,—,—,
Toronto Raptors,—,—,—,
Vancouver/Memphis Grizzlies,—,—,—,
