Teams,Win,Loss,Total,Year(s) won
Boston Celtics,17,4,21,1957
Boston Celtics,17,4,21, 1959
Boston Celtics,17,4,21, 1960
Boston Celtics,17,4,21, 1961
Boston Celtics,17,4,21, 1962
Boston Celtics,17,4,21, 1963
Boston Celtics,17,4,21, 1964
Boston Celtics,17,4,21, 1965
Boston Celtics,17,4,21, 1966
Boston Celtics,17,4,21, 1968
Boston Celtics,17,4,21, 1969
Boston Celtics,17,4,21, 1974
Boston Celtics,17,4,21, 1976
Boston Celtics,17,4,21, 1981
Boston Celtics,17,4,21, 1984
Boston Celtics,17,4,21, 1986
Boston Celtics,17,4,21, 2008
Minneapolis/Los Angeles Lakers,16,15,31,1949
Minneapolis/Los Angeles Lakers,16,15,31, 1950
Minneapolis/Los Angeles Lakers,16,15,31, 1952
Minneapolis/Los Angeles Lakers,16,15,31, 1953
Minneapolis/Los Angeles Lakers,16,15,31, 1954
Minneapolis/Los Angeles Lakers,16,15,31, 1972
Minneapolis/Los Angeles Lakers,16,15,31, 1980
Minneapolis/Los Angeles Lakers,16,15,31, 1982
Minneapolis/Los Angeles Lakers,16,15,31, 1985
Minneapolis/Los Angeles Lakers,16,15,31, 1987
Minneapolis/Los Angeles Lakers,16,15,31, 1988
Minneapolis/Los Angeles Lakers,16,15,31, 2000
Minneapolis/Los Angeles Lakers,16,15,31, 2001
Minneapolis/Los Angeles Lakers,16,15,31, 2002
Minneapolis/Los Angeles Lakers,16,15,31, 2009
Minneapolis/Los Angeles Lakers,16,15,31, 2010
Chicago Bulls,6,0,6,1991
Chicago Bulls,6,0,6, 1992
Chicago Bulls,6,0,6, 1993
Chicago Bulls,6,0,6, 1996
Chicago Bulls,6,0,6, 1997
Chicago Bulls,6,0,6, 1998
Philadelphia/San Francisco/Golden State Warriors,5,4,9,1947
Philadelphia/San Francisco/Golden State Warriors,5,4,9, 1956
Philadelphia/San Francisco/Golden State Warriors,5,4,9, 1975
Philadelphia/San Francisco/Golden State Warriors,5,4,9, 2015
Philadelphia/San Francisco/Golden State Warriors,5,4,9, 2017
San Antonio Spurs,5,1,6,1999
San Antonio Spurs,5,1,6, 2003
San Antonio Spurs,5,1,6, 2005
San Antonio Spurs,5,1,6, 2007
San Antonio Spurs,5,1,6, 2014
Syracuse Nationals/Philadelphia 76ers,3,6,9,1955
Syracuse Nationals/Philadelphia 76ers,3,6,9, 1967
Syracuse Nationals/Philadelphia 76ers,3,6,9, 1983
Fort Wayne Pistons/Detroit Pistons,3,4,7,1989
Fort Wayne Pistons/Detroit Pistons,3,4,7, 1990
Fort Wayne Pistons/Detroit Pistons,3,4,7, 2004
Miami Heat,3,2,5,2006
Miami Heat,3,2,5, 2012
Miami Heat,3,2,5, 2013
New York Knicks,2,6,8,1970
New York Knicks,2,6,8, 1973
Houston Rockets,2,2,4,1994
Houston Rockets,2,2,4, 1995
St. Louis/Atlanta Hawks,1,3,4,1958
Baltimore/Washington Bullets/Washington Wizards,1,3,4,1978
Seattle SuperSonics/Oklahoma City Thunder,1,3,4,1979
Cleveland Cavaliers,1,3,4,2016
Portland Trail Blazers,1,2,3,1977
Milwaukee Bucks,1,1,2,1971
Dallas Mavericks,1,1,2,2011
Baltimore Bullets (original) (folded in 1954),1,0,1,1948
Rochester/Cincinnati Royals/Kansas City/Sacramento Kings,1,0,1,1951
Phoenix Suns,0,2,2,—
New Orleans/Utah Jazz,0,2,2,—
New Jersey/Brooklyn Nets,0,2,2,—
Orlando Magic,0,2,2,—
Chicago Stags (folded in 1950),0,1,1,—
Washington Capitols (folded in 1951),0,1,1,—
Indiana Pacers,0,1,1,—
Buffalo Braves/San Diego/Los Angeles Clippers,—,—,—,nan
Charlotte Bobcats/Hornets,—,—,—,nan
Denver Nuggets,—,—,—,nan
Minnesota Timberwolves,—,—,—,nan
New Orleans Hornets/Pelicans,—,—,—,nan
Toronto Raptors,—,—,—,nan
Vancouver/Memphis Grizzlies,—,—,—,nan
