Title,Runtime,Netflix exclusive region
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"1 hour, 48 min",Worldwide except Nordics
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"1 hour, 48 min", DACH
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"1 hour, 48 min", Japan and Luxembourg
6 Days,TBA,Germany
6 Days,TBA, France
6 Days,TBA, Japan
6 Days,TBA, Latin America
6 Days,TBA, Benelux
6 Days,TBA, Scandinavia
6 Days,TBA, Eastern Europe
6 Days,TBA, Italy
6 Days,TBA, Switzerland
Bad Moms,"1 hour, 40 min.",Japan
Before I Fall,"1 hour, 38 min.",Japan
Before I Wake,"1 hour, 37 min.",United Kingdom
Before I Wake,"1 hour, 37 min.", Ireland
Before I Wake,"1 hour, 37 min.", France and Nordics
Bushwick,"1 hour, 34 min.",France
Bushwick,"1 hour, 34 min.", South Korea
Cargo,TBA,Worldwide except Australia
David Brent: Life on the Road,"1 hour, 36 min.",Worldwide except United Kingdom
David Brent: Life on the Road,"1 hour, 36 min.", Ireland
David Brent: Life on the Road,"1 hour, 36 min.", Australia
David Brent: Life on the Road,"1 hour, 36 min.", and New Zealand
Divines,"1 hour, 45 min.",Worldwide except France
El Faro De Las Orcas (The Lighthouse of the Orcas),"1 hour, 50 min.",Wordwide except Spain and Argentina
Good Time,"1 hour, 50 min",Spain
Good Time,"1 hour, 50 min", Italy
Good Time,"1 hour, 50 min", United Kingdom
Good Time,"1 hour, 50 min", Ireland
Good Time,"1 hour, 50 min", Scandinavia
Good Time,"1 hour, 50 min", Israel
Good Time,"1 hour, 50 min", Portugal
Good Time,"1 hour, 50 min", Bulgaria
Good Time,"1 hour, 50 min", Russia
Good Time,"1 hour, 50 min", CIS
Good Time,"1 hour, 50 min", the Baltics
Good Time,"1 hour, 50 min", ex-Yugoslavia
Good Time,"1 hour, 50 min", Hungary
Good Time,"1 hour, 50 min", Poland
Good Time,"1 hour, 50 min", Czech Republic
Good Time,"1 hour, 50 min", Romania
Good Time,"1 hour, 50 min", South Korea
Good Time,"1 hour, 50 min", Singapore
Good Time,"1 hour, 50 min", Malaysia
Good Time,"1 hour, 50 min", Thailand
Good Time,"1 hour, 50 min", Japan
Good Time,"1 hour, 50 min", Australia
Good Time,"1 hour, 50 min", New Zealand
Hell or High Water,"1 hour, 43 min.",Italy
Hell or High Water,"1 hour, 43 min.", San Marino
Hell or High Water,"1 hour, 43 min.", Vatican City
Hell or High Water,"1 hour, 43 min.", Japan
In the Shadow of Iris,"1 hour, 38 min.",Worldwide except France
Journey to Greenland,"1 hour, 38 min.",Worldwide except France
Kevin Hart: What Now?,"1 hour, 36 min.",Worldwide except United States
Kung Fu Panda 3,"1 hour, 34 min.",Japan
The Little Prince,"1 hour, 46 min.",United States
The Little Prince,"1 hour, 46 min.", United Kingdom
The Little Prince,"1 hour, 46 min.", Ireland
The Little Prince,"1 hour, 46 min.", Australia
The Little Prince,"1 hour, 46 min.", New Zealand
Lucid Dream,"1 hour, 41 min",Worldwide except South Korea
Mercenary,"1 hour, 38 min.",Multiple territories
Message from the King,TBA,United States and some foreign territories
Middle School: The Worst Years of My Life,"1 hour, 32 min.",United Kingdom
Middle School: The Worst Years of My Life,"1 hour, 32 min.", Ireland
Middle School: The Worst Years of My Life,"1 hour, 32 min.", Benelux
Middle School: The Worst Years of My Life,"1 hour, 32 min.", DACH
Middle School: The Worst Years of My Life,"1 hour, 32 min.", Italy
Middle School: The Worst Years of My Life,"1 hour, 32 min.", Spain
Middle School: The Worst Years of My Life,"1 hour, 32 min.", Japan
Middle School: The Worst Years of My Life,"1 hour, 32 min.", India
Mindhorn,"1 hour, 28 min.",Worldwide except the United Kingdom and Ireland
Mudbound,2 hours,United States and select other territories
My Happy Family,2 hours,Worldwide except France
Pandora,"2 hours, 16 min.",Worldwide except South Korea
Sahara,"1 hour, 24 min.",Canada
Sahara,"1 hour, 24 min.", United States
Sahara,"1 hour, 24 min.", and United Kingdom
Sahara,"1 hour, 24 min.", Germany
Sand Storm,"1 hour, 28 min.",Worldwide except Israel
Seven Sisters,TBA,United States
Skiptrace,"1 hour, 47 min.",United Kingdom
Skiptrace,"1 hour, 47 min.", Ireland
Skiptrace,"1 hour, 47 min.", France
Slam,"1 hour, 40 min.",Worldwide except Italy
The Space Between Us,2 hours,Japan
Strange Weather,TBA,Worldwide except Japan
