No. overall,No. in season,Title,Animation directors,Written by,Storyboard supervisors,Original air date,U.S. viewers (millions)
179a,1a,"""Extreme Spots""",Tom Yasumi,"Luke Brookshier, Marc Ceccarelli, and Derek Iversen",Clint Bond,21-Jul-12,3.7
179b,1b,"""Squirrel Record""",Alan Smart,"Luke Brookshier, Marc Ceccarelli, and Derek Iversen",Clint Bond,21-Jul-12,3.7
180a,2a,"""Patrick-Man!""",Alan Smart,"Casey Alexander, Zeus Cervas, and Derek Iversen",Clint Bond,27-Oct-12,4.1
180b,2b,"""Gary's New Toy""",Tom Yasumi,Marc Ceccarelli and Derek Iversen,Clint Bond,14-Oct-12,2.36
181a,3a,"""License to Milkshake""",Tom Yasumi,"Casey Alexander, Zeus Cervas, and Mr. Lawrence",Clint Bond,7-Sep-12,3.13
181b,3b,"""Squid Baby""",Alan Smart,"Casey Alexander, Zeus Cervas, and Mr. Lawrence",Clint Bond,3-Sep-12,3.36
182a,4a,"""Little Yellow Book""",Alan Smart,"Luke Brookshier, Marc Ceccarelli, and Derek Iversen",Clint Bond,2-Mar-13,4.73
182b,4b,"""Bumper to Bumper""",Alan Smart,"Casey Alexander, Zeus Cervas, and Mr. Lawrence",Clint Bond,17-Nov-12,4.01
183a,5a,"""Eek, an Urchin!""",Alan Smart,"Marc Ceccarelli, Luke Brookshier, and Mr. Lawrence",Clint Bond,27-Oct-12,4.1
183b,5b,"""Squid Defense""",Tom Yasumi,"Casey Alexander, Zeus Cervas, Blake Lemons, and Derek Iversen",Clint Bond,1-Jan-13,3.7
184a,6a,"""Jailbreak!""",Alan Smart,"Marc Ceccarelli, Luke Brookshier, and Mr. Lawrence",Clint Bond,16-Mar-13,3.81
184b,6b,"""Evil Spatula""",Alan Smart and Tom Yasumi,"Casey Alexander, Zeus Cervas, Blake Lemons, and Andrew Goodman",Clint Bond,9-Mar-13,4.04
185,7,"""It Came from Goo Lagoon"" ""SpongeBob vs. the Goo""",Alan Smart and Tom Yasumi,"Marc Ceccarelli, Luke Brookshier, Derek Iversen, and Mr. Lawrence",Clint Bond,17-Feb-14,4.04
186a,8a,"""Safe Deposit Krabs""",Alan Smart,"Casey Alexander, Zeus Cervas, Blake Lemons, and Derek Iversen",Clint Bond,25-May-13,4.18
186b,8b,"""Plankton's Pet""",Alan Smart and Tom Yasumi,"Marc Ceccarelli, Luke Brookshier, and Mr. Lawrence",Clint Bond,19-Jan-13,4.37
