PROJECT,Item,Quantity Required,Price
ENVIROLOPES,Letter-sized envelopes ,0,2.5
,Yarn (optional),0,2.97
,Glue sticks,1,1.42
EXPLORE WATER,Empty bin,2,
,Plastic cups,2 per bin,2.58
,Soda bottles,3,
,Funnel,4,0.89
,Sponge,4,2.98
,Pipettes or eyedroppers,3 per bin,4.94
,Empty soap dispensers ,(donation) 1 per bin,
,Turkey baster,4,3.75
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,5,3.36
,Jello-O,3 colors per 10 kids,5.29
,Small cups,3 per Jell-O,2.97
SMELLS LIKE,Small containers with lids,6,4.93
,Cotton balls,1,2.9
,Smelly stuff,(petty cash),
INVENTIONS: BAG OF JUNK,"Broken clocks, equipment","(Petty cash, donation)",
,Screwdriver,2,3.69
,Pliers,2,4.86
,Hammers,2,5.95
,"Recycled Items: egg cartons, bubble wrap, empty boxes, containers",3,
,"Watering Devices: Turkey baster, water pumps, straws, hoses","(donation, save from EXPLORE WATER)",
,"Small Stuff: bottle caps, toothpicks, screws, thread",6,
,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",6,
,"Sticky, attaching stuff: magnets, clay, glue, tape, paper clipes, sponges",6,
,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay","(donation, around site)",
OOBLECK,Large mixing bowl,1,6.47
,egg carton,1 (donation),
,bar of soap,1,2.0
,paper clips,7,2.0
,aluminum foil,1 small roll,2.0
,drinking straws,1/2 package,2.0
,craft sticks,100,2.7
,sponges,2,2.98
,packing foam pieces,1 gallon ziploc full,
,bubble wrap,1 foot,5.44
,Lego pieces,(from site),
,Small drinking cups,5,2.0
GLURCH,Borax powder,2 teaspoons,3.97
,White glue,2 cups,2.0
,Mixing bowl,2,6.47
,Large spoon,1,
,Paper bowls,5,2.17
,Food coloring,1,3.65
SECRET MESSAGES,Mirror,1,4.94
,Magnifier,1,10.48
,Children's dictionary,1,11.39
,Crayons,1,2.94
,Lemon juice,1 cup,2.48
,q-tips,5,2.68
CUBIST COLLAGE,Old magazines,6,
,Scissors,0,2.51
,Glue/tape,8,2.0
,Cardstock,1 piece per child,
EXPLORING MY LIGHT SENSORS,Small mirrors,5,
,"Colored pencils, markers, or crayons",8,
,Paper,5,
RING AND PIN,Recycled items (see preparation),3,
,Popscicle sticks,7,
,Metal washers,5,
,String,1,
SAND PAPER ART,60 grit sandpaper,1 sheet per project,
,crayons,2 boxes,
,copy paper,9,
,iron,1 per site,
,wax paper ,9,
