Month,Day,Time,Specifics
August,0,6pm,First Day of School/Parent Information session for grades 7-12
September,1,0,0
,2,1,1
,3,1,1
,4,1,Safe Environment for All (7-12): Circle of Grace
October,5,0,0
,6,1,1
,7,1,Pray outside the Abortion Facility in Fargo
,8,1,1
November,1st,0.770833333,Liturgy for All; All Saints Day Mass
,8th,1,1
,15th,1,1
,22nd,1,No School/CYO: Thanksgiving
,29th,1,1
December,1,0,0
,2,1,2
,3,1,3
,4,1,3
,30th,TBA,Youth Event: Skiing
January,3rd,0,0
,10th,1,1
,17th,1,Service for All (7-12): Spaghetti Supper
,24th,1,1
,31st,1,1
February,9,0,0
,10,0.770833333,Liturgy for All; Ash Wednesday
,11,1,1
,12,1,1
March,9,0,0
,10,1,2
,11,1,1
,12,1,Stations of the Cross
April,5,0,0
,6,1,1
,7,1,1
,8,1,1
May,2nd,0,0
,9th,1,Social for all: Softball
,16th,1,Baccalaureate
,0,,Last Day of School
,4,2:30pm,High School Graduation at VCHS
