Year,KPI-JAE
2000.0,2.0
,2.2
,1.6
,1.8
,2.0
,2.2
,2.3
,2.8
,2.7
,2.6
,2.6
,2.7
2001.0,2.8
,2.9
,2.8
,2.6
,2.7
,2.4
,2.6
,2.4
,2.3
,2.5
,2.5
,2.7
2002.0,2.5
,2.1
,2.6
,2.4
,2.6
,2.7
,2.7
,2.3
,2.2
,2.1
,2.0
,1.8
2003.0,1.8
,2.0
,1.5
,1.6
,1.2
,0.8
,0.7
,0.9
,0.9
,0.8
,0.5
,0.4
2004.0,0.0
,0.0
,0.3
,0.3
,0.1
,0.3
,0.2
,0.2
,0.5
,0.6
,1.0
,1.0
2005.0,0.7
,0.7
,0.7
,0.8
,1.1
,1.1
,1.1
,1.3
,1.3
,1.2
,1.1
,0.9
2006.0,0.8
,1.0
,0.9
,0.8
,0.7
,0.8
,0.6
,0.4
,0.5
,0.7
,0.8
,1.0
2007.0,1.0
,1.1
,1.5
,1.4
,1.4
,1.3
,1.4
,1.8
,1.6
,1.4
,1.5
,1.8
2008.0,1.9
,2.2
,2.1
,2.4
,2.3
,2.4
,2.9
,2.8
,3.1
,3.3
,2.7
,2.6
2009.0,2.8
,3.0
,2.7
,2.7
,2.9
,3.3
,2.5
,2.3
,2.4
,2.1
,2.4
,2.4
2010.0,2.3
,1.9
,1.7
,1.7
,1.5
,1.3
,1.3
,1.4
,0.9
,1.0
,1.0
,1.0
,0.7
2011.0,0.8
,0.8
,1.3
,1.0
,0.7
,1.2
,0.8
,1.2
,1.2
,1.0
,1.0
2012.0,1.3
,1.3
,1.5
,0.7
,1.4
,1.2
,1.3
,1.2
