No.,Title,Author,Released,Timeframe
1.0,Caretaker †,L.A. Graf,February 1995,April 2371
2.0,The Escape,Dean Wesley Smith & Kristine Kathryn Rusch,May 1995,2371
3.0,Ragnarok,Nathan Archer,July 1995,2371
4.0,Violations,Susan Wright,September 1995,2371
5.0,Incident at Arbuk,John Gregory Betancourt,November 1995,2371
6.0,The Murdered Sun,Christie Golden,February 1996,November 2371
7.0,Ghost of a Chance,Mark A. Garland & Charles G. McGraw,April 1996,2372
8.0,Cybersong,S.N. Lewitt,June 1996,2372
9.0,Invasion#4: The Final Fury,Dafydd ab Hugh,August 1996,December 2371
,Mosaic,Jeri Taylor,October 1996,2339 - 2372
,Flashback †,Diane Carey,October 1996,February 2373; 2293
10.0,Bless the Beasts,Karen Haber,December 1996,2372
11.0,The Garden,Melissa Scott,February 1997,March - April 2372
12.0,Chrysalis,David Niall Wilson,March 1997,June 2372
13.0,The Black Shore,Greg Cox,May 1997,March 2372
,Day of Honor#3: Her Klingon Soul,Michael Jan Friedman,October 1997,August 2372
,Day of Honor: The Television Episode †,Michael Jan Friedman,November 1997,February 2374
14.0,Marooned,Christie Golden,December 1997,July - August 2373
15.0,Echoes,"Dean Wesley Smith, Kristine Kathryn Rusch, & Nina Kiriki Hoffman",January 1998,May 2373
,The Captain's Table#4: Fire Ship,Diane Carey,July 1998,2374
,Pathways,Jeri Taylor,August 1998,December 2374
16.0,Seven of Nine,Christie Golden,September 1998,2374
17.0,Death of a Neutron Star,Eric Kotani & Dean Wesley Smith,March 1999,February 2375
18.0,Battle Lines,Dave Galanter & Greg Brodeur,May 1999,February 2375
,Equinox †,Diane Carey,October 1999,December 2375 - January 2376
,Captain Proton: Defender of the Earth,"D. W. ""Prof"" Smith (Dean Wesley Smith)",November 1999,1939
19.0,Dark Matters Book One Cloak and Dagger,Christie Golden,November 2000,December 2376
20.0,Dark Matters Book Two Ghost Dance,Christie Golden,November 2000,December 2376
21.0,Dark Matters Book Three Shadow of Heaven,Christie Golden,November 2000,December 2376
,Section 31: Shadow,Dean Wesley Smith and Kristine Kathryn Rusch,May 2001,December 2375
,Endgame †,Diane Carey,July 2001,December 2377
,Gateways#5: No Man's Land,Christie Golden,October 2001,May 2376
,The Nanotech War,Steven Piziks,November 2002,August 2377
,String Theory #1 Cohesion,Jeffrey Lang,July 2005,December 2374
,Distant Shores,various (short story collection),November 2005,2371 - 2378
,String Theory #2 Fusion,Kirsten Beyer,November 2005,January 2375
,String Theory #3 Evolution,Heather Jarman,March 2006,January 2375
,Homecoming,Christie Golden,June 2003,December 2377 - February 2378
,The Farther Shore,Christie Golden,July 2003,March 2378
,Spirit Walk Book One Old Wounds,Christie Golden,November 2004,July 2378
,Spirit Walk Book Two Enemy of My Enemy,Christie Golden,December 2004,July 2378
,Full Circle,Kirsten Beyer,March 2009,September 2378 - May 2381
,Unworthy,Kirsten Beyer,September 2009,May 2381
,Children of the Storm,Kirsten Beyer,May 2011,June - July 2381
,The Eternal Tide,Kirsten Beyer,August 2012,August - September 2381
,Protectors,Kirsten Beyer,January 2014,September 2381 - January 2382
,Acts of Contrition,Kirsten Beyer,October 2014,January - February 2382
,Atonement,Kirsten Beyer,August 2015,March - May 2382
,A Pocket Full of Lies,Kirsten Beyer,January 2016,June - July 2382
,Architects of Infinity,Kirsten Beyer,December 2017,
,To Lose the Earth,Kirsten Beyer,2018,
