Year,Author,Book,Award
1922.0,Hendrik Willem van Loon,The Story of Mankind,Winner
,Charles Boardman Hawes,The Great Quest,Honor
,Bernard Marshall,Cedric the Forester,Honor
,William Bowen,The Old Tobacco Shop: A True Account of What Befell a Little Boy in Search of Adventure,Honor
,Padraic Colum,The Golden Fleece and the Heroes Who Lived Before Achilles,Honor
,Cornelia Meigs,The Windy Hill,Honor
1923.0,Hugh Lofting,The Voyages of Doctor Dolittle,Winner
1924.0,Charles Boardman Hawes,The Dark Frigate,Winner
1925.0,Charles Finger,Tales from Silver Lands,Winner
,Annie Carroll Moore,Nicholas: A Manhattan Christmas Story,Honor
,Anne Parrish,The Dream Coach,Honor
,& Dillwyn Parrish[b],,
1926.0,Arthur Bowie Chrisman,Shen of the Sea,Winner
,Padraic Colum,The Voyagers: Being Legends and Romances of Atlantic Discovery,Honor
1927.0,Will James,Smoky the Cow Horse,Winner
1928.0,Dhan Gopal Mukerji,"Gay Neck, the Story of a Pigeon",Winner
,Ella Young,The Wonder Smith and His Son,Honor
,Caroline Snedeker,Downright Dencey,Honor
1929.0,Eric P. Kelly,The Trumpeter of Krakow,Winner
,John Bennett,The Pigtail of Ah Lee Ben Loo with Seventeen Other Laughable Tales and 200 Comical Silhouettes,Honor
,Wanda Gág,Millions of Cats,Honor
,Grace Hallock,The Boy Who Was,Honor
,Cornelia Meigs,Clearing Weather,Honor
,Grace Moon,Runaway Papoose,Honor
,Elinor Whitney Field,Tod of the Fens,Honor
