Tenor,Item,USD,EUR,GBP,JPY,CAD,AUD
1 YEAR,0,1,0,0.5,0,1,1.75
,1,57056D CY8,57056D CZ5,57056D DA9,57056D DB7,57056D DC5,57056D DD3
,2,US57056DCY85,US57056DCZ50,US57056DDA90,US57056DDB73,US57056DDC56,US57056DDD30
,3,USD 1.00 06/21/2017 1 YR CME ,EUR 0.00 06/21/2017 1 YR CME ,GBP 0.50 06/21/2017 1 YR CME ,JPY 0.00 06/21/2017 1 YR CME ,CAD 1.00 06/21/2017 1 YR CME ,AUD 1.75 06/21/2017 1 YR CME 
,4,57056D AA2,57056D AB0,57056D AC8,57056D AD6,57056D AE4,57056D AF1
,5,US57056DAA28,US57056DAB01,US57056DAC83,US57056DAD66,US57056DAE40,US57056DAF15
,6,USD 1.00 06/21/2017 1 YR LCH ,EUR 0.00 06/21/2017 1 YR LCH ,GBP 0.50 06/21/2017 1 YR LCH ,JPY 0.00 06/21/2017 1 YR LCH ,CAD 1.00 06/21/2017 1 YR LCH ,AUD 1.75 06/21/2017 1 YR LCH 
2 YEAR,0,1.25,0,0.5,0,1,1.75
,1,57056D DE1,57056D DF8,57056D DG6,57056D DH4,57056D DJ0,57056D DK7
,2,US57056DDE13,US57056DDF87,US57056DDG60,US57056DDH44,US57056DDJ00,US57056DDK72
,3,USD 1.25 06/21/2017 2 YR CME ,EUR 0.00 06/21/2017 2 YR CME ,GBP 0.50 06/21/2017 2 YR CME ,JPY 0.00 06/21/2017 2 YR CME ,CAD 1.00 06/21/2017 2 YR CME ,AUD 1.75 06/21/2017 2 YR CME 
,4,57056D AG9,57056D AH7,57056D AJ3,57056D AK0,57056D AL8,57056D AM6
,5,US57056DAG97,US57056DAH70,US57056DAJ37,US57056DAK00,US57056DAL82,US57056DAM65
,6,USD 1.25 06/21/2017 2 YR LCH ,EUR 0.00 06/21/2017 2 YR LCH ,GBP 0.50 06/21/2017 2 YR LCH ,JPY 0.00 06/21/2017 2 YR LCH ,CAD 1.00 06/21/2017 2 YR LCH ,AUD 1.75 06/21/2017 2 YR LCH 
3 YEAR,0,1.25,0,0.5,0,1,1.75
,1,57056D DL5,57056D DM3,57056D DN1,57056D DP6,57056D DQ4,57056D DR2
,2,US57056DDL55,US57056DDM39,US57056DDN12,US57056DDP69,US57056DDQ43,US57056DDR26
,3,USD 1.25 06/21/2017 3 YR CME ,EUR 0.00 06/21/2017 3 YR CME ,GBP 0.50 06/21/2017 3 YR CME ,JPY 0.00 06/21/2017 3 YR CME ,CAD 1.00 06/21/2017 3 YR CME ,AUD 1.75 06/21/2017 3 YR CME 
,4,57056D AN4,57056D AP9,57056D AQ7,57056D AR5,57056D AS3,57056D AT1
,5,US57056DAN49,US57056DAP96,US57056DAQ79,US57056DAR52,US57056DAS36,US57056DAT19
,6,USD 1.25 06/21/2017 3 YR LCH ,EUR 0.00 06/21/2017 3 YR LCH ,GBP 0.50 06/21/2017 3 YR LCH ,JPY 0.00 06/21/2017 3 YR LCH ,CAD 1.00 06/21/2017 3 YR LCH ,AUD 1.75 06/21/2017 3 YR LCH 
4 YEAR,0,1.25,0,0.5,0,1,1.75
,1,57056D DS0,57056D DT8,57056D DU5,57056D DV3,57056D DW1,57056D DX9
,2,US57056DDS09,US57056DDT81,US57056DDU54,US57056DDV38,US57056DDW11,US57056DDX93
,3,USD 1.25 06/21/2017 4 YR CME ,EUR 0.00 06/21/2017 4 YR CME ,GBP 0.50 06/21/2017 4 YR CME ,JPY 0.00 06/21/2017 4 YR CME ,CAD 1.00 06/21/2017 4 YR CME ,AUD 1.75 06/21/2017 4 YR CME 
,4,57056D AU8,57056D AV6,57056D AW4,57056D AX2,57056D AY0,57056D AZ7
,5,US57056DAU81,US57056DAV64,US57056DAW48,US57056DAX21,US57056DAY04,US57056DAZ78
,6,USD 1.25 06/21/2017 4 YR LCH ,EUR 0.00 06/21/2017 4 YR LCH ,GBP 0.50 06/21/2017 4 YR LCH ,JPY 0.00 06/21/2017 4 YR LCH ,CAD 1.00 06/21/2017 4 YR LCH ,AUD 1.75 06/21/2017 4 YR LCH 
5 YEAR,0,1.25,0,0.5,0,1,2
,1,57056D DY7,57056D DZ4,57056D EA8,57056D EB6,57056D EC4,57056D ED2
,2,US57056DDY76,US57056DDZ42,US57056DEA81,US57056DEB64,US57056DEC48,US57056DED21
,3,USD 1.25 06/21/2017 5 YR CME ,EUR 0.00 06/21/2017 5 YR CME ,GBP 0.50 06/21/2017 5 YR CME ,JPY 0.00 06/21/2017 5 YR CME ,CAD 1.00 06/21/2017 5 YR CME ,AUD 2.00 06/21/2017 5 YR CME 
,4,57056D BA1,57056D BB9,57056D BC7,57056D BD5,57056D BE3,57056D BF0
,5,US57056DBA19,US57056DBB91,US57056DBC74,US57056DBD57,US57056DBE31,US57056DBF06
,6,USD 1.25 06/21/2017 5 YR LCH ,EUR 0.00 06/21/2017 5 YR LCH ,GBP 0.50 06/21/2017 5 YR LCH ,JPY 0.00 06/21/2017 5 YR LCH ,CAD 1.00 06/21/2017 5 YR LCH ,AUD 2.00 06/21/2017 5 YR LCH 
7 YEAR,0,1.5,0,0.75,0,1,2
,1,57056D EE0,57056D EF7,57056D EG5,57056D EH3,57056D EJ9,57056D EK6
,2,US57056DEE04,US57056DEF78,US57056DEG51,US57056DEH35,US57056DEJ90,US57056DEK63
,3,USD 1.50 06/21/2017 7 YR CME ,EUR 0.00 06/21/2017 7 YR CME ,GBP 0.75 06/21/2017 7 YR CME ,JPY 0.00 06/21/2017 7 YR CME ,CAD 1.00 06/21/2017 7 YR CME ,AUD 2.00 06/21/2017 7 YR CME 
,4,57056D BG8,57056D BH6,57056D BJ2,57056D BK9,57056D BL7,57056D BM5
,5,US57056DBG88,US57056DBH61,US57056DBJ28,US57056DBK90,US57056DBL73,US57056DBM56
,6,USD 1.50 06/21/2017 7 YR LCH ,EUR 0.00 06/21/2017 7 YR LCH ,GBP 0.75 06/21/2017 7 YR LCH ,JPY 0.00 06/21/2017 7 YR LCH ,CAD 1.00 06/21/2017 7 YR LCH ,AUD 2.00 06/21/2017 7 YR LCH 
9 YEAR,0,1.5,0.25,0.75,0,1.25,2
,1,57056D EL4,57056D EM2,57056D EN0,57056D EP5,57056D EQ3,57056D ER1
,2,US57056DEL47,US57056DEM20,US57056DEN03,US57056DEP50,US57056DEQ34,US57056DER17
,3,USD 1.50 06/21/2017 9 YR CME ,EUR 0.25 06/21/2017 9 YR CME ,GBP 0.75 06/21/2017 9 YR CME ,JPY 0.00 06/21/2017 9 YR CME ,CAD 1.25 06/21/2017 9 YR CME ,AUD 2.00 06/21/2017 9 YR CME 
