Tenor,Item,var,value
1 YEAR,0,USD,1
1 YEAR,1,USD,57056D CY8
1 YEAR,2,USD,US57056DCY85
1 YEAR,3,USD,USD 1.00 06/21/2017 1 YR CME 
1 YEAR,4,USD,57056D AA2
1 YEAR,5,USD,US57056DAA28
1 YEAR,6,USD,USD 1.00 06/21/2017 1 YR LCH 
2 YEAR,0,USD,1.25
2 YEAR,1,USD,57056D DE1
2 YEAR,2,USD,US57056DDE13
2 YEAR,3,USD,USD 1.25 06/21/2017 2 YR CME 
2 YEAR,4,USD,57056D AG9
2 YEAR,5,USD,US57056DAG97
2 YEAR,6,USD,USD 1.25 06/21/2017 2 YR LCH 
3 YEAR,0,USD,1.25
3 YEAR,1,USD,57056D DL5
3 YEAR,2,USD,US57056DDL55
3 YEAR,3,USD,USD 1.25 06/21/2017 3 YR CME 
3 YEAR,4,USD,57056D AN4
3 YEAR,5,USD,US57056DAN49
3 YEAR,6,USD,USD 1.25 06/21/2017 3 YR LCH 
4 YEAR,0,USD,1.25
4 YEAR,1,USD,57056D DS0
4 YEAR,2,USD,US57056DDS09
4 YEAR,3,USD,USD 1.25 06/21/2017 4 YR CME 
4 YEAR,4,USD,57056D AU8
4 YEAR,5,USD,US57056DAU81
4 YEAR,6,USD,USD 1.25 06/21/2017 4 YR LCH 
5 YEAR,0,USD,1.25
5 YEAR,1,USD,57056D DY7
5 YEAR,2,USD,US57056DDY76
5 YEAR,3,USD,USD 1.25 06/21/2017 5 YR CME 
5 YEAR,4,USD,57056D BA1
5 YEAR,5,USD,US57056DBA19
5 YEAR,6,USD,USD 1.25 06/21/2017 5 YR LCH 
7 YEAR,0,USD,1.5
7 YEAR,1,USD,57056D EE0
7 YEAR,2,USD,US57056DEE04
7 YEAR,3,USD,USD 1.50 06/21/2017 7 YR CME 
7 YEAR,4,USD,57056D BG8
7 YEAR,5,USD,US57056DBG88
7 YEAR,6,USD,USD 1.50 06/21/2017 7 YR LCH 
9 YEAR,0,USD,1.5
9 YEAR,1,USD,57056D EL4
9 YEAR,2,USD,US57056DEL47
9 YEAR,3,USD,USD 1.50 06/21/2017 9 YR CME 
9 YEAR,4,USD,57056D BN3
9 YEAR,5,USD,US57056DBN30
9 YEAR,6,USD,USD 1.50 06/21/2017 9 YR LCH 
10 YEAR,0,USD,1.5
10 YEAR,1,USD,57056D ES9
10 YEAR,2,USD,US57056DES99
10 YEAR,3,USD,USD 1.50 06/21/2017 10 YR CME 
10 YEAR,4,USD,57056D BU7
10 YEAR,5,USD,US57056DBU72
10 YEAR,6,USD,USD 1.50 06/21/2017 10 YR LCH 
12 YEAR,0,USD,1.5
12 YEAR,1,USD,57056D EY6
12 YEAR,2,USD,US57056DEY67
12 YEAR,3,USD,USD 1.50 06/21/2017 12 YR CME 
12 YEAR,4,USD,57056D CA0
12 YEAR,5,USD,US57056DCA00
12 YEAR,6,USD,USD 1.50 06/21/2017 12 YR LCH 
15 YEAR,0,USD,1.5
15 YEAR,1,USD,57056D FE9
15 YEAR,2,USD,US57056DFE94
15 YEAR,3,USD,USD 1.50 06/21/2017 15 YR CME 
15 YEAR,4,USD,57056D CG7
15 YEAR,5,USD,US57056DCG79
15 YEAR,6,USD,USD 1.50 06/21/2017 15 YR LCH 
20 YEAR,0,USD,1.75
20 YEAR,1,USD,57056D FL3
20 YEAR,2,USD,US57056DFL38
20 YEAR,3,USD,USD 1.75 06/21/2017 20 YR CME 
20 YEAR,4,USD,57056D CN2
20 YEAR,5,USD,US57056DCN21
20 YEAR,6,USD,USD 1.75 06/21/2017 20 YR LCH 
30 YEAR,0,USD,1.75
30 YEAR,1,USD,57056D FR0
30 YEAR,2,USD,US57056DFR08
30 YEAR,3,USD,USD 1.75 06/21/2017 30 YR CME 
30 YEAR,4,USD,57056D CT9
30 YEAR,5,USD,US57056DCT90
30 YEAR,6,USD,USD 1.75 06/21/2017 30 YR LCH 
1 YEAR,0,EUR,0
1 YEAR,1,EUR,57056D CZ5
1 YEAR,2,EUR,US57056DCZ50
