Course,Grade,Freshmen,Sophomores,Juniors,Seniors
Biology 115,,,,,
,0.0,23.0,14.0,9.0,4.0
,1.0,16.0,26.0,13.0,6.0
,2.0,42.0,33.0,19.0,3.0
,3.0,17.0,10.0,6.0,0.0
,4.0,9.0,5.0,2.0,1.0
Chemistry 115,,,,,
,0.0,15.0,22.0,10.0,3.0
,1.0,37.0,29.0,11.0,7.0
,2.0,55.0,41.0,25.0,9.0
,3.0,12.0,15.0,16.0,2.0
,4.0,10.0,7.0,4.0,8.0
Communications 101,,,,,
,0.0,15.0,19.0,22.0,17.0
,1.0,22.0,27.0,17.0,19.0
,2.0,49.0,58.0,31.0,24.0
,3.0,14.0,22.0,8.0,15.0
,4.0,6.0,11.0,7.0,3.0
French 101,,,,,
,0.0,23.0,39.0,11.0,12.0
,1.0,9.0,16.0,16.0,7.0
,2.0,36.0,22.0,13.0,5.0
,3.0,7.0,13.0,4.0,9.0
,4.0,12.0,9.0,5.0,2.0
Spanish 101,,,,,
,0.0,44.0,58.0,16.0,5.0
,1.0,25.0,23.0,11.0,9.0
,2.0,39.0,34.0,26.0,4.0
,3.0,10.0,7.0,3.0,1.0
,4.0,16.0,12.0,3.0,2.0
