Percentage of students who currently use tobacco,6th Grade,7th Grade,8th Grade,9th Grade,10th Grade,11th Grade,12th Grade
Cigarette,,,,,,,
0,1.1,2.0,2.4,,,,
1,,,,5.1,6.4,5.6,9.4
Cigar,,,,,,,
0,1.6,2.0,4.0,,,,
1,,,,6.4,6.8,9.0,10.8
E-Cigarette (Current Use),,,,,,,
0,2.8,5.9,10.3,,,,
1,,,,14.6,14.2,15.3,18.4
E-Cigarette (Frequent Use),,,,,,,
0,0.5,0.8,1.4,,,,
1,,,,2.5,2.3,2.3,3.8
Hookah,,,,,,,
0,2.0,3.3,5.4,,,,
1,,,,8.3,9.9,7.5,11.8
Specialty,,,,,,,
0,0.8,1.0,0.9,,,,
1,,,,2.1,2.6,2.2,2.7
Flavored Tobacco,,,,,,,
0,1.8,2.5,3.6,,,,
1,,,,6.9,7.6,8.1,9.4
Smokeless,,,,,,,
0,1.4,1.5,2.1,,,,
1,,,,4.7,4.4,3.2,6.0
Snus,,,,,,,
0,0.7,0.9,0.9,,,,
1,,,,1.6,1.9,1.7,2.0
