Subtitle,Items,var,value
Milk,1% White,g Sat Fat,1.5
Milk,Chocolate Skim,g Sat Fat,0.0
Milk,Skim,g Sat Fat,0.0
Juice,0,g Sat Fat,0.0
Juice,Apple Cherry,g Sat Fat,0.0
Juice,Fruit Blend,g Sat Fat,0.0
Juice,Grape,g Sat Fat,0.0
Juice,Orange,g Sat Fat,0.0
Juice,Orange/Pineapple,g Sat Fat,0.0
Fruits,0,g Sat Fat,0.0
Fruits,Apple Wedges,g Sat Fat,0.013
Fruits,Apricot Cup,g Sat Fat,0.0
Fruits,Applesauce,g Sat Fat,0.0
Fruits,Banana,g Sat Fat,0.0
Fruits,Blueberries with Whipped Topping,g Sat Fat,0.201
Fruits,Blue Raspberry Sorbet (100% Juice),g Sat Fat,0.0
Fruits,Cantaloupe Cubes,g Sat Fat,0.04
Fruits,Diced Peaches,g Sat Fat,0.0
Fruits,Diced Pears,g Sat Fat,0.0
Fruits,Fresh Pear,g Sat Fat,0.0
Fruits,Grapes,g Sat Fat,0.0
Fruits,Grape Sorbet (100% Juice),g Sat Fat,0.0
Fruits,Honey Dew & Watermelon,g Sat Fat,0.04
Fruits,Hot Cinnamon Apples,g Sat Fat,1.114
Fruits,Mandarin Oranges,g Sat Fat,0.0
Fruits,Mixed Fruit,g Sat Fat,0.0
Fruits,Nectarine,g Sat Fat,0.0
Fruits,Orange Sorbet (100% Juice),g Sat Fat,0.0
Fruits,Orange Wedges,g Sat Fat,0.02
Fruits,Pineapple Tidbits,g Sat Fat,0.0
Fruits,Plum,g Sat Fat,0.0
Fruits,Raisins,g Sat Fat,0.02
Fruits,Strawberry Cup,g Sat Fat,0.0
Fruits,Sweet Cherries with Whipped Topping,g Sat Fat,0.26
Fruits,Watermelon,g Sat Fat,0.01
Vegetables,Baby Carrots,g Sat Fat,0.02
Vegetables,Baked Beans,g Sat Fat,0.0
Vegetables,Baked Potato,g Sat Fat,0.07
Vegetables,"Beets, Harvard",g Sat Fat,1.191
Vegetables,Broccoli & Cauliflower (Cooked),g Sat Fat,1.62
Vegetables,Broccoli with Cheese Sauce,g Sat Fat,4.105
Vegetables,Candied Sweet Potatoes,g Sat Fat,1.266
Vegetables,Carrots (Bagged),g Sat Fat,0.018
Vegetables,Corn,g Sat Fat,1.713
Vegetables,Corn on the Cob,g Sat Fat,2.531
Vegetables,Creamy Coleslaw,g Sat Fat,0.471
Vegetables,French Fries (Crinkle Cut),g Sat Fat,1.019
Vegetables,French Fries (Seasoned),g Sat Fat,1.026
Vegetables,Glazed Carrots,g Sat Fat,3.375
Vegetables,Green Beans,g Sat Fat,1.01
Vegetables,Mashed Sweet Potatoes,g Sat Fat,0.0
Vegetables,Mashed/Whipped Potatoes (with Gravy),g Sat Fat,0.0
Vegetables,Mixed Vegetables,g Sat Fat,1.62
Vegetables,Oven Roasted Potatoes,g Sat Fat,0.0878
Vegetables,Peas & Carrots,g Sat Fat,0.81
Vegetables,Potato Rounds (6-12),g Sat Fat,1.37
Vegetables,Potato Rounds (K-5),g Sat Fat,1.027
Vegetables,Refried Beans,g Sat Fat,1.337
Vegetables,Savory Carrots,g Sat Fat,1.013
Vegetables,Shredded Lettuce & Tomato (9-12),g Sat Fat,0.0
Vegetables,Shredded Lettuce & Tomato (K-8),g Sat Fat,0.0
Vegetables,Spinach & Lettuce Salad (9-12),g Sat Fat,0.0
Vegetables,Spinach & Lettuce Salad (K-8),g Sat Fat,0.0
Vegetables,Strawberry & Bananas,g Sat Fat,0.005
Vegetables,Strawberry Applesauce,g Sat Fat,0.0
Vegetables,Sweet Peas,g Sat Fat,1.68
Vegetables,Sweet Potato Casserole,g Sat Fat,2.153
Vegetables,Sweet Potato Fries,g Sat Fat,0.5
Vegetables,Three Bean Salad,g Sat Fat,0.0
Vegetables,Tomato Soup,g Sat Fat,0.0
Vegetables,Vegetable Soup,g Sat Fat,0.015
Milk,1% White,g Trans Fat,0.0
Milk,Chocolate Skim,g Trans Fat,0.0
Milk,Skim,g Trans Fat,0.0
Juice,0,g Trans Fat,0.0
Juice,Apple Cherry,g Trans Fat,0.0
Juice,Fruit Blend,g Trans Fat,0.0
Juice,Grape,g Trans Fat,0.0
Juice,Orange,g Trans Fat,0.0
Juice,Orange/Pineapple,g Trans Fat,0.0
Fruits,0,g Trans Fat,0.0
Fruits,Apple Wedges,g Trans Fat,0.0
Fruits,Apricot Cup,g Trans Fat,0.0
Fruits,Applesauce,g Trans Fat,0.0
Fruits,Banana,g Trans Fat,0.0
