Subtitle,"Country of origin or 
declared nationality",var,value
EU Countries,Austria,2006,769.0
EU Countries,Belgium,2006,506.0
EU Countries,Bulgaria(1),2006,267.0
EU Countries,Croatia,2006,176.0
EU Countries,Cyprus(2),2006,33.0
EU Countries,Czech Republic(2),2006,4458.0
EU Countries,Denmark,2006,286.0
EU Countries,Estonia(2),2006,1407.0
EU Countries,Finland,2006,508.0
EU Countries,France,2006,6880.0
EU Countries,Germany,2006,4605.0
EU Countries,Greece,2006,207.0
EU Countries,Hungary(2),2006,4330.0
EU Countries,Ireland(3),2006,84740.0
EU Countries,Italy,2006,4222.0
EU Countries,Latvia(2),2006,7954.0
EU Countries,Lithuania(2),2006,16039.0
EU Countries,Luxembourg,2006,18.0
EU Countries,Malta(2),2006,143.0
EU Countries,Netherlands,2006,1104.0
EU Countries,Poland(2),2006,93787.0
EU Countries,Portugal,2006,935.0
EU Countries,Romania(2),2006,3336.0
EU Countries,Slovakia(2),2006,10687.0
EU Countries,Slovenia(2),2006,101.0
EU Countries,Spain,2006,4433.0
EU Countries,Sweden,2006,1103.0
EU Countries,United Kingdom,2006,22283.0
EU Countries,Total EU,2006,275317.0
Non-EU Countries,Brazil,2006,3460.0
Non-EU Countries,United States of America,2006,4079.0
Non-EU Countries,India,2006,5580.0
Non-EU Countries,Venezuela,2006,53.0
Non-EU Countries,China,2006,1418.0
Non-EU Countries,Republic of Korea,2006,491.0
Non-EU Countries,Pakistan,2006,1425.0
Non-EU Countries,Canada,2006,1161.0
Non-EU Countries,Australia,2006,2105.0
Non-EU Countries,Nigeria,2006,1623.0
Non-EU Countries,Mexico,2006,158.0
Non-EU Countries,Saudi Arabia,2006,38.0
Non-EU Countries,Malaysia,2006,636.0
Non-EU Countries,Philippines,2006,1884.0
Non-EU Countries,Japan,2006,277.0
Non-EU Countries,South Africa,2006,1126.0
Non-EU Countries,Russia,2006,464.0
Non-EU Countries,Libya,2006,51.0
Non-EU Countries,Ukraine,2006,405.0
Non-EU Countries,New Zealand,2006,1010.0
Non-EU Countries,Switzerland,2006,291.0
Non-EU Countries,Argentina,2006,212.0
Non-EU Countries,Bangladesh,2006,456.0
Non-EU Countries,Nepal,2006,66.0
Non-EU Countries,Egypt,2006,206.0
Non-EU Countries,Norway,2006,196.0
Non-EU Countries,Turkey,2006,165.0
Non-EU Countries,Thailand,2006,210.0
Non-EU Countries,Moldova,2006,294.0
Non-EU Countries,Mauritius,2006,1938.0
Non-EU Countries,Other(4),2006,5055.0
Non-EU Countries,Total Non-EU,2006,36533.0
Non-EU Countries,Total,2006,311850.0
EU Countries,Austria,2007,814.0
EU Countries,Belgium,2007,523.0
EU Countries,Bulgaria(1),2007,1008.0
EU Countries,Croatia,2007,170.0
EU Countries,Cyprus(2),2007,43.0
EU Countries,Czech Republic(2),2007,3838.0
EU Countries,Denmark,2007,338.0
EU Countries,Estonia(2),2007,648.0
EU Countries,Finland,2007,473.0
EU Countries,France,2007,7673.0
EU Countries,Germany,2007,4534.0
EU Countries,Greece,2007,167.0
EU Countries,Hungary(2),2007,5046.0
EU Countries,Ireland(3),2007,90238.0
EU Countries,Italy,2007,4715.0
EU Countries,Latvia(2),2007,4674.0
EU Countries,Lithuania(2),2007,10728.0
EU Countries,Luxembourg,2007,10.0
EU Countries,Malta(2),2007,161.0
EU Countries,Netherlands,2007,1051.0
EU Countries,Poland(2),2007,79816.0
EU Countries,Portugal,2007,1517.0
EU Countries,Romania(2),2007,14525.0
EU Countries,Slovakia(2),2007,8375.0
EU Countries,Slovenia(2),2007,63.0
EU Countries,Spain,2007,4691.0
EU Countries,Sweden,2007,932.0
EU Countries,United Kingdom,2007,22040.0
EU Countries,Total EU,2007,268811.0
Non-EU Countries,Brazil,2007,4805.0
Non-EU Countries,United States of America,2007,3841.0
Non-EU Countries,India,2007,4778.0
Non-EU Countries,Venezuela,2007,71.0
Non-EU Countries,China,2007,1519.0
Non-EU Countries,Republic of Korea,2007,948.0
Non-EU Countries,Pakistan,2007,1439.0
Non-EU Countries,Canada,2007,1071.0
Non-EU Countries,Australia,2007,1966.0
Non-EU Countries,Nigeria,2007,1610.0
Non-EU Countries,Mexico,2007,169.0
Non-EU Countries,Saudi Arabia,2007,36.0
Non-EU Countries,Malaysia,2007,744.0
Non-EU Countries,Philippines,2007,1624.0
Non-EU Countries,Japan,2007,426.0
Non-EU Countries,South Africa,2007,1046.0
Non-EU Countries,Russia,2007,398.0
Non-EU Countries,Libya,2007,27.0
Non-EU Countries,Ukraine,2007,394.0
Non-EU Countries,New Zealand,2007,886.0
Non-EU Countries,Switzerland,2007,262.0
Non-EU Countries,Argentina,2007,201.0
Non-EU Countries,Bangladesh,2007,405.0
Non-EU Countries,Nepal,2007,84.0
Non-EU Countries,Egypt,2007,263.0
Non-EU Countries,Norway,2007,218.0
Non-EU Countries,Turkey,2007,228.0
Non-EU Countries,Thailand,2007,271.0
Non-EU Countries,Moldova,2007,409.0
Non-EU Countries,Mauritius,2007,1989.0
Non-EU Countries,Other(4),2007,4671.0
Non-EU Countries,Total Non-EU,2007,36799.0
Non-EU Countries,Total,2007,305610.0
EU Countries,Austria,2008,670.0
EU Countries,Belgium,2008,466.0
EU Countries,Bulgaria(1),2008,772.0
EU Countries,Croatia,2008,123.0
EU Countries,Cyprus(2),2008,19.0
EU Countries,Czech Republic(2),2008,2762.0
EU Countries,Denmark,2008,349.0
EU Countries,Estonia(2),2008,572.0
EU Countries,Finland,2008,372.0
EU Countries,France,2008,7066.0
EU Countries,Germany,2008,3823.0
EU Countries,Greece,2008,168.0
EU Countries,Hungary(2),2008,4562.0
EU Countries,Ireland(3),2008,92999.0
EU Countries,Italy,2008,4428.0
EU Countries,Latvia(2),2008,3727.0
EU Countries,Lithuania(2),2008,6443.0
EU Countries,Luxembourg,2008,19.0
EU Countries,Malta(2),2008,132.0
EU Countries,Netherlands,2008,904.0
EU Countries,Poland(2),2008,42553.0
EU Countries,Portugal,2008,2125.0
EU Countries,Romania(2),2008,6762.0
EU Countries,Slovakia(2),2008,4994.0
EU Countries,Slovenia(2),2008,87.0
EU Countries,Spain,2008,4618.0
EU Countries,Sweden,2008,757.0
EU Countries,United Kingdom,2008,19707.0
EU Countries,Total EU,2008,211979.0
Non-EU Countries,Brazil,2008,5632.0
Non-EU Countries,United States of America,2008,3504.0
Non-EU Countries,India,2008,4332.0
Non-EU Countries,Venezuela,2008,66.0
Non-EU Countries,China,2008,1685.0
Non-EU Countries,Republic of Korea,2008,1147.0
Non-EU Countries,Pakistan,2008,911.0
Non-EU Countries,Canada,2008,1213.0
Non-EU Countries,Australia,2008,1857.0
Non-EU Countries,Nigeria,2008,1545.0
Non-EU Countries,Mexico,2008,189.0
Non-EU Countries,Saudi Arabia,2008,33.0
Non-EU Countries,Malaysia,2008,656.0
Non-EU Countries,Philippines,2008,1440.0
Non-EU Countries,Japan,2008,445.0
Non-EU Countries,South Africa,2008,1105.0
Non-EU Countries,Russia,2008,358.0
Non-EU Countries,Libya,2008,26.0
Non-EU Countries,Ukraine,2008,467.0
Non-EU Countries,New Zealand,2008,819.0
Non-EU Countries,Switzerland,2008,277.0
Non-EU Countries,Argentina,2008,137.0
Non-EU Countries,Bangladesh,2008,240.0
Non-EU Countries,Nepal,2008,94.0
Non-EU Countries,Egypt,2008,337.0
Non-EU Countries,Norway,2008,240.0
Non-EU Countries,Turkey,2008,197.0
Non-EU Countries,Thailand,2008,275.0
Non-EU Countries,Moldova,2008,300.0
Non-EU Countries,Mauritius,2008,1431.0
Non-EU Countries,Other(4),2008,4494.0
Non-EU Countries,Total Non-EU,2008,35452.0
Non-EU Countries,Total,2008,247431.0
EU Countries,Austria,2009,338.0
EU Countries,Belgium,2009,288.0
EU Countries,Bulgaria(1),2009,277.0
EU Countries,Croatia,2009,60.0
EU Countries,Cyprus(2),2009,26.0
EU Countries,Czech Republic(2),2009,901.0
EU Countries,Denmark,2009,209.0
EU Countries,Estonia(2),2009,428.0
EU Countries,Finland,2009,153.0
EU Countries,France,2009,3109.0
EU Countries,Germany,2009,2090.0
EU Countries,Greece,2009,100.0
EU Countries,Hungary(2),2009,1794.0
EU Countries,Ireland(3),2009,86748.0
EU Countries,Italy,2009,2237.0
EU Countries,Latvia(2),2009,3916.0
EU Countries,Lithuania(2),2009,3768.0
EU Countries,Luxembourg,2009,15.0
EU Countries,Malta(2),2009,69.0
EU Countries,Netherlands,2009,647.0
EU Countries,Poland(2),2009,13794.0
EU Countries,Portugal,2009,1125.0
EU Countries,Romania(2),2009,2624.0
EU Countries,Slovakia(2),2009,1784.0
EU Countries,Slovenia(2),2009,40.0
EU Countries,Spain,2009,2595.0
EU Countries,Sweden,2009,481.0
EU Countries,United Kingdom,2009,13996.0
EU Countries,Total EU,2009,143612.0
Non-EU Countries,Brazil,2009,2741.0
Non-EU Countries,United States of America,2009,2544.0
Non-EU Countries,India,2009,2249.0
Non-EU Countries,Venezuela,2009,52.0
Non-EU Countries,China,2009,1266.0
Non-EU Countries,Republic of Korea,2009,431.0
Non-EU Countries,Pakistan,2009,868.0
Non-EU Countries,Canada,2009,841.0
Non-EU Countries,Australia,2009,1013.0
Non-EU Countries,Nigeria,2009,888.0
Non-EU Countries,Mexico,2009,160.0
Non-EU Countries,Saudi Arabia,2009,159.0
Non-EU Countries,Malaysia,2009,436.0
Non-EU Countries,Philippines,2009,695.0
Non-EU Countries,Japan,2009,248.0
Non-EU Countries,South Africa,2009,678.0
Non-EU Countries,Russia,2009,258.0
Non-EU Countries,Libya,2009,30.0
Non-EU Countries,Ukraine,2009,302.0
Non-EU Countries,New Zealand,2009,413.0
Non-EU Countries,Switzerland,2009,156.0
Non-EU Countries,Argentina,2009,158.0
Non-EU Countries,Bangladesh,2009,167.0
Non-EU Countries,Nepal,2009,97.0
Non-EU Countries,Egypt,2009,201.0
Non-EU Countries,Norway,2009,196.0
Non-EU Countries,Turkey,2009,140.0
Non-EU Countries,Thailand,2009,224.0
Non-EU Countries,Moldova,2009,252.0
Non-EU Countries,Mauritius,2009,887.0
