School name,GradeLevelID,Year,Principal's name,School web address,# Students,# Teachers,Average daily attendance,Student mobility,Var,Proficient on state ELA test ,Proficient on state Math test 
Adams Elementary,ES,2017,Douglas Sohn,adamses.seattleschools.org,553,29,0.95876,5.24E-02, Grade 3,0.77778,0.74444
Adams Elementary,ES,2017,Douglas Sohn,adamses.seattleschools.org,553,29,0.95876,5.24E-02, Grade 3 - Last year,0.74725,0.71429
Adams Elementary,ES,2017,Douglas Sohn,adamses.seattleschools.org,553,29,0.95876,5.24E-02, Grade 3 - Two years ago,0.73913,0.68478
Aki Kurose Middle School,MS,2017,Mia T. Williams,kurosems.seattleschools.org,685,42,0.93643,0.1562, Grade 3,,
Aki Kurose Middle School,MS,2017,Mia T. Williams,kurosems.seattleschools.org,685,42,0.93643,0.1562, Grade 3 - Last year,,
Aki Kurose Middle School,MS,2017,Mia T. Williams,kurosems.seattleschools.org,685,42,0.93643,0.1562, Grade 3 - Two years ago,,
Alki Elementary,ES,2017,Rena S. Deese,alkies.seattleschools.org,373,18,0.95595,7.24E-02, Grade 3,0.67568,0.56757
Alki Elementary,ES,2017,Rena S. Deese,alkies.seattleschools.org,373,18,0.95595,7.24E-02, Grade 3 - Last year,0.71875,0.76563
Alki Elementary,ES,2017,Rena S. Deese,alkies.seattleschools.org,373,18,0.95595,7.24E-02, Grade 3 - Two years ago,0.80556,0.79452
Arbor Heights Elementary,ES,2017,Christy A. Collins,arborheightses.seattleschools.org,523,29,0.95877,9.24E-02, Grade 3,0.62222,0.6
Arbor Heights Elementary,ES,2017,Christy A. Collins,arborheightses.seattleschools.org,523,29,0.95877,9.24E-02, Grade 3 - Last year,0.63218,0.66667
Arbor Heights Elementary,ES,2017,Christy A. Collins,arborheightses.seattleschools.org,523,29,0.95877,9.24E-02, Grade 3 - Two years ago,0.67742,0.45161
B.F. Day Elementary,ES,2017,Stanley C. Jaskot,dayes.seattleschools.org,282,17,0.96311,9.24E-02, Grade 3,0.85714,0.83673
B.F. Day Elementary,ES,2017,Stanley C. Jaskot,dayes.seattleschools.org,282,17,0.96311,9.24E-02, Grade 3 - Last year,0.87234,0.82979
B.F. Day Elementary,ES,2017,Stanley C. Jaskot,dayes.seattleschools.org,282,17,0.96311,9.24E-02, Grade 3 - Two years ago,0.58537,0.53659
Bailey Gatzert Elementary,ES,2017,Laurie L. Kazanjian,gatzertes.seattleschools.org,282,23,0.94331,0.1865, Grade 3,0.23077,0.36538
