Index,Nationality,Age,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,DistributionChannel,var,value
0,PRT,52,59,292,82.3,1,Corporate,BookingsNoShowed,0
1,PRT,46,61,280,53,0,Travel Agent/Operator,BookingsNoShowed,0
3,FRA,61,93,240,60,0,Travel Agent/Operator,BookingsNoShowed,0
5,JPN,55,58,230,24,0,Travel Agent/Operator,BookingsNoShowed,0
7,FRA,33,38,535,94,0,Travel Agent/Operator,BookingsNoShowed,0
9,IRL,26,96,174,69,0,Travel Agent/Operator,BookingsNoShowed,0
11,FRA,59,60,292,81,0,Travel Agent/Operator,BookingsNoShowed,0
13,ESP,43,87,327.7,48,0,Direct,BookingsNoShowed,0
15,FRA,69,11,437,36,0,Travel Agent/Operator,BookingsNoShowed,0
16,FRA,73,11,455,18,0,Travel Agent/Operator,BookingsNoShowed,0
18,FRA,25,109,174,36,0,Travel Agent/Operator,BookingsNoShowed,0
20,PRT,46,63,224,156,0,Travel Agent/Operator,BookingsNoShowed,0
21,BEL,51,2,348.12,66,0,Direct,BookingsNoShowed,0
23,FRA,33,95,144,93,0,Travel Agent/Operator,BookingsNoShowed,0
25,AUT,65,7,177,21.5,0,Travel Agent/Operator,BookingsNoShowed,0
26,FRA,65,94,240,104.5,0,Travel Agent/Operator,BookingsNoShowed,0
28,AUT,48,7,177,20.5,0,Travel Agent/Operator,BookingsNoShowed,0
29,AUT,68,7,177,18,0,Travel Agent/Operator,BookingsNoShowed,0
30,PRT,40,1,1083.5,255.49,0,Direct,BookingsNoShowed,0
31,PRT,72,85,180.6,54,0,Direct,BookingsNoShowed,0
33,PRT,44,78,180.6,100.5,0,Direct,BookingsNoShowed,0
36,DEU,31,13,210,73,0,Travel Agent/Operator,BookingsNoShowed,0
38,PRT,46,0,0,0,0,Direct,BookingsNoShowed,0
39,PRT,46,0,0,0,0,Direct,BookingsNoShowed,0
40,ITA,53,87,563.1,90,0,Travel Agent/Operator,BookingsNoShowed,0
42,FRA,54,67,455.7,86.5,0,Travel Agent/Operator,BookingsNoShowed,0
44,ITA,49,87,251.1,40.5,0,Travel Agent/Operator,BookingsNoShowed,0
46,CHN,26,65,202.8,24,0,Travel Agent/Operator,BookingsNoShowed,0
48,RUS,44,80,101.4,21,0,Travel Agent/Operator,BookingsNoShowed,0
49,POL,54,61,370,62.5,0,Travel Agent/Operator,BookingsNoShowed,0
51,ITA,37,98,142.8,35.3,0,Travel Agent/Operator,BookingsNoShowed,0
52,ITA,31,97,116,27,0,Travel Agent/Operator,BookingsNoShowed,0
54,PRT,39,98,142.8,15.3,0,Travel Agent/Operator,BookingsNoShowed,0
55,PRT,46,97,213.52,11.5,0,Travel Agent/Operator,BookingsNoShowed,0
56,ITA,41,98,147.9,47.6,0,Travel Agent/Operator,BookingsNoShowed,0
58,PRT,46,0,0,2,0,Direct,BookingsNoShowed,0
59,PRT,46,1,123,12,0,Direct,BookingsNoShowed,0
60,ITA,40,98,147.9,30.6,0,Travel Agent/Operator,BookingsNoShowed,0
62,ITA,33,97,168,18,0,Travel Agent/Operator,BookingsNoShowed,0
63,USA,66,57,423.31,91.5,0,Travel Agent/Operator,BookingsNoShowed,0
65,PRT,46,6,141.5,13.5,0,Travel Agent/Operator,BookingsNoShowed,0
66,FRA,51,96,300,284.97,0,Travel Agent/Operator,BookingsNoShowed,0
69,PRT,46,58,294,77.7,0,Direct,BookingsNoShowed,0
71,FRA,70,72,515.34,292.5,0,Direct,BookingsNoShowed,0
73,FRA,50,72,515.34,301.5,0,Direct,BookingsNoShowed,0
75,FRA,71,70,321.52,623.1,0,Direct,BookingsNoShowed,0
76,FRA,35,70,875.16,1189.2,0,Direct,BookingsNoShowed,0
77,FRA,29,70,875.16,1201.7,0,Direct,BookingsNoShowed,0
78,FRA,67,70,291.72,749.9,0,Direct,BookingsNoShowed,0
79,FRA,73,97,192,50,0,Travel Agent/Operator,BookingsNoShowed,0
81,ESP,4,103,653.4,759.6,0,Direct,BookingsNoShowed,0
83,PRT,29,103,770.1,957.9,0,Direct,BookingsNoShowed,0
86,ESP,40,103,256.7,322.3,0,Direct,BookingsNoShowed,0
89,ESP,43,103,653.4,759.6,0,Direct,BookingsNoShowed,0
91,ESP,69,49,406.05,381.5,0,Travel Agent/Operator,BookingsNoShowed,0
93,ESP,61,58,485,101,0,Travel Agent/Operator,BookingsNoShowed,0
95,ESP,72,49,406.05,361.5,0,Travel Agent/Operator,BookingsNoShowed,0
97,ESP,63,58,485,134.5,0,Travel Agent/Operator,BookingsNoShowed,0
99,CRI,62,86,207.59,57,0,Travel Agent/Operator,BookingsNoShowed,0
100,PRT,46,86,207.59,105.9,0,Travel Agent/Operator,BookingsNoShowed,0
101,FRA,62,97,192,67.5,0,Travel Agent/Operator,BookingsNoShowed,0
102,ITA,68,0,331,44,0,Direct,BookingsNoShowed,0
104,BEL,60,72,324,38,0,Travel Agent/Operator,BookingsNoShowed,0
106,ESP,64,41,318.99,65,0,Direct,BookingsNoShowed,0
107,FRA,46,41,318.99,43,0,Direct,BookingsNoShowed,0
109,ESP,67,41,336.99,21.5,0,Direct,BookingsNoShowed,0
111,ESP,57,69,195.6,44,0,Travel Agent/Operator,BookingsNoShowed,0
113,PRT,46,89,201.46,48.5,0,Travel Agent/Operator,BookingsNoShowed,0
114,ESP,38,59,325.05,107,0,Direct,BookingsNoShowed,0
116,FRA,44,1,508,346.5,0,Travel Agent/Operator,BookingsNoShowed,0
121,ESP,41,69,242.55,38,0,Direct,BookingsNoShowed,0
122,PRT,42,2,404.5,473.3,0,Direct,BookingsNoShowed,0
125,ESP,46,69,242.55,48,0,Direct,BookingsNoShowed,0
126,PRT,45,1,376,224,0,Direct,BookingsNoShowed,0
130,FRA,52,93,144,40.5,0,Travel Agent/Operator,BookingsNoShowed,0
132,ESP,44,57,274.5,47,0,Direct,BookingsNoShowed,0
134,PRT,46,0,165,24,0,Direct,BookingsNoShowed,0
135,CHE,61,93,276.58,113.5,0,Travel Agent/Operator,BookingsNoShowed,0
137,FRA,73,97,192,50,0,Travel Agent/Operator,BookingsNoShowed,0
138,FRA,67,95,192,50,0,Travel Agent/Operator,BookingsNoShowed,0
140,CHE,38,58,397.2,74,0,Travel Agent/Operator,BookingsNoShowed,0
142,FRA,60,97,192,54.5,0,Travel Agent/Operator,BookingsNoShowed,0
144,FRA,62,99,144,52.5,0,Travel Agent/Operator,BookingsNoShowed,0
146,ESP,37,43,279,42,0,Direct,BookingsNoShowed,0
148,USA,35,52,358,62,0,Travel Agent/Operator,BookingsNoShowed,0
153,PRT,46,68,243.35,65,0,Travel Agent/Operator,BookingsNoShowed,0
154,PRT,61,10,249.1,173.5,0,Travel Agent/Operator,BookingsNoShowed,0
156,CRI,39,86,207.59,52,0,Travel Agent/Operator,BookingsNoShowed,0
157,FRA,62,0,192,50,0,Travel Agent/Operator,BookingsNoShowed,0
158,PRT,47,72,659.34,491,0,Direct,BookingsNoShowed,0
161,USA,69,71,466.91,118.3,0,Travel Agent/Operator,BookingsNoShowed,0
164,FRA,68,93,192,104,0,Travel Agent/Operator,BookingsNoShowed,0
166,DEU,61,72,464,290,0,Travel Agent/Operator,BookingsNoShowed,0
168,ESP,54,63,410,86,0,Travel Agent/Operator,BookingsNoShowed,0
170,ITA,56,49,276,64,0,Travel Agent/Operator,BookingsNoShowed,0
173,PRT,56,49,232,234.5,0,Travel Agent/Operator,BookingsNoShowed,0
174,ITA,60,49,232,53.5,0,Travel Agent/Operator,BookingsNoShowed,0
176,PRT,46,81,391.2,58.5,0,Travel Agent/Operator,BookingsNoShowed,0
177,ITA,35,49,232,59.5,0,Travel Agent/Operator,BookingsNoShowed,0
179,ITA,39,49,232,57,0,Travel Agent/Operator,BookingsNoShowed,0
181,DEU,68,46,114,28,0,Travel Agent/Operator,BookingsNoShowed,0
183,ITA,59,81,391.2,52,0,Travel Agent/Operator,BookingsNoShowed,0
185,ITA,56,69,391.2,56.5,0,Travel Agent/Operator,BookingsNoShowed,0
187,FRA,73,97,192,52,0,Travel Agent/Operator,BookingsNoShowed,0
189,PRT,54,49,232,95.5,0,Travel Agent/Operator,BookingsNoShowed,0
190,ITA,36,7,232,57,0,Travel Agent/Operator,BookingsNoShowed,0
192,FRA,70,84,174,242,0,Travel Agent/Operator,BookingsNoShowed,0
194,FRA,34,55,168,67,0,Travel Agent/Operator,BookingsNoShowed,0
195,JPN,48,75,151.2,29,0,Travel Agent/Operator,BookingsNoShowed,0
199,FRA,34,54,168,20,0,Travel Agent/Operator,BookingsNoShowed,0
200,PRT,46,49,232,52,0,Travel Agent/Operator,BookingsNoShowed,0
201,PRT,46,50,240,62.5,0,Travel Agent/Operator,BookingsNoShowed,0
202,PRT,46,50,177,20,0,Travel Agent/Operator,BookingsNoShowed,0
203,PRT,61,49,232,52,0,Travel Agent/Operator,BookingsNoShowed,0
205,FRA,54,60,427.05,64,0,Travel Agent/Operator,BookingsNoShowed,0
207,FRA,74,97,192,55,0,Travel Agent/Operator,BookingsNoShowed,0
209,JPN,53,69,308.4,37.5,0,Travel Agent/Operator,BookingsNoShowed,0
211,PRT,39,0,95,2,0,Direct,BookingsNoShowed,0
213,DEU,54,75,687.65,196.5,0,Direct,BookingsNoShowed,0
216,PRT,46,49,232,54.5,0,Travel Agent/Operator,BookingsNoShowed,0
217,ITA,58,50,174,43,0,Travel Agent/Operator,BookingsNoShowed,0
219,ESP,42,29,138,211,0,Travel Agent/Operator,BookingsNoShowed,0
221,PRT,46,77,289.8,40,0,Travel Agent/Operator,BookingsNoShowed,0
222,PRT,46,0,58,14,0,Travel Agent/Operator,BookingsNoShowed,0
