Name,var,value
B Bond,1,Sea/Atl
Guns,1,Mil/Phil
John and Pat,1,Angels/LAD
PieMan,1,Cubs/WS
Barbie Cobb,1,NYY/NYM
Mauler,1,Clev/Reds
Jim P,1,A's/Giants
MOW,1,Twins/STL
Burkus,1,Jays/ Wash
Drillers,1,TX/Astros
John W,1,Det/Flo
Howie Cobb,1,RSox/SD
Lewy,1,Balt/Rock
Cookie,1,KC/Pitts
M Smith,1,TB/Arizona
B Bond,2,TB/Arizona
Guns,2,Sea/Atl
John and Pat,2,Mil/Phil
PieMan,2,Angels/LAD
Barbie Cobb,2,Cubs/WS
Mauler,2,NYY/NYM
Jim P,2,Clev/Reds
MOW,2,A's/Giants
Burkus,2,Twins/STL
Drillers,2,Jays/ Wash
John W,2,TX/Astros
Howie Cobb,2,Det/Flo
Lewy,2,RSox/SD
Cookie,2,Balt/Rock
M Smith,2,KC/Pitts.
B Bond,3,KC/Pitts.
Guns,3,TB/Arizona
John and Pat,3,Sea/Atl
PieMan,3,Mil/Phil
Barbie Cobb,3,Angels/LAD
Mauler,3,Cubs/WS
Jim P,3,NYY/NYM
MOW,3,Clev/Reds
Burkus,3,A's/Giants
Drillers,3,Twins/STL
John W,3,Jays/ Wash
Howie Cobb,3,TX/Astros
Lewy,3,Det/Flo
Cookie,3,RSox/SD
M Smith,3,Balt/Rock
B Bond,4,Balt/Rock
Guns,4,KC/Pitts.
John and Pat,4,TB/Arizona
PieMan,4,Sea/Atl
Barbie Cobb,4,Mil/Phil
Mauler,4,Angels/LAD
Jim P,4,Cubs/WS
MOW,4,NYY/NYM
Burkus,4,Clev/Reds
Drillers,4,A's/Giants
John W,4,Twins/STL
Howie Cobb,4,Jays/ Wash
Lewy,4,TX/Astros
Cookie,4,Det/Flo
M Smith,4,RSox/SD
B Bond,5,RSox/SD
Guns,5,Balt/Rock
John and Pat,5,KC/Pitts.
PieMan,5,TB/Arizona
Barbie Cobb,5,Sea/Atl
Mauler,5,Mil/Phil
Jim P,5,Angels/LAD
MOW,5,Cubs/WS
Burkus,5,NYY/NYM
Drillers,5,Clev/Reds
John W,5,A's/Giants
Howie Cobb,5,Twins/STL
Lewy,5,Jays/ Wash
Cookie,5,TX/Astros
M Smith,5,Det/Flo
B Bond,6,Det/Flo
Guns,6,RSox/SD
John and Pat,6,Balt/Rock
PieMan,6,KC/Pitts.
Barbie Cobb,6,TB/Arizona
Mauler,6,Sea/Atl
Jim P,6,Mil/Phil
MOW,6,Angels/LAD
Burkus,6,Cubs/WS
Drillers,6,NYY/NYM
John W,6,Clev/Reds
Howie Cobb,6,A's/Giants
Lewy,6,Twins/STL
Cookie,6,Jays/ Wash
M Smith,6,TX/Astros
B Bond,7,TX/Astros
Guns,7,Det/Flo
John and Pat,7,RSox/SD
PieMan,7,Balt/Rock
Barbie Cobb,7,KC/Pitts.
Mauler,7,TB/Arizona
Jim P,7,Sea/Atl
MOW,7,Mil/Phil
Burkus,7,Angels/LAD
Drillers,7,Cubs/WS
John W,7,NYY/NYM
Howie Cobb,7,Clev/Reds
Lewy,7,A's/Giants
Cookie,7,Twins/STL
M Smith,7,Jays/ Wash
