Unit #,7/18/2018,7/24/2018,7/25/2018,7/26/2018,7/29/2018,7/30/2018,8/1/2018,8/3/2018,8/6/2018,8/7/2018,8/9/2018,8/31/2018,9/25/2018,10/3/2018,10/18/2018,10/24/2018,10/26/2018,10/28/2018,10/29/2018,10/30/2018,11/1/2018,11/3/2018,11/5/2018,11/6/2018,11/7/2018,11/9/2018,11/11/2018,11/12/2018,11/19/2018,11/30/2018,12/7/2018,12/25/2018,1/18/2019,1/19/2019,1/24/2019,1/25/2019,1/26/2019,1/28/2019,1/29/2019,1/30/2019,2/1/2019,2/3/2019,2/6/2019,2/7/2019,2/9/2019,2/11/2019,2/12/2019,2/15/2019,2/25/2019,2/28/2019,3/7/2019,3/16/2019,3/24/2019,3/26/2019,3/27/2019,3/31/2019,4/3/2019,4/16/2019,4/19/2019,4/24/2019,4/25/2019,4/26/2019,4/28/2019,4/29/2019,4/30/2019,5/1/2019,5/3/2019,5/5/2019,5/6/2019,5/7/2019,5/9/2019,5/11/2019,5/12/2019,5/25/2019,5/28/2019,6/16/2019,6/17/2019,6/23/2019,6/24/2019,6/25/2019,6/27/2019,7/18/2019,7/24/2019,7/25/2019,7/26/2019,7/28/2019,7/29/2019,7/30/2019,8/1/2019,8/6/2019,8/7/2019,8/9/2019,8/11/2019,8/12/2019,8/15/2019,8/25/2019,8/27/2019,8/28/2019,8/29/2019,9/1/2019,9/3/2019,9/5/2019,9/16/2019,9/17/2019,9/23/2019,9/24/2019,9/25/2019,9/26/2019,10/3/2019,10/5/2019,10/7/2019,10/8/2019,10/14/2019,10/18/2019,10/24/2019,10/25/2019,10/26/2019,10/28/2019,10/29/2019,10/30/2019,10/31/2019,11/1/2019,11/3/2019,11/6/2019,11/7/2019,11/9/2019,11/11/2019,11/12/2019,11/13/2019,11/14/2019,11/15/2019,11/20/2019,11/25/2019,11/26/2019,11/26/2019.1,11/27/2019,11/28/2019,11/29/2019,11/30/2019,12/1/2019,12/2/2019,12/3/2019,12/4/2019,12/5/2019,12/6/2019,12/7/2019,12/10/2019,12/12/2019,12/16/2019,12/17/2019,12/23/2019,12/24/2019,12/25/2019,12/27/2019,1/2/2020,1/3/2020,1/7/2020,1/8/2020,1/11/2020,1/18/2020,1/19/2020,1/21/2020,1/24/2020,1/25/2020,1/26/2020,1/28/2020,1/29/2020,1/30/2020,2/1/2020,2/3/2020,2/4/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/11/2020,2/12/2020,2/13/2020,2/15/2020,2/16/2020,2/18/2020,2/19/2020,2/20/2020,2/24/2020,2/25/2020,2/26/2020,2/26/2020.1,2/27/2020,2/28/2020,2/29/2020,2/29/2020.1,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/7/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/19/2020,3/20/2020,3/23/2020,3/24/2020,3/25/2020,3/27/2020,3/30/2020,3/31/2020,4/2/2020,4/3/2020,4/5/2020,4/7/2020,4/8/2020,4/11/2020,4/14/2020,4/15/2020,4/16/2020,4/18/2020,4/19/2020,4/21/2020,4/24/2020,4/25/2020,4/26/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/18/2020,5/19/2020,5/20/2020,5/25/2020,5/26/2020,5/26/2020.1,5/27/2020,5/28/2020,5/28/2020.1,5/29/2020,5/29/2020.1,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/9/2020,6/11/2020,6/12/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/23/2020,6/24/2020,6/25/2020,6/27/2020,6/30/2020,7/2/2020,7/3/2020,7/7/2020,7/8/2020,7/10/2020,7/11/2020,7/15/2020,7/18/2020,7/19/2020,7/21/2020,7/24/2020,7/25/2020,7/26/2020,7/28/2020,7/29/2020,7/30/2020,8/1/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/20/2020,8/24/2020,8/25/2020,8/26/2020,8/26/2020.1,8/27/2020,8/28/2020,8/28/2020.1,8/29/2020,8/29/2020.1,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/7/2020,9/9/2020,9/11/2020,9/12/2020,9/13/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,10/2/2020,10/3/2020,10/5/2020,10/7/2020,10/8/2020,10/10/2020,10/11/2020,10/13/2020,10/14/2020,10/15/2020,10/18/2020,10/19/2020,10/21/2020,10/24/2020,10/25/2020,10/26/2020,10/28/2020,10/29/2020,10/30/2020,11/1/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/20/2020,11/23/2020,11/25/2020,11/26/2020,11/26/2020.1,11/27/2020,11/28/2020,11/28/2020.1,11/29/2020,11/29/2020.1,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/9/2020,12/11/2020,12/12/2020,12/13/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/21/2020,12/23/2020,12/24/2020,12/25/2020,12/27/2020,12/29/2020,12/30/2020,1/2/2021,1/3/2021,1/7/2021,1/8/2021,1/10/2021,1/11/2021,1/13/2021,1/14/2021,1/15/2021,1/18/2021,1/19/2021,1/21/2021,1/24/2021,1/25/2021,1/26/2021,1/28/2021,1/29/2021,1/30/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/20/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/26/2021.1,2/28/2021,2/28/2021.1,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/21/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,4/2/2021,4/3/2021,4/7/2021,4/8/2021,4/10/2021,4/11/2021,4/13/2021,4/14/2021,4/15/2021,4/18/2021,4/19/2021,4/21/2021,4/24/2021,4/25/2021,4/26/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/19/2021,5/20/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/26/2021.1,5/28/2021,5/28/2021.1,5/29/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021,6/14/2021,6/15/2021,6/16/2021,6/17/2021,6/18/2021,6/19/2021,6/20/2021,6/23/2021,6/24/2021,6/25/2021,6/26/2021,6/27/2021,6/28/2021,6/29/2021,6/30/2021,7/2/2021,7/3/2021,7/7/2021,7/8/2021,7/10/2021,7/11/2021,7/13/2021,7/14/2021,7/15/2021,7/18/2021,7/19/2021,7/21/2021,7/24/2021,7/25/2021,7/26/2021,7/28/2021,7/29/2021,7/30/2021,8/1/2021,8/2/2021,8/3/2021,8/4/2021,8/5/2021,8/6/2021,8/7/2021,8/8/2021,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/19/2021,8/20/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/27/2021.1,8/28/2021,8/28/2021.1,8/29/2021,8/30/2021,9/1/2021,9/2/2021,9/3/2021,9/4/2021,9/5/2021,9/6/2021,9/7/2021,9/9/2021,9/10/2021,9/11/2021,9/12/2021,9/13/2021,9/14/2021,9/15/2021,9/16/2021,9/17/2021,9/18/2021,9/19/2021,9/20/2021,9/21/2021,9/22/2021,9/23/2021,9/24/2021,9/25/2021,9/26/2021,9/27/2021,9/28/2021,9/29/2021, Grand Total 
18,,,,,,,,,,,,,,"6,365.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,672.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,806.19"
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04,,,,,,,,,,,,,,,,,,,,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,493.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,533.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,306.61",,,,,,,,,,,,,,,,,,,,,,"48,707.89"
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,127.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,197.11"
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,188.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,957.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,249.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,340.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,736.60"
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,509.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,317.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,033.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,351.28",,,,,,,,,,,,,,,,,,,,,,,,,"15,211.33"
100A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.07
102B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,603.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,134.05",,,,,,,,,,,,,,,,,,,,,,,"10,737.60"
111A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,995.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,499.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,273.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,429.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,774.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,440.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,921.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,402.02",,,,,,,,,,,,,,,,,,,,,,,,"140,736.58"
112A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.57
115A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.51,,,,,711.51
