Index,1,2,3,4,5,6,7,8,9,10,11,12
1826,-3.05,4.87,-0.97,1.78,-1.2,0.83,1.89,2.72,-0.76,0.18,-2.41,-0.59
1827,-0.45,-3.72,1.83,-0.83,1.2,-0.07,2.02,-3.56,-0.07,-3.02,-1.42,2.7
1828,1.27,0.37,-0.18,0.04,-1.59,-1.33,-4.4,-2.54,-2.78,0.1,-2.57,3.04
1829,-2.48,0.32,-2.54,0.12,1.8,-0.1,0.33,0.77,0.78,0.71,-0.33,-0.43
1830,-2.33,1.2,3.58,3.08,-0.05,-0.85,3.19,-0.35,2.04,2.04,2.19,-3.13
1831,-2.91,1.4,1.48,-3.15,-2.47,-1.36,2.71,-3.04,-1.53,0.85,0.26,0.36
1832,-0.04,0.83,2.12,-1.51,-1.96,-3.62,-2.57,0.92,1.45,2.25,0.62,3.32
1833,-0.36,2.52,-2.89,2.02,0.69,-1.52,0.13,-1.74,-0.93,-1.75,1.4,4.17
1834,3.07,2.66,1.37,-2.38,-1.03,0.27,-0.73,-0.86,-0.62,0.3,-2.28,0.11
1835,0.37,3.37,1.54,-1.02,0.58,0.1,0.57,2.35,0.29,-0.3,-1.31,-1.46
1836,1.47,0.06,2.28,0.87,-1.5,2.95,4.33,2.8,-1.59,-1.17,2.04,-1.41
1837,-1.16,4.67,-3.08,-0.56,-1.02,-2.98,-2.4,0.01,0.17,2.52,1.34,1.37
1838,-2.16,-1.81,1.23,-0.61,-2.16,1.24,0.11,1.16,1.46,0.59,-2.65,2.55
1839,1.24,4.2,0.79,1.4,-0.94,0.01,1.14,0.04,1.09,-1.27,-2.89,-0.63
1840,2.97,-0.4,-3.05,0.87,-0.58,-0.09,1.23,0.05,0.46,-2.5,0.46,-2.43
1841,-0.71,-1.37,2.41,1.97,1.65,-0.61,-0.62,2.39,-2.76,-2.13,1.76,0.21
1842,2.45,4.26,3.43,-0.44,-0.85,-4.3,-4.05,1.03,-3.8,-3.73,-2.66,0.51
