Index,var,value
6190,genres_1,Adventure
6191,genres_1,Action
6193,genres_1,Action
6194,genres_1,Action
6196,genres_1,Science Fiction
6198,genres_1,Action
6201,genres_1,Drama
6204,genres_1,Action
6206,genres_1,Drama
6207,genres_1,Comedy
6208,genres_1,Animation
6213,genres_1,Drama
6218,genres_1,Drama
6219,genres_1,Drama
6226,genres_1,Action
6229,genres_1,Action
6231,genres_1,Romance
6232,genres_1,Adventure
6233,genres_1,Comedy
6244,genres_1,Action
6245,genres_1,Horror
6247,genres_1,Romance
6249,genres_1,Animation
6259,genres_1,Drama
6260,genres_1,Action
6262,genres_1,Drama
6264,genres_1,Action
6269,genres_1,Drama
6271,genres_1,Drama
6276,genres_1,Drama
6280,genres_1,Comedy
6281,genres_1,Action
6285,genres_1,Comedy
6286,genres_1,Crime
6290,genres_1,Comedy
6309,genres_1,Thriller
6312,genres_1,Horror
6315,genres_1,Action
6322,genres_1,Crime
6326,genres_1,Drama
6348,genres_1,Drama
6354,genres_1,Adventure
6365,genres_1,Comedy
6380,genres_1,Drama
6385,genres_1,Thriller
6400,genres_1,Comedy
6423,genres_1,Action
6432,genres_1,Fantasy
6437,genres_1,Drama
6446,genres_1,Drama
6539,genres_1,Crime
6190,genres_2,Fantasy
6191,genres_2,Crime
6193,genres_2,Thriller
6194,genres_2,Thriller
6196,genres_2,Adventure
6198,genres_2,Thriller
6201,genres_2,Fantasy
6204,genres_2,Comedy
6206,genres_2,History
6207,genres_2,Romance
6208,genres_2,Family
6213,genres_2,Action
6218,genres_2,Romance
6219,genres_2,Romance
6226,genres_2,Adventure
6229,genres_2,
6231,genres_2,Fantasy
6232,genres_2,Animation
6233,genres_2,
6244,genres_2,Crime
6245,genres_2,
6247,genres_2,Drama
6249,genres_2,Comedy
6259,genres_2,Mystery
6260,genres_2,
6262,genres_2,
6264,genres_2,Adventure
6269,genres_2,Thriller
6271,genres_2,Thriller
6276,genres_2,History
6280,genres_2,
6281,genres_2,Crime
6285,genres_2,Crime
6286,genres_2,Drama
6290,genres_2,Drama
6309,genres_2,Science Fiction
6312,genres_2,Thriller
6315,genres_2,Adventure
6322,genres_2,Drama
6326,genres_2,Thriller
6348,genres_2,Mystery
6354,genres_2,Comedy
6365,genres_2,Drama
6380,genres_2,
6385,genres_2,Horror
6400,genres_2,Drama
6423,genres_2,Horror
6432,genres_2,Horror
6437,genres_2,
6446,genres_2,Romance
6539,genres_2,Drama
6190,genres_3,Family
6191,genres_3,Drama
6193,genres_3,Fantasy
6194,genres_3,Crime
6196,genres_3,Action
6198,genres_3,Science Fiction
6201,genres_3,Horror
6204,genres_3,Drama
6206,genres_3,Romance
6207,genres_3,
6208,genres_3,Comedy
6213,genres_3,Adventure
6218,genres_3,
6219,genres_3,
6226,genres_3,Drama
6229,genres_3,
6231,genres_3,Animation
6232,genres_3,Comedy
6233,genres_3,
6244,genres_3,
6245,genres_3,
6247,genres_3,History
6249,genres_3,Family
6259,genres_3,
6260,genres_3,
6262,genres_3,
6264,genres_3,Comedy
6269,genres_3,
6271,genres_3,
6276,genres_3,
6280,genres_3,
6281,genres_3,
6285,genres_3,Drama
6286,genres_3,Thriller
6290,genres_3,Mystery
6309,genres_3,Adventure
6312,genres_3,
6315,genres_3,Fantasy
6322,genres_3,
6326,genres_3,
6348,genres_3,
6354,genres_3,Family
6365,genres_3,
6380,genres_3,
6385,genres_3,Drama
6400,genres_3,Music
6423,genres_3,Science Fiction
6432,genres_3,Thriller
6437,genres_3,
6446,genres_3,
6539,genres_3,
6190,genres_4,
6191,genres_4,
6193,genres_4,
6194,genres_4,
6196,genres_4,
6198,genres_4,Adventure
6201,genres_4,
6204,genres_4,Family
6206,genres_4,
6207,genres_4,
6208,genres_4,
6213,genres_4,History
6218,genres_4,
6219,genres_4,
6226,genres_4,Western
6229,genres_4,
6231,genres_4,Music
6232,genres_4,Family
6233,genres_4,
6244,genres_4,
6245,genres_4,
6247,genres_4,
6249,genres_4,
6259,genres_4,
6260,genres_4,
6262,genres_4,
6264,genres_4,
6269,genres_4,
6271,genres_4,
6276,genres_4,
6280,genres_4,
6281,genres_4,
6285,genres_4,Thriller
6286,genres_4,Action
6290,genres_4,Romance
6309,genres_4,Action
6312,genres_4,
6315,genres_4,Horror
6322,genres_4,
6326,genres_4,
6348,genres_4,
6354,genres_4,
6365,genres_4,
6380,genres_4,
6385,genres_4,Mystery
6400,genres_4,Romance
6423,genres_4,
6432,genres_4,
6437,genres_4,
6446,genres_4,
6539,genres_4,
6190,genres_5,
6191,genres_5,
6193,genres_5,
6194,genres_5,
6196,genres_5,
6198,genres_5,
6201,genres_5,
6204,genres_5,Thriller
6206,genres_5,
6207,genres_5,
6208,genres_5,
6213,genres_5,War
6218,genres_5,
6219,genres_5,
6226,genres_5,
6229,genres_5,
6231,genres_5,
6232,genres_5,
6233,genres_5,
6244,genres_5,
6245,genres_5,
6247,genres_5,
6249,genres_5,
6259,genres_5,
6260,genres_5,
6262,genres_5,
6264,genres_5,
6269,genres_5,
6271,genres_5,
6276,genres_5,
6280,genres_5,
6281,genres_5,
6285,genres_5,
6286,genres_5,
6290,genres_5,
6309,genres_5,
6312,genres_5,
6315,genres_5,
6322,genres_5,
6326,genres_5,
6348,genres_5,
6354,genres_5,
6365,genres_5,
6380,genres_5,
6385,genres_5,
6400,genres_5,
6423,genres_5,
6432,genres_5,
6437,genres_5,
6446,genres_5,
6539,genres_5,
