Country/Region,var,value
Afghanistan,1/22/20,0
Albania,1/22/20,0
Algeria,1/22/20,0
Andorra,1/22/20,0
Angola,1/22/20,0
Antigua and Barbuda,1/22/20,0
Argentina,1/22/20,0
Armenia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Austria,1/22/20,0
Azerbaijan,1/22/20,0
Bahamas,1/22/20,0
Bahrain,1/22/20,0
Bangladesh,1/22/20,0
Barbados,1/22/20,0
Belarus,1/22/20,0
Belgium,1/22/20,0
Benin,1/22/20,0
Bhutan,1/22/20,0
Bolivia,1/22/20,0
Bosnia and Herzegovina,1/22/20,0
Brazil,1/22/20,0
Brunei,1/22/20,0
Bulgaria,1/22/20,0
Burkina Faso,1/22/20,0
Cabo Verde,1/22/20,0
Cambodia,1/22/20,0
Cameroon,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
Central African Republic,1/22/20,0
Chad,1/22/20,0
Chile,1/22/20,0
China,1/22/20,1
China,1/22/20,14
China,1/22/20,6
China,1/22/20,1
China,1/22/20,0
China,1/22/20,26
China,1/22/20,2
China,1/22/20,1
China,1/22/20,4
China,1/22/20,1
China,1/22/20,0
China,1/22/20,5
China,1/22/20,0
China,1/22/20,444
China,1/22/20,4
China,1/22/20,0
China,1/22/20,1
China,1/22/20,2
China,1/22/20,0
China,1/22/20,2
China,1/22/20,1
China,1/22/20,1
China,1/22/20,0
China,1/22/20,0
China,1/22/20,2
China,1/22/20,9
China,1/22/20,1
China,1/22/20,5
China,1/22/20,4
China,1/22/20,0
China,1/22/20,0
China,1/22/20,1
China,1/22/20,10
Colombia,1/22/20,0
Congo (Brazzaville),1/22/20,0
Congo (Kinshasa),1/22/20,0
Costa Rica,1/22/20,0
Cote d'Ivoire,1/22/20,0
Croatia,1/22/20,0
Diamond Princess,1/22/20,0
Cuba,1/22/20,0
Cyprus,1/22/20,0
Czechia,1/22/20,0
Denmark,1/22/20,0
Denmark,1/22/20,0
Denmark,1/22/20,0
Djibouti,1/22/20,0
Dominican Republic,1/22/20,0
Ecuador,1/22/20,0
