id,title,var,value
19995,Avatar,cast_0,Sam Worthington
285,Pirates of the Caribbean: At World's End,cast_0,Johnny Depp
206647,Spectre,cast_0,Daniel Craig
49026,The Dark Knight Rises,cast_0,Christian Bale
49529,John Carter,cast_0,Taylor Kitsch
559,Spider-Man 3,cast_0,Tobey Maguire
38757,Tangled,cast_0,Zachary Levi
99861,Avengers: Age of Ultron,cast_0,Robert Downey Jr.
767,Harry Potter and the Half-Blood Prince,cast_0,Daniel Radcliffe
209112,Batman v Superman: Dawn of Justice,cast_0,Ben Affleck
1452,Superman Returns,cast_0,Brandon Routh
10764,Quantum of Solace,cast_0,Daniel Craig
58,Pirates of the Caribbean: Dead Man's Chest,cast_0,Johnny Depp
57201,The Lone Ranger,cast_0,Johnny Depp
49521,Man of Steel,cast_0,Henry Cavill
2454,The Chronicles of Narnia: Prince Caspian,cast_0,Ben Barnes
24428,The Avengers,cast_0,Robert Downey Jr.
1865,Pirates of the Caribbean: On Stranger Tides,cast_0,Johnny Depp
41154,Men in Black 3,cast_0,Will Smith
122917,The Hobbit: The Battle of the Five Armies,cast_0,Martin Freeman
1930,The Amazing Spider-Man,cast_0,Andrew Garfield
20662,Robin Hood,cast_0,Russell Crowe
57158,The Hobbit: The Desolation of Smaug,cast_0,Martin Freeman
2268,The Golden Compass,cast_0,Dakota Blue Richards
254,King Kong,cast_0,Naomi Watts
597,Titanic,cast_0,Kate Winslet
271110,Captain America: Civil War,cast_0,Chris Evans
44833,Battleship,cast_0,Taylor Kitsch
135397,Jurassic World,cast_0,Chris Pratt
37724,Skyfall,cast_0,Daniel Craig
558,Spider-Man 2,cast_0,Tobey Maguire
68721,Iron Man 3,cast_0,Robert Downey Jr.
12155,Alice in Wonderland,cast_0,Mia Wasikowska
36668,X-Men: The Last Stand,cast_0,Hugh Jackman
62211,Monsters University,cast_0,Billy Crystal
8373,Transformers: Revenge of the Fallen,cast_0,Shia LaBeouf
91314,Transformers: Age of Extinction,cast_0,Mark Wahlberg
68728,Oz: The Great and Powerful,cast_0,James Franco
102382,The Amazing Spider-Man 2,cast_0,Andrew Garfield
20526,TRON: Legacy,cast_0,Garrett Hedlund
49013,Cars 2,cast_0,Owen Wilson
44912,Green Lantern,cast_0,Ryan Reynolds
10193,Toy Story 3,cast_0,Tom Hanks
534,Terminator Salvation,cast_0,Christian Bale
168259,Furious 7,cast_0,Vin Diesel
72190,World War Z,cast_0,Brad Pitt
127585,X-Men: Days of Future Past,cast_0,Hugh Jackman
54138,Star Trek Into Darkness,cast_0,Chris Pine
81005,Jack the Giant Slayer,cast_0,Nicholas Hoult
64682,The Great Gatsby,cast_0,Leonardo DiCaprio
9543,Prince of Persia: The Sands of Time,cast_0,Jake Gyllenhaal
68726,Pacific Rim,cast_0,Idris Elba
38356,Transformers: Dark of the Moon,cast_0,Shia LaBeouf
217,Indiana Jones and the Kingdom of the Crystal Skull,cast_0,Harrison Ford
105864,The Good Dinosaur,cast_0,Raymond Ochoa
62177,Brave,cast_0,Kelly Macdonald
188927,Star Trek Beyond,cast_0,Chris Pine
10681,WALL·E,cast_0,Ben Burtt
5174,Rush Hour 3,cast_0,Chris Tucker
14161,2012,cast_0,John Cusack
17979,A Christmas Carol,cast_0,Gary Oldman
76757,Jupiter Ascending,cast_0,Mila Kunis
258489,The Legend of Tarzan,cast_0,Alexander Skarsgård
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",cast_0,William Moseley
246655,X-Men: Apocalypse,cast_0,James McAvoy
155,The Dark Knight,cast_0,Christian Bale
14160,Up,cast_0,Ed Asner
15512,Monsters vs Aliens,cast_0,Seth Rogen
1726,Iron Man,cast_0,Robert Downey Jr.
44826,Hugo,cast_0,Ben Kingsley
8487,Wild Wild West,cast_0,Will Smith
1735,The Mummy: Tomb of the Dragon Emperor,cast_0,Brendan Fraser
297761,Suicide Squad,cast_0,Will Smith
2698,Evan Almighty,cast_0,Steve Carell
137113,Edge of Tomorrow,cast_0,Tom Cruise
9804,Waterworld,cast_0,Kevin Costner
14869,G.I. Joe: The Rise of Cobra,cast_0,Dennis Quaid
150540,Inside Out,cast_0,Amy Poehler
278927,The Jungle Book,cast_0,Neel Sethi
10138,Iron Man 2,cast_0,Robert Downey Jr.
58595,Snow White and the Huntsman,cast_0,Kristen Stewart
102651,Maleficent,cast_0,Angelina Jolie
119450,Dawn of the Planet of the Apes,cast_0,Andy Serkis
79698,The Lovers,cast_0,Josh Hartnett
64686,47 Ronin,cast_0,Keanu Reeves
100402,Captain America: The Winter Soldier,cast_0,Chris Evans
10192,Shrek Forever After,cast_0,Mike Myers
158852,Tomorrowland,cast_0,Britt Robertson
177572,Big Hero 6,cast_0,Scott Adsit
82690,Wreck-It Ralph,cast_0,John C. Reilly
5255,The Polar Express,cast_0,Tom Hanks
47933,Independence Day: Resurgence,cast_0,Liam Hemsworth
10191,How to Train Your Dragon,cast_0,Jay Baruchel
296,Terminator 3: Rise of the Machines,cast_0,Arnold Schwarzenegger
118340,Guardians of the Galaxy,cast_0,Chris Pratt
157336,Interstellar,cast_0,Matthew McConaughey
27205,Inception,cast_0,Leonardo DiCaprio
315011,Shin Godzilla,cast_0,Hiroki Hasegawa
49051,The Hobbit: An Unexpected Journey,cast_0,Ian McKellen
9799,The Fast and the Furious,cast_0,Paul Walker
4922,The Curious Case of Benjamin Button,cast_0,Cate Blanchett
49538,X-Men: First Class,cast_0,James McAvoy
131634,The Hunger Games: Mockingjay - Part 2,cast_0,Jennifer Lawrence
27022,The Sorcerer's Apprentice,cast_0,Nicolas Cage
503,Poseidon,cast_0,Kurt Russell
241259,Alice Through the Looking Glass,cast_0,Johnny Depp
810,Shrek the Third,cast_0,Mike Myers
68735,Warcraft,cast_0,Paula Patton
87101,Terminator Genisys,cast_0,Arnold Schwarzenegger
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,cast_0,Skandar Keynes
676,Pearl Harbor,cast_0,Ben Affleck
1858,Transformers,cast_0,Shia LaBeouf
1966,Alexander,cast_0,Colin Farrell
675,Harry Potter and the Order of the Phoenix,cast_0,Daniel Radcliffe
674,Harry Potter and the Goblet of Fire,cast_0,Daniel Radcliffe
8960,Hancock,cast_0,Will Smith
6479,I Am Legend,cast_0,Will Smith
118,Charlie and the Chocolate Factory,cast_0,Johnny Depp
2062,Ratatouille,cast_0,Patton Oswalt
272,Batman Begins,cast_0,Christian Bale
10527,Madagascar: Escape 2 Africa,cast_0,Ben Stiller
18360,Night at the Museum: Battle of the Smithsonian,cast_0,Ben Stiller
2080,X-Men Origins: Wolverine,cast_0,Hugh Jackman
605,The Matrix Revolutions,cast_0,Keanu Reeves
109445,Frozen,cast_0,Kristen Bell
604,The Matrix Reloaded,cast_0,Keanu Reeves
76338,Thor: The Dark World,cast_0,Chris Hemsworth
76341,Mad Max: Fury Road,cast_0,Tom Hardy
13448,Angels & Demons,cast_0,Tom Hanks
10195,Thor,cast_0,Chris Hemsworth
13053,Bolt,cast_0,John Travolta
19585,G-Force,cast_0,Sam Rockwell
57165,Wrath of the Titans,cast_0,Sam Worthington
62213,Dark Shadows,cast_0,Johnny Depp
177677,Mission: Impossible - Rogue Nation,cast_0,Tom Cruise
7978,The Wolfman,cast_0,Benicio del Toro
5559,Bee Movie,cast_0,Jerry Seinfeld
49444,Kung Fu Panda 2,cast_0,Jack Black
10196,The Last Airbender,cast_0,Noah Ringer
956,Mission: Impossible III,cast_0,Tom Cruise
