Index,state_abuja,state_kwara,state_lagos,state_ogun,state_oyo,state_rivers
5558,1,0,0,0,0,0
13781,0,0,1,0,0,0
14918,0,0,0,0,1,0
19919,0,0,1,0,0,0
16290,0,0,1,0,0,0
24325,0,0,1,0,0,0
8716,0,0,1,0,0,0
17032,0,0,1,0,0,0
19039,0,0,0,0,0,1
6274,0,0,1,0,0,0
8683,0,0,1,0,0,0
7266,1,0,0,0,0,0
19837,0,0,0,0,0,1
16168,0,0,1,0,0,0
4721,0,0,1,0,0,0
17021,0,0,1,0,0,0
16490,0,0,1,0,0,0
15157,0,0,1,0,0,0
21668,1,0,0,0,0,0
10870,0,0,1,0,0,0
6406,0,0,1,0,0,0
1157,0,0,1,0,0,0
12133,0,0,1,0,0,0
23481,1,0,0,0,0,0
12196,0,0,1,0,0,0
3663,0,0,1,0,0,0
9763,0,0,1,0,0,0
78,0,0,1,0,0,0
9997,0,0,1,0,0,0
8321,0,0,1,0,0,0
8083,1,0,0,0,0,0
21187,0,0,1,0,0,0
24883,0,0,1,0,0,0
4165,0,0,1,0,0,0
21529,1,0,0,0,0,0
1843,0,0,1,0,0,0
21350,0,0,1,0,0,0
4713,0,0,1,0,0,0
14844,0,0,1,0,0,0
19732,0,0,0,0,1,0
20361,0,0,0,0,1,0
8960,0,0,1,0,0,0
18148,0,0,1,0,0,0
19351,1,0,0,0,0,0
21119,0,0,0,0,1,0
10040,1,0,0,0,0,0
24685,0,0,1,0,0,0
18476,0,0,1,0,0,0
23678,0,0,1,0,0,0
4350,0,0,0,0,0,1
2880,0,0,1,0,0,0
23892,0,0,1,0,0,0
4021,0,0,1,0,0,0
1046,0,0,1,0,0,0
21066,0,0,1,0,0,0
19352,1,0,0,0,0,0
8049,0,0,1,0,0,0
23660,1,0,0,0,0,0
3354,0,0,1,0,0,0
4260,1,0,0,0,0,0
20536,0,0,0,0,1,0
1976,0,0,1,0,0,0
22387,0,0,1,0,0,0
21710,0,0,1,0,0,0
5572,0,0,1,0,0,0
10960,0,0,1,0,0,0
24629,0,0,1,0,0,0
6110,0,0,1,0,0,0
25119,0,0,1,0,0,0
8377,0,0,1,0,0,0
12961,0,0,1,0,0,0
5615,0,0,1,0,0,0
24522,0,0,1,0,0,0
12653,0,0,1,0,0,0
987,0,0,1,0,0,0
7754,1,0,0,0,0,0
22258,0,0,1,0,0,0
19327,0,0,1,0,0,0
12665,0,0,1,0,0,0
14350,0,0,1,0,0,0
19720,0,0,0,0,1,0
11073,0,0,0,1,0,0
19029,0,0,0,0,0,1
14841,0,0,1,0,0,0
1663,0,0,1,0,0,0
18661,0,0,1,0,0,0
24651,0,0,1,0,0,0
16920,0,0,1,0,0,0
18020,0,0,1,0,0,0
11982,0,0,1,0,0,0
2967,0,0,1,0,0,0
18069,0,0,1,0,0,0
3201,0,0,1,0,0,0
16027,0,0,1,0,0,0
22370,1,0,0,0,0,0
1235,0,0,1,0,0,0
18085,0,0,0,0,1,0
12249,0,0,1,0,0,0
14914,0,0,1,0,0,0
7804,0,0,1,0,0,0
19729,0,0,0,0,1,0
10324,0,0,1,0,0,0
6963,0,0,1,0,0,0
16531,0,0,1,0,0,0
7877,0,0,1,0,0,0
22702,0,0,1,0,0,0
15101,0,0,1,0,0,0
18340,1,0,0,0,0,0
17442,0,0,1,0,0,0
1641,0,0,1,0,0,0
17440,0,0,1,0,0,0
1830,0,0,1,0,0,0
12783,0,0,1,0,0,0
3196,0,0,1,0,0,0
14720,0,0,0,0,1,0
15056,0,0,0,0,1,0
19235,0,0,0,0,0,1
7189,0,0,1,0,0,0
8727,0,0,1,0,0,0
12834,0,0,1,0,0,0
600,0,0,1,0,0,0
13759,0,0,1,0,0,0
1954,0,0,1,0,0,0
6934,0,0,1,0,0,0
8757,0,0,1,0,0,0
24670,0,0,1,0,0,0
17960,0,0,1,0,0,0
4477,0,0,1,0,0,0
2686,0,0,1,0,0,0
10815,0,0,1,0,0,0
14625,0,0,1,0,0,0
24605,0,0,1,0,0,0
302,0,0,1,0,0,0
19662,1,0,0,0,0,0
18505,0,0,1,0,0,0
20179,0,0,0,1,0,0
10198,0,0,1,0,0,0
25106,0,0,1,0,0,0
5160,0,0,1,0,0,0
2220,0,0,1,0,0,0
6455,0,0,1,0,0,0
9462,0,0,1,0,0,0
17374,0,0,1,0,0,0
18364,0,0,0,0,1,0
15171,0,0,1,0,0,0
14163,0,0,1,0,0,0
15198,0,0,1,0,0,0
18957,0,0,0,0,1,0
13103,0,0,1,0,0,0
3548,0,0,1,0,0,0
6744,0,0,1,0,0,0
24641,0,0,1,0,0,0
15844,1,0,0,0,0,0
6440,0,0,0,1,0,0
6011,0,0,1,0,0,0
2452,0,0,1,0,0,0
14428,0,0,1,0,0,0
5975,0,0,1,0,0,0
1133,0,0,1,0,0,0
2073,0,0,1,0,0,0
34,0,0,1,0,0,0
20213,0,0,0,1,0,0
12158,0,0,1,0,0,0
13908,0,0,1,0,0,0
19187,0,0,0,1,0,0
15959,0,0,1,0,0,0
17080,1,0,0,0,0,0
10842,0,0,1,0,0,0
8978,0,0,1,0,0,0
1769,0,0,1,0,0,0
208,0,0,1,0,0,0
11240,0,0,1,0,0,0
6840,0,0,1,0,0,0
1543,0,0,1,0,0,0
14089,0,0,1,0,0,0
2775,0,0,1,0,0,0
14684,0,0,1,0,0,0
6134,0,0,1,0,0,0
15640,1,0,0,0,0,0
2008,0,0,1,0,0,0
3628,0,0,1,0,0,0
23040,1,0,0,0,0,0
20989,0,0,1,0,0,0
11115,1,0,0,0,0,0
8875,0,0,1,0,0,0
5894,0,0,1,0,0,0
22460,1,0,0,0,0,0
15450,0,0,1,0,0,0
8519,0,0,1,0,0,0
