Index,A,B,C,D,E,F,G,H,I,J
A,1.0,0.8790236081861322,0.7789624017683044,0.9765381710701492,0.9188130663803296,-0.4094011595624395,-0.4216213551520529,-0.4578680381876131,-0.3681391774393323,-0.4813895969015147
B,0.8790236081861322,1.0,0.6245534201641117,0.9303197943172332,0.8902233924967423,-0.3157622611941439,-0.3269275794717522,-0.4534998998194681,-0.3029875317740618,-0.3294025834756106
C,0.7789624017683044,0.6245534201641117,1.0,0.7662872900459319,0.6571570573782957,-0.2024184797215252,-0.20755108590649,-0.2478944086224141,-0.2522519600531083,-0.2898221295093998
D,0.9765381710701492,0.9303197943172332,0.7662872900459319,1.0,0.9190600194379468,-0.3761669692039526,-0.3816182708555364,-0.4581284059210684,-0.3520474119606608,-0.4084425045607393
E,0.9188130663803296,0.8902233924967423,0.6571570573782957,0.9190600194379468,1.0,-0.6172064536579184,-0.5993602096372692,-0.6772805405402932,-0.5708148078008418,-0.6528140826495102
F,-0.4094011595624395,-0.3157622611941439,-0.2024184797215252,-0.3761669692039526,-0.6172064536579184,1.0,0.9877645909291436,0.9690619378921242,0.9770091377559872,0.969531669301598
G,-0.4216213551520529,-0.3269275794717522,-0.20755108590649,-0.3816182708555364,-0.5993602096372692,0.9877645909291436,1.0,0.9727152629598668,0.9656387228537292,0.9557527535103492
H,-0.4578680381876131,-0.4534998998194681,-0.2478944086224141,-0.4581284059210684,-0.6772805405402932,0.9690619378921242,0.9727152629598668,1.0,0.961149464540058,0.9102762062161346
I,-0.3681391774393323,-0.3029875317740618,-0.2522519600531083,-0.3520474119606608,-0.5708148078008418,0.9770091377559872,0.9656387228537292,0.961149464540058,1.0,0.929175311654471
J,-0.4813895969015147,-0.3294025834756106,-0.2898221295093998,-0.4084425045607393,-0.6528140826495102,0.969531669301598,0.9557527535103492,0.9102762062161346,0.929175311654471,1.0
