token,is_authority,is_ingredient,is_ailment,is_body_part,is_treatment
abcess,False,False,True,False,False
abcesses,False,False,True,False,False
abdomen,False,False,False,True,False
abdominal,False,False,False,True,False
abnormal,False,False,True,False,False
abnormality,False,False,True,False,False
abortifacient,False,False,False,False,True
abortion,False,False,False,False,True
abortive,False,False,True,False,False
abrotanum,False,True,False,False,False
abscess,False,False,True,False,False
absentmindedness,False,False,True,False,False
absinth,False,True,False,False,False
acacia,False,True,False,False,False
accident,False,False,True,False,False
ache,False,False,True,False,False
acne,False,False,True,False,False
acorn,False,True,False,False,False
acute,False,False,True,False,False
aesculapius,True,False,False,False,False
affectis,True,False,False,False,False
afflicted,False,False,True,False,False
agaric,False,True,False,False,False
age,False,False,True,False,False
aged,False,False,True,False,False
agent,False,True,False,False,False
aid,False,False,False,False,True
ailing,False,False,True,False,False
ailment,False,False,True,False,False
air,False,True,False,False,False
al-kaḥḥalīn,True,False,False,False,False
al-kaḥḥlīn,True,False,False,False,False
al-kaḥḥāl,True,False,False,False,False
al-kaḥḥālīn,True,False,False,False,False
al-kindī,True,False,False,False,False
alchemical,False,False,False,False,True
alchemist,True,False,False,False,False
alcoholic,False,False,True,False,False
alcoholism,False,False,True,False,False
alignment,False,False,True,False,False
alimentation,False,False,True,False,False
alleviated,False,False,False,False,True
alleviating,False,False,False,False,True
allāh,True,False,False,False,False
almond,False,True,False,False,False
aloe,False,True,False,False,False
aloe-wood,False,True,False,False,False
alopecia,False,False,True,False,False
althea,False,True,False,False,False
alum,False,True,False,False,False
amber,False,True,False,False,False
ambergris,False,True,False,False,False
amenorrhoea,False,False,True,False,False
ammonia,False,True,False,False,False
ammoniac,False,True,False,False,False
amnesia,False,False,True,False,False
amomum,False,True,False,False,False
amulet,False,False,False,False,True
anachroid,False,False,False,True,False
anal,False,False,False,True,False
anaphrodisiac,False,False,False,False,True
anarcardium,False,True,False,False,False
anasarca,False,True,False,False,False
anatomical,False,False,False,True,False
anatomy,False,False,False,True,False
anchusa,False,True,False,False,False
andara,False,True,False,False,False
anemone,False,True,False,False,False
anguish,False,False,True,False,False
anima,True,False,False,False,False
anise,False,True,False,False,False
aniseed,False,True,False,False,False
anorectal,False,False,True,False,False
antihemorrhagic,False,True,False,False,False
antimony,False,True,False,False,False
antipyretic,False,True,False,False,False
anus,False,False,False,True,False
anxiety,False,False,True,False,False
aperient,False,False,False,False,True
aphasia,False,False,True,False,False
aphrodisiac,False,True,False,False,False
apoplexy,False,False,True,False,False
apparatus,False,True,False,False,False
appetite,False,False,True,False,False
apple,False,True,False,False,False
application,False,False,False,False,True
applied,False,False,False,False,True
apprentice,True,False,False,False,False
apricot,False,True,False,False,False
arachnoid,False,False,True,False,False
archigenes,True,False,False,False,False
argilla,False,True,False,False,False
aristolochia,True,False,False,False,False
aristotle,True,False,False,False,False
arm,False,False,False,True,False
armpit,False,False,False,True,False
aromatic,False,True,False,False,False
arsenic,False,True,False,False,False
artemisia,False,True,False,False,False
artery,False,False,False,True,False
asafoetida,False,True,False,False,False
ascetic,True,False,False,False,False
ascites,False,False,True,False,False
ash,False,True,False,False,False
asparagus,False,True,False,False,False
asthma,False,False,True,False,False
astral,False,False,False,False,True
astral-medicine,False,False,False,False,True
astringent,False,True,False,False,False
astro-medical,False,False,False,False,True
astrological,False,False,False,False,True
astrological-medical,False,False,False,False,True
astrology,False,False,False,False,True
atheroma,False,False,True,False,False
atrophy,False,False,True,False,False
attack,False,False,True,False,False
averroes,True,False,False,False,False
avicenna,True,False,False,False,False
baby,False,False,False,True,False
back,False,False,False,True,False
backache,False,False,False,True,False
bad,False,False,True,False,False
badly,False,False,True,False,False
baking,False,True,False,False,False
balanced,False,False,False,False,True
baldness,False,False,True,False,False
balm,False,True,False,False,False
balsam,False,True,False,False,False
bamboo,False,True,False,False,False
bandage,False,False,False,False,True
bandaging,False,False,False,False,True
bark,False,True,False,False,False
barley,False,True,False,False,False
barley-water,False,True,False,False,False
barren,False,False,True,False,False
basal,False,False,False,False,True
base,False,True,False,False,False
basil,False,True,False,False,False
basilius,False,True,False,False,False
bath,False,False,False,False,True
bathing,False,False,False,False,True
bayṭār,True,False,False,False,False
bdellium,False,True,False,False,False
bean,False,True,False,False,False
bedwetting,False,False,True,False,False
bee,False,True,False,False,False
beet,False,True,False,False,False
belly,False,False,False,True,False
berberi,False,False,False,False,True
berberis,False,False,False,False,True
bernard,True,False,False,False,False
beryl,False,True,False,False,False
betel,False,True,False,False,False
bile,False,False,True,False,False
bindweed,False,True,False,False,False
birth,False,False,True,False,False
bite,False,False,True,False,False
bitten,False,False,True,False,False
bitter,False,True,False,False,False
bituminous,False,True,False,False,False
bladder,False,False,False,True,False
bleed,False,False,True,False,False
bleeding,False,False,True,False,False
blepharitis,False,False,True,False,False
blindness,False,False,True,False,False
bloating,False,False,True,False,False
blockage,False,False,True,False,False
blocked,False,False,True,False,False
blood,False,False,False,True,False
blood-letting,False,False,False,False,True
bloodletting,False,False,False,False,True
bloodspots,False,False,True,False,False
bloody,False,False,True,False,False
blossom,False,True,False,False,False
blurred,False,False,True,False,False
bodily,False,False,False,True,False
body,False,False,False,True,False
boil,False,False,True,False,False
bole,False,True,False,False,False
bone,False,False,False,True,False
borage,False,True,False,False,False
borage-water,False,True,False,False,False
borax,False,True,False,False,False
bowel,False,False,False,True,False
box-thorn,False,True,False,False,False
boy,False,False,False,True,False
brain,False,False,False,True,False
bran,False,True,False,False,False
brassica,False,True,False,False,False
brazilwood,False,True,False,False,False
bread,False,True,False,False,False
breakfast,False,False,False,False,True
breast,False,False,False,True,False
breast-feeding,False,False,True,False,False
breast-related,False,False,True,False,False
breath,False,False,False,True,False
breathing,False,False,True,False,False
broken,False,False,True,False,False
bubo,False,False,True,False,False
bulimia,False,False,True,False,False
burn,False,False,True,False,False
burning,False,False,True,False,False
burnt,False,False,True,False,False
butter,False,True,False,False,False
buttock,False,False,False,True,False
buṭlān,True,False,False,False,False
cabbage,False,True,False,False,False
cadmia,False,True,False,False,False
cadmium,False,True,False,False,False
caesar,False,False,False,False,True
calx,False,True,False,False,False
camomile,False,True,False,False,False
camphor,False,True,False,False,False
cancer,False,False,True,False,False
candy,False,True,False,False,False
cannabis,False,True,False,False,False
canon,True,False,False,False,False
cant,False,False,False,True,False
canthus,False,False,False,True,False
caraway,False,True,False,False,False
cardamom,False,True,False,False,False
cardamon,False,True,False,False,False
care,False,False,False,False,True
caries,False,False,True,False,False
carminative,False,False,False,False,True
carnation,False,True,False,False,False
carob,False,True,False,False,False
carraway,False,True,False,False,False
carrot,False,True,False,False,False
carthamus,False,True,False,False,False
cartilage,False,False,False,True,False
cassia,False,True,False,False,False
cassis,False,True,False,False,False
castor,False,True,False,False,False
castoreum,False,True,False,False,False
cataract,False,False,True,False,False
cauterisation,False,False,False,False,True
cautery,False,False,False,False,True
cava,False,False,False,True,False
cavity,False,False,True,False,False
celery,False,True,False,False,False
celery-water,False,True,False,False,False
cephalic,False,False,False,True,False
cerebral,False,False,False,True,False
ceruse,False,True,False,False,False
chalk,False,True,False,False,False
chamomile,False,True,False,False,False
chebulic,False,True,False,False,False
cheese,False,True,False,False,False
chemistry,False,False,False,False,True
chest,False,False,False,True,False
chestnut,False,True,False,False,False
chewing,False,False,False,True,False
chicken,False,True,False,False,False
chickpea,False,True,False,False,False
chicory,False,True,False,False,False
child,False,False,False,True,False
childbirth,False,False,True,False,False
chin,False,False,False,True,False
cholera,False,False,True,False,False
choroid,False,False,False,True,False
chronic,False,False,True,False,False
chyme,False,False,True,False,False
cicatrisation,False,False,True,False,False
cimolia,False,True,False,False,False
cinnabar,False,True,False,False,False
cinnamon,False,True,False,False,False
circulation,False,False,True,False,False
cissus,False,True,False,False,False
cistus,False,True,False,False,False
clay,False,True,False,False,False
cleaning,False,False,False,False,True
cleanse,False,False,False,False,True
