Coutry Name,Indicator,var,value
Afghnistan,Overall Global Gender Gap Index,2000,0.433
Afghnistan,Global Gender Gap Political Empowerment subindex,2000,0.72
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.136
Afghnistan,Global Gender Gap Educational Attainment Subindex,2000,0.928
Afghnistan,Global Gender Gap Health and Survival Subinex,2000,0.999
Angola,Overall Global Gender Gap Index,2000,0.784
Angola,Global Gender Gap Political Empowerment subindex,2000,0.879
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.011
Angola,Global Gender Gap Educational Attainment Subindex,2000,0.588
Angola,Global Gender Gap Health and Survival Subinex,2000,0.647
Albania,Overall Global Gender Gap Index,2000,0.406
Albania,Global Gender Gap Political Empowerment subindex,2000,0.361
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.964
Albania,Global Gender Gap Educational Attainment Subindex,2000,0.376
Albania,Global Gender Gap Health and Survival Subinex,2000,0.084
Afghnistan,Overall Global Gender Gap Index,2001,0.699
Afghnistan,Global Gender Gap Political Empowerment subindex,2001,0.978
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.231
Afghnistan,Global Gender Gap Educational Attainment Subindex,2001,0.205
Afghnistan,Global Gender Gap Health and Survival Subinex,2001,0.429
Angola,Overall Global Gender Gap Index,2001,0.17
Angola,Global Gender Gap Political Empowerment subindex,2001,0.277
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.371
Angola,Global Gender Gap Educational Attainment Subindex,2001,0.592
Angola,Global Gender Gap Health and Survival Subinex,2001,0.752
Albania,Overall Global Gender Gap Index,2001,0.969
Albania,Global Gender Gap Political Empowerment subindex,2001,0.629
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.604
Albania,Global Gender Gap Educational Attainment Subindex,2001,0.786
Albania,Global Gender Gap Health and Survival Subinex,2001,0.745
Afghnistan,Overall Global Gender Gap Index,2002,0.691
Afghnistan,Global Gender Gap Political Empowerment subindex,2002,0.658
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.216
Afghnistan,Global Gender Gap Educational Attainment Subindex,2002,0.154
Afghnistan,Global Gender Gap Health and Survival Subinex,2002,1.0
Angola,Overall Global Gender Gap Index,2002,0.887
Angola,Global Gender Gap Political Empowerment subindex,2002,0.501
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.261
Angola,Global Gender Gap Educational Attainment Subindex,2002,0.263
Angola,Global Gender Gap Health and Survival Subinex,2002,0.004
Albania,Overall Global Gender Gap Index,2002,0.475
Albania,Global Gender Gap Political Empowerment subindex,2002,0.96
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.033
Albania,Global Gender Gap Educational Attainment Subindex,2002,0.857
Albania,Global Gender Gap Health and Survival Subinex,2002,0.036
Afghnistan,Overall Global Gender Gap Index,2003,0.466
Afghnistan,Global Gender Gap Political Empowerment subindex,2003,0.652
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.766
Afghnistan,Global Gender Gap Educational Attainment Subindex,2003,0.924
Afghnistan,Global Gender Gap Health and Survival Subinex,2003,0.743
Angola,Overall Global Gender Gap Index,2003,0.594
Angola,Global Gender Gap Political Empowerment subindex,2003,0.383
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.764
Angola,Global Gender Gap Educational Attainment Subindex,2003,0.897
Angola,Global Gender Gap Health and Survival Subinex,2003,0.067
Albania,Overall Global Gender Gap Index,2003,0.873
Albania,Global Gender Gap Political Empowerment subindex,2003,0.991
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.779
Albania,Global Gender Gap Educational Attainment Subindex,2003,0.467
Albania,Global Gender Gap Health and Survival Subinex,2003,0.962
Afghnistan,Overall Global Gender Gap Index,2004,0.165
Afghnistan,Global Gender Gap Political Empowerment subindex,2004,1.0
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.705
Afghnistan,Global Gender Gap Educational Attainment Subindex,2004,0.497
Afghnistan,Global Gender Gap Health and Survival Subinex,2004,0.334
Angola,Overall Global Gender Gap Index,2004,0.386
Angola,Global Gender Gap Political Empowerment subindex,2004,0.843
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.947
Angola,Global Gender Gap Educational Attainment Subindex,2004,0.975
Angola,Global Gender Gap Health and Survival Subinex,2004,0.181
Albania,Overall Global Gender Gap Index,2004,0.32
Albania,Global Gender Gap Political Empowerment subindex,2004,0.333
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.353
Albania,Global Gender Gap Educational Attainment Subindex,2004,0.298
Albania,Global Gender Gap Health and Survival Subinex,2004,0.814
Afghnistan,Overall Global Gender Gap Index,2005,0.28
Afghnistan,Global Gender Gap Political Empowerment subindex,2005,0.346
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.513
Afghnistan,Global Gender Gap Educational Attainment Subindex,2005,0.611
Afghnistan,Global Gender Gap Health and Survival Subinex,2005,0.757
Angola,Overall Global Gender Gap Index,2005,0.343
Angola,Global Gender Gap Political Empowerment subindex,2005,0.33
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.031
Angola,Global Gender Gap Educational Attainment Subindex,2005,0.17
Angola,Global Gender Gap Health and Survival Subinex,2005,0.269
Albania,Overall Global Gender Gap Index,2005,0.885
Albania,Global Gender Gap Political Empowerment subindex,2005,0.477
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.645
Albania,Global Gender Gap Educational Attainment Subindex,2005,0.755
Albania,Global Gender Gap Health and Survival Subinex,2005,0.307
Afghnistan,Overall Global Gender Gap Index,2006,0.059
Afghnistan,Global Gender Gap Political Empowerment subindex,2006,0.125
