Year,var,value
2001,Amy,3
2002,Amy,4
2003,Amy,4
2004,Amy,4
2005,Amy,4
2006,Amy,8
2007,Amy,5
2008,Amy,7
2009,Amy,1
2010,Amy,5
2011,Amy,10
2012,Amy,10
2013,Amy,10
2014,Amy,10
2001,Bob,9
2002,Bob,4
2003,Bob,8
2004,Bob,7
2005,Bob,4
2006,Bob,7
2007,Bob,6
2008,Bob,9
2009,Bob,9
2010,Bob,1
2011,Bob,2
2012,Bob,1
2013,Bob,9
2014,Bob,8
2001,Carl,9
2002,Carl,2
2003,Carl,9
2004,Carl,7
2005,Carl,3
2006,Carl,1
2007,Carl,4
2008,Carl,3
2009,Carl,10
2010,Carl,3
2011,Carl,6
2012,Carl,10
2013,Carl,2
2014,Carl,1
2001,Chris,10
2002,Chris,6
2003,Chris,5
2004,Chris,6
2005,Chris,6
2006,Chris,3
2007,Chris,3
2008,Chris,8
2009,Chris,4
2010,Chris,1
2011,Chris,1
2012,Chris,2
2013,Chris,2
2014,Chris,1
2001,Ben,4
2002,Ben,4
2003,Ben,7
2004,Ben,5
2005,Ben,9
2006,Ben,5
2007,Ben,8
2008,Ben,4
2009,Ben,9
2010,Ben,4
2011,Ben,7
2012,Ben,8
2013,Ben,5
2014,Ben,7
2001,Ava,9
2002,Ava,2
2003,Ava,8
2004,Ava,5
2005,Ava,5
2006,Ava,8
2007,Ava,4
2008,Ava,7
2009,Ava,9
2010,Ava,3
2011,Ava,2
2012,Ava,10
2013,Ava,2
2014,Ava,1
2001,James,6
2002,James,2
2003,James,5
2004,James,5
2005,James,6
2006,James,1
2007,James,6
2008,James,9
2009,James,7
2010,James,6
2011,James,10
2012,James,8
2013,James,3
2014,James,5
2001,Henry,2
2002,Henry,1
2003,Henry,3
2004,Henry,3
2005,Henry,8
2006,Henry,5
2007,Henry,8
2008,Henry,7
2009,Henry,9
2010,Henry,2
2011,Henry,5
2012,Henry,8
2013,Henry,8
2014,Henry,2
2001,Sphia,10
2002,Sphia,1
2003,Sphia,10
2004,Sphia,10
2005,Sphia,10
2006,Sphia,9
2007,Sphia,10
2008,Sphia,5
2009,Sphia,4
2010,Sphia,3
2011,Sphia,8
2012,Sphia,2
2013,Sphia,3
2014,Sphia,4
2001,Noah,2
2002,Noah,2
2003,Noah,7
2004,Noah,2
2005,Noah,6
2006,Noah,1
2007,Noah,4
2008,Noah,4
2009,Noah,6
2010,Noah,4
2011,Noah,5
2012,Noah,3
2013,Noah,3
2014,Noah,3
