Userid,var,value
u_1,1,
u_2,1,4.0
u_3,1,
u_4,1,1.0
u_5,1,2.0
u_6,1,
u_7,1,
u_8,1,4.0
u_9,1,1.0
u_10,1,
u_11,1,
u_12,1,
u_1,2,3.0
u_2,2,1.0
u_3,2,
u_4,2,
u_5,2,2.0
u_6,2,1.0
u_7,2,
u_8,2,
u_9,2,4.0
u_10,2,
u_11,2,5.0
u_12,2,3.0
u_1,3,4.0
u_2,3,
u_3,3,
u_4,3,
u_5,3,
u_6,3,
u_7,3,
u_8,3,3.0
u_9,3,2.0
u_10,3,5.0
u_11,3,
u_12,3,1.0
u_1,4,
u_2,4,
u_3,4,2.0
u_4,4,
u_5,4,5.0
u_6,4,0.0
u_7,4,5.0
u_8,4,4.0
u_9,4,
u_10,4,5.0
u_11,4,
u_12,4,3.0
u_1,5,3.0
u_2,5,2.0
u_3,5,3.0
u_4,5,
u_5,5,
u_6,5,3.0
u_7,5,
u_8,5,
u_9,5,
u_10,5,1.0
u_11,5,1.0
u_12,5,2.0
u_1,6,
u_2,6,
u_3,6,
u_4,6,1.0
u_5,6,1.0
u_6,6,0.0
u_7,6,
u_8,6,
u_9,6,3.0
u_10,6,4.0
u_11,6,
u_12,6,
u_1,7,4.0
u_2,7,
u_3,7,5.0
u_4,7,
u_5,7,
u_6,7,4.0
u_7,7,
u_8,7,
u_9,7,
u_10,7,
u_11,7,2.0
u_12,7,
u_1,8,
u_2,8,5.0
u_3,8,2.0
u_4,8,
u_5,8,
u_6,8,
u_7,8,5.0
u_8,8,
u_9,8,
u_10,8,2.0
u_11,8,5.0
u_12,8,
u_1,9,1.0
u_2,9,
u_3,9,0.0
u_4,9,4.0
u_5,9,
u_6,9,
u_7,9,3.0
u_8,9,4.0
u_9,9,1.0
u_10,9,
u_11,9,2.0
u_12,9,
u_1,10,
u_2,10,
u_3,10,2.0
u_4,10,
u_5,10,0.0
u_6,10,
u_7,10,4.0
u_8,10,1.0
u_9,10,4.0
u_10,10,3.0
u_11,10,
u_12,10,
u_1,11,
u_2,11,
u_3,11,
u_4,11,5.0
u_5,11,1.0
u_6,11,
u_7,11,
u_8,11,
u_9,11,
u_10,11,
u_11,11,
u_12,11,
u_1,12,3.0
u_2,12,
u_3,12,
u_4,12,0.0
u_5,12,
u_6,12,
u_7,12,
u_8,12,4.0
u_9,12,
u_10,12,
u_11,12,
u_12,12,1.0
