Unnamed: 0,var,value
2010,January,Jaime Faith Edmondson
2011,January,Anna Sophia Berglund
2012,January,Heather Knox
2013,January,Karina Marie
2014,January,Roos van Montfort
2015,January,Brittny Ward
2016,January,Amberleigh West
2017,January,Bridget Malcolm
2010,October,Claire Sinclair
2011,October,Amanda Cerny
2012,October,Pamela Horton
2013,October,Carly Lauren
2014,October,Roxanna June
2015,October,Ana Cheri
2016,October,Allie Silva
2017,October,
2010,November,Shera Bechard
2011,November,Ciara Price
2012,November,Britany Nola
2013,November,Gemma Lee Farrell
2014,November,Gia Marie
2015,November,Rachel Harris
2016,November,Ashley Smith
2017,November,
2010,December,Ashley Hobbs
2011,December,Rainy Day Jordan
2012,December,Amanda Streich
2013,December,Kennedy Summers
2014,December,Elizabeth Ostrander
2015,December,Eugena Washington
2016,December,Enikő Mihalik
2017,December,
2010,February,Heather Rae Young
2011,February,Kylie Johnson
2012,February,Leola Bell
2013,February,Shawn Dillon
2014,February,Amanda Booth
2015,February,Kayslee Collins
2016,February,Kristy Garett
2017,February,Joy Corrigan
2010,March,Kyra Milan
2011,March,Ashley Mattingly
2012,March,Lisa Seiffert
2013,March,Ashley Doris
2014,March,Britt Linn
2015,March,Chelsie Aryn
2016,March,Dree Hemingway
2017,March,Elizabeth Elam
2010,April,Amy Leigh Andrews
2011,April,Jaclyn Swedberg
2012,April,Raquel Pomplun
2013,April,Jaslyn Ome
2014,April,Shanice Jordyn
2015,April,Alexandra Tyler
2016,April,Camille Rowe
2017,April,Nina Daniele
2010,May,Kassie Lyn Logsdon
2011,May,Sasha Bonilova
2012,May,Nikki Leigh
2013,May,Kristen Nicole
2014,May,Dani Mathers
2015,May,Brittany Brousseau
2016,May,Brook Power
2017,May,Lada Kravchenko
2010,June,Katie Vernola
2011,June,Mei-Ling Lam
2012,June,Amelia Talon
2013,June,Audrey Aleen Allen
2014,June,Jessica Ashley
2015,June,Kaylia Cassandra
2016,June,Josie Canseco
2017,June,Elsie Hewitt
2010,July,Shanna McLaughlin
2011,July,Jessa Lynn Hinton
2012,July,Shelby Chesnes
2013,July,Alyssa Arcè
2014,July,Emily Agnes
2015,July,Kayla Rae Reid
2016,July,Ali Michael
2017,July,Dana Taylor
2010,August,Francesca Frigo
2011,August,Iryna Ivanova
2012,August,Beth Williams
2013,August,Val Keil
2014,August,Maggie May
2015,August,Dominique Jane
2016,August,Valerie van der Graaf
2017,August,
2010,September,Olivia Paige
2011,September,Tiffany Toth
2012,September,Alana Campos
2013,September,Bryiana Noelle
2014,September,Stephanie Branton
2015,September,Monica Sims
2016,September,Kelly Gale
2017,September,
