Set,Expansion symbol,Expansion code,Release date,var,value
Portal,A portal,POR,Jun-97,Size(Total Cards),222
Portal Second Age,A pentagon,PO2,Jun-98,Size(Total Cards),165
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Total Cards),180
Starter 1999,A five-pointed star,S99,Jul-99,Size(Total Cards),173
Starter 2000,None,S00,Jul-00,Size(Total Cards),57
Portal,A portal,POR,Jun-97,Size(Common),90
Portal Second Age,A pentagon,PO2,Jun-98,Size(Common),70
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Common),55
Starter 1999,A five-pointed star,S99,Jul-99,Size(Common),63
Starter 2000,None,S00,Jul-00,Size(Common),39
Portal,A portal,POR,Jun-97,Size(Uncommon),57
Portal Second Age,A pentagon,PO2,Jun-98,Size(Uncommon),45
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Uncommon),55
Starter 1999,A five-pointed star,S99,Jul-99,Size(Uncommon),55
Starter 2000,None,S00,Jul-00,Size(Uncommon),6
Portal,A portal,POR,Jun-97,Size(Rare),55
Portal Second Age,A pentagon,PO2,Jun-98,Size(Rare),35
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Rare),55
Starter 1999,A five-pointed star,S99,Jul-99,Size(Rare),35
Starter 2000,None,S00,Jul-00,Size(Rare),2
Portal,A portal,POR,Jun-97,Size(Mythic Rare),0
Portal Second Age,A pentagon,PO2,Jun-98,Size(Mythic Rare),0
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Mythic Rare),0
Starter 1999,A five-pointed star,S99,Jul-99,Size(Mythic Rare),0
Starter 2000,None,S00,Jul-00,Size(Mythic Rare),0
Portal,A portal,POR,Jun-97,Size(Basic Land),20
Portal Second Age,A pentagon,PO2,Jun-98,Size(Basic Land),15
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Basic Land),15
Starter 1999,A five-pointed star,S99,Jul-99,Size(Basic Land),20
Starter 2000,None,S00,Jul-00,Size(Basic Land),10
Portal,A portal,POR,Jun-97,Size(Other),0
Portal Second Age,A pentagon,PO2,Jun-98,Size(Other),0
Portal Three Kingdoms,The Chinese character for the number 3,PTK,May-99,Size(Other),0
Starter 1999,A five-pointed star,S99,Jul-99,Size(Other),0
Starter 2000,None,S00,Jul-00,Size(Other),0
