Title,Distributor(s),Release date (United States),Budget (in millions),Box office gross(Opening weekend (North America)),Box office gross(North America),Box office gross(Other territories),Box office gross(Worldwide)
Howard the Duck,Universal Pictures,"August 1, 1986",$37,"$5,070,136","$16,295,774","$21,667,000","$37,962,774"
Blade,New Line Cinema,"August 21, 1998",$45,"$17,073,856","$70,087,718","$61,095,812","$131,183,530"
X-Men,20th Century Fox,"July 14, 2000",$75,"$54,471,475","$157,299,717","$139,039,810","$296,339,527"
Blade II,New Line Cinema,"March 22, 2002",$54,"$32,528,016","$82,348,319","$72,661,713","$155,010,032"
Spider-Man,Sony Pictures,"May 3, 2002",$139,"$114,844,116","$403,706,375","$418,002,176","$821,708,551"
Daredevil,20th Century Fox,"February 14, 2003",$78,"$40,310,419","$102,543,518","$76,636,200","$179,179,718"
X2,20th Century Fox,"May 2, 2003",$110,"$85,558,731","$214,949,694","$192,761,855","$407,711,549"
Hulk,Universal Pictures,"June 20, 2003",$137,"$62,128,420","$132,177,234","$113,183,246","$245,360,480"
The Punisher,Lionsgate Films,"April 16, 2004",$33,"$13,834,527","$33,810,189","$20,889,916","$54,700,105"
Spider-Man 2,Sony Pictures,"June 30, 2004",$200,"$88,156,227","$373,585,825","$410,180,516","$783,766,341"
Blade: Trinity,New Line Cinema,"December 8, 2004",$65,"$16,061,271","$52,411,906","$76,493,460","$128,905,366"
Elektra,20th Century Fox,"January 14, 2005",$43,"$12,804,793","$24,409,722","$32,271,844","$56,681,566"
Fantastic Four,20th Century Fox,"July 8, 2005",$100,"$56,061,504","$154,696,080","$175,883,639","$330,579,719"
X-Men: The Last Stand,20th Century Fox,"May 26, 2006",$210,"$102,750,665","$234,362,462","$224,997,093","$459,359,555"
Ghost Rider,Sony Pictures,"February 16, 2007",$110,"$45,388,836","$115,802,596","$112,935,797","$228,738,393"
Spider-Man 3,Sony Pictures,"May 4, 2007",$258,"$151,116,516","$336,530,303","$554,341,323","$890,871,626"
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,"June 15, 2007",$130,"$58,051,684","$131,921,738","$157,126,025","$289,047,763"
Iron Man,Paramount Pictures,"May 2, 2008",$140,"$98,618,668","$318,412,101","$266,762,121","$585,174,222"
The Incredible Hulk,Universal Pictures,"June 13, 2008",$150,"$55,414,050","$134,806,913","$128,620,638","$263,427,551"
Punisher: War Zone,Lionsgate Films,"December 5, 2008",$35,"$4,271,451","$8,050,977","$2,049,059","$10,100,036"
X-Men Origins: Wolverine,20th Century Fox,"May 1, 2009",$150,"$85,058,003","$179,883,157","$193,179,707","$373,062,864"
Iron Man 2,Paramount Pictures,"May 7, 2010",$200,"$128,122,480","$312,433,331","$311,500,000","$623,933,331"
Thor,Paramount Pictures,"May 6, 2011",$150,"$65,723,338","$181,030,624","$268,295,994","$449,326,618"
X-Men: First Class,20th Century Fox,"June 3, 2011",$160,"$55,101,604","$146,408,305","$207,215,819","$353,624,124"
Captain America: The First Avenger,Paramount Pictures,"July 22, 2011",$140,"$65,058,524","$176,654,505","$193,915,269","$370,569,774"
Ghost Rider: Spirit of Vengeance,Sony Pictures,"February 17, 2012",$57,"$22,115,334","$51,774,002","$80,789,928","$132,563,930"
The Avengers,Walt Disney Studios Motion Pictures,"May 4, 2012",$220,"$207,438,708","$623,357,910","$895,455,078","$1,518,812,988"
The Amazing Spider-Man,Sony Pictures,"July 3, 2012",$230,"$62,004,688","$262,030,663","$495,900,000","$757,930,663"
Iron Man 3,Walt Disney Studios Motion Pictures,"May 3, 2013",$200,"$174,144,585","$409,013,994","$805,797,258","$1,214,811,252"
The Wolverine,20th Century Fox,"July 26, 2013",$120,"$53,113,752","$132,550,960","$282,271,394","$414,828,246"
Thor: The Dark World,Walt Disney Studios Motion Pictures,"November 8, 2013",$170,"$85,737,841","$206,362,140","$438,209,262","$644,571,402"
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,"April 4, 2014",$170,"$95,023,721","$259,766,572","$454,497,695","$714,264,267"
The Amazing Spider-Man 2,Sony Pictures,"May 2, 2014",$255,"$91,608,337","$202,853,933","$506,128,390","$708,982,323"
X-Men: Days of Future Past,20th Century Fox,"May 23, 2014",$200,"$90,823,660","$233,921,534","$513,941,241","$747,862,775"
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,"August 1, 2014",$170,"$94,320,883","$333,176,600","$440,152,029","$773,328,629"
Big Hero 6,Walt Disney Studios Motion Pictures,"November 7, 2014",$165,"$56,215,889","$222,527,828","$435,290,784","$657,818,612"
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"May 1, 2015",$250,"$191,271,109","$459,005,868","$946,397,826","$1,405,403,694"
Ant-Man,Walt Disney Studios Motion Pictures,"July 17, 2015",$130,"$57,225,526","$180,202,163","$339,109,802","$519,311,965"
Fantastic Four,20th Century Fox,"August 7, 2015",$120,"$25,685,737","$56,117,548","$111,860,048","$167,977,596"
Deadpool,20th Century Fox,"February 12, 2016",$58,"$132,434,600","$363,070,709","$420,042,270","$783,112,979"
Captain America: Civil War,Walt Disney Studios Motion Pictures,"May 6, 2016",$250,"$179,139,142","$408,084,349","$745,220,146","$1,153,304,495"
X-Men: Apocalypse,20th Century Fox,"May 27, 2016",$178,"$65,769,562","$155,442,489","$388,492,298","$543,934,787"
Doctor Strange,Walt Disney Studios Motion Pictures,"November 4, 2016",$165,"$85,058,311","$232,641,920","$445,076,475","$677,718,395"
Logan,20th Century Fox,"March 3, 2017",$97,"$88,411,916","$226,277,068","$389,941,470","$616,218,538"
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"May 5, 2017",$200,"$146,510,104","$386,745,538","$472,730,755","$859,476,293"
Spider Man: Homecoming,Sony Pictures,"July 7, 2017",$175,"$117,027,503","$220,267,368","$260,072,679","$480,340,047"
