Season,var,value
1,Ep. 1,9.9
2,Ep. 1,16.18
3,Ep. 1,10.87
1,Ep. 10,14.9
2,Ep. 10,11.81
3,Ep. 10,7.95
1,Ep. 11,15.82
2,Ep. 11,12.46
3,Ep. 11,6.91
1,Ep. 12,17.62
2,Ep. 12,11.34
3,Ep. 12,6.35
1,Ep. 13,
2,Ep. 13,10.11
3,Ep. 13,6.59
1,Ep. 14,
2,Ep. 14,9.56
3,Ep. 14,6.31
1,Ep. 15,
2,Ep. 15,10.03
3,Ep. 15,5.6
1,Ep. 16,
2,Ep. 16,9.39
3,Ep. 16,6.32
1,Ep. 17,
2,Ep. 17,9.81
3,Ep. 17,6.14
1,Ep. 18,
2,Ep. 18,10.88
3,Ep. 18,6.94
1,Ep. 2,10.32
2,Ep. 2,13.74
3,Ep. 2,9.65
1,Ep. 3,11.07
2,Ep. 3,13.1
3,Ep. 3,9.25
1,Ep. 4,11.36
2,Ep. 4,12.22
3,Ep. 4,9.27
1,Ep. 5,11.47
2,Ep. 5,12.28
3,Ep. 5,8.15
1,Ep. 6,11.96
2,Ep. 6,11.68
3,Ep. 6,8.39
1,Ep. 7,13.02
2,Ep. 7,11.2
3,Ep. 7,7.84
1,Ep. 8,13.9
2,Ep. 8,11.34
3,Ep. 8,7.0
1,Ep. 9,14.33
2,Ep. 9,9.21
3,Ep. 9,7.58
