Title,Type,Developer(s),Publisher(s),var,value
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,Regions released/Release date (NTSC)(Japan),23-Apr-15
Amazon Video,Video on demand,Amazon,Amazon,Regions released/Release date (NTSC)(Japan),21-Sep-16
Animal Crossing Plaza,Sim,Nintendo EAD,Nintendo,Regions released/Release date (NTSC)(Japan),8-Aug-13
Art Academy: Home Studio,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (NTSC)(Japan),12-Nov-15
Art Academy: SketchPad,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (NTSC)(Japan),8-Aug-13
Bandai Channel,Video on demand,Bandai Channel,Namco Bandai,Regions released/Release date (NTSC)(Japan),1-Aug-13
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,Regions released/Release date (NTSC)(Japan),Unreleased
Demae-can,Miscellaneous,"Yume no Machi Souzou Iinkai Co., Ltd.","Yume no Machi Souzou Iinkai Co., Ltd.",Regions released/Release date (NTSC)(Japan),8-Aug-13
Hulu Plus HuluJP,Video on demand,Hulu,Hulu,Regions released/Release date (NTSC)(Japan),8-Dec-12
LoveFilm,Video on demand,LoveFilm,LoveFilm,Regions released/Release date (NTSC)(Japan),Unreleased
Napster,Music streaming,Napster,Nintendo,Regions released/Release date (NTSC)(Japan),Unreleased
Netflix,Video on demand,Netflix,Netflix,Regions released/Release date (NTSC)(Japan),2-Sep-15
Nico Nico,Video on demand,Niwango,Dwango,Regions released/Release date (NTSC)(Japan),8-Dec-12
Rhapsody: Music & Radio,Music streaming,Rhapsody Team,Rhapsody Team,Regions released/Release date (NTSC)(Japan),Unreleased
SDK Paint,Paint,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (NTSC)(Japan),Unreleased
SDK Spriter,Edutainment,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (NTSC)(Japan),Unreleased
Sense by Play.me,"Music streaming, internet radio",d-mobilelab,d-mobilelab,Regions released/Release date (NTSC)(Japan),Unreleased
Uplay,Loyalty program,Ubisoft,Ubisoft,Regions released/Release date (NTSC)(Japan),Unreleased
WatchUp: You're Daily News Cast,News,Watchup,Watchup,Regions released/Release date (NTSC)(Japan),Unreleased
Wii Karaoke U,Karaoke,Tose,Nintendo,Regions released/Release date (NTSC)(Japan),8-Dec-12
Wii Street U,"Map, street view","Google, Nintendo Software Technology",Nintendo,Regions released/Release date (NTSC)(Japan),7-Feb-13
Wii U Panorama View,Panoramic video,Nintendo,Nintendo,Regions released/Release date (NTSC)(Japan),27-Apr-13
YNN,Digital distribution,Yoshimoto Kogyo,Yoshimoto Kogyo,Regions released/Release date (NTSC)(Japan),1-Apr-15
YouTube,Video on demand,YouTube,Google,Regions released/Release date (NTSC)(Japan),8-Dec-12
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,Regions released/Release date (NTSC)(North America),30-Apr-15
Amazon Video,Video on demand,Amazon,Amazon,Regions released/Release date (NTSC)(North America),21-Nov-12
Animal Crossing Plaza,Sim,Nintendo EAD,Nintendo,Regions released/Release date (NTSC)(North America),8-Aug-13
Art Academy: Home Studio,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (NTSC)(North America),25-Jun-15
Art Academy: SketchPad,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (NTSC)(North America),9-Aug-13
Bandai Channel,Video on demand,Bandai Channel,Namco Bandai,Regions released/Release date (NTSC)(North America),Unreleased
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,Regions released/Release date (NTSC)(North America),25-Dec-14
Demae-can,Miscellaneous,"Yume no Machi Souzou Iinkai Co., Ltd.","Yume no Machi Souzou Iinkai Co., Ltd.",Regions released/Release date (NTSC)(North America),Unreleased
Hulu Plus HuluJP,Video on demand,Hulu,Hulu,Regions released/Release date (NTSC)(North America),21-Nov-12
LoveFilm,Video on demand,LoveFilm,LoveFilm,Regions released/Release date (NTSC)(North America),Unreleased
Napster,Music streaming,Napster,Nintendo,Regions released/Release date (NTSC)(North America),Unreleased
Netflix,Video on demand,Netflix,Netflix,Regions released/Release date (NTSC)(North America),21-Nov-12
Nico Nico,Video on demand,Niwango,Dwango,Regions released/Release date (NTSC)(North America),Unreleased
Rhapsody: Music & Radio,Music streaming,Rhapsody Team,Rhapsody Team,Regions released/Release date (NTSC)(North America),10-Mar-16
SDK Paint,Paint,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (NTSC)(North America),6-Nov-14
SDK Spriter,Edutainment,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (NTSC)(North America),15-Dec-16
Sense by Play.me,"Music streaming, internet radio",d-mobilelab,d-mobilelab,Regions released/Release date (NTSC)(North America),Unreleased
Uplay,Loyalty program,Ubisoft,Ubisoft,Regions released/Release date (NTSC)(North America),21-Nov-12
WatchUp: You're Daily News Cast,News,Watchup,Watchup,Regions released/Release date (NTSC)(North America),28-Aug-15
Wii Karaoke U,Karaoke,Tose,Nintendo,Regions released/Release date (NTSC)(North America),Unreleased
Wii Street U,"Map, street view","Google, Nintendo Software Technology",Nintendo,Regions released/Release date (NTSC)(North America),14-Feb-13
Wii U Panorama View,Panoramic video,Nintendo,Nintendo,Regions released/Release date (NTSC)(North America),26-Apr-13
YNN,Digital distribution,Yoshimoto Kogyo,Yoshimoto Kogyo,Regions released/Release date (NTSC)(North America),Unreleased
YouTube,Video on demand,YouTube,Google,Regions released/Release date (NTSC)(North America),21-Nov-12
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,Regions released/Release date (PAL)(Australasia),1-May-15
Amazon Video,Video on demand,Amazon,Amazon,Regions released/Release date (PAL)(Australasia),Unreleased
Animal Crossing Plaza,Sim,Nintendo EAD,Nintendo,Regions released/Release date (PAL)(Australasia),8-Aug-13
Art Academy: Home Studio,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (PAL)(Australasia),4-Jul-15
Art Academy: SketchPad,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (PAL)(Australasia),9-Aug-13
Bandai Channel,Video on demand,Bandai Channel,Namco Bandai,Regions released/Release date (PAL)(Australasia),Unreleased
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,Regions released/Release date (PAL)(Australasia),Unreleased
Demae-can,Miscellaneous,"Yume no Machi Souzou Iinkai Co., Ltd.","Yume no Machi Souzou Iinkai Co., Ltd.",Regions released/Release date (PAL)(Australasia),Unreleased
Hulu Plus HuluJP,Video on demand,Hulu,Hulu,Regions released/Release date (PAL)(Australasia),Unreleased
LoveFilm,Video on demand,LoveFilm,LoveFilm,Regions released/Release date (PAL)(Australasia),Unreleased
Napster,Music streaming,Napster,Nintendo,Regions released/Release date (PAL)(Australasia),Unreleased
Netflix,Video on demand,Netflix,Netflix,Regions released/Release date (PAL)(Australasia),30-Nov-12
Nico Nico,Video on demand,Niwango,Dwango,Regions released/Release date (PAL)(Australasia),Unreleased
Rhapsody: Music & Radio,Music streaming,Rhapsody Team,Rhapsody Team,Regions released/Release date (PAL)(Australasia),Unreleased
SDK Paint,Paint,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (PAL)(Australasia),Unreleased
SDK Spriter,Edutainment,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (PAL)(Australasia),Unreleased
Sense by Play.me,"Music streaming, internet radio",d-mobilelab,d-mobilelab,Regions released/Release date (PAL)(Australasia),Unreleased
Uplay,Loyalty program,Ubisoft,Ubisoft,Regions released/Release date (PAL)(Australasia),Unreleased
WatchUp: You're Daily News Cast,News,Watchup,Watchup,Regions released/Release date (PAL)(Australasia),Unreleased
Wii Karaoke U,Karaoke,Tose,Nintendo,Regions released/Release date (PAL)(Australasia),Unreleased
Wii Street U,"Map, street view","Google, Nintendo Software Technology",Nintendo,Regions released/Release date (PAL)(Australasia),14-Feb-13
Wii U Panorama View,Panoramic video,Nintendo,Nintendo,Regions released/Release date (PAL)(Australasia),27-Apr-13
YNN,Digital distribution,Yoshimoto Kogyo,Yoshimoto Kogyo,Regions released/Release date (PAL)(Australasia),Unreleased
YouTube,Video on demand,YouTube,Google,Regions released/Release date (PAL)(Australasia),30-Nov-12
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,Regions released/Release date (PAL)(Europe),30-Apr-15
Amazon Video,Video on demand,Amazon,Amazon,Regions released/Release date (PAL)(Europe),Unreleased
Animal Crossing Plaza,Sim,Nintendo EAD,Nintendo,Regions released/Release date (PAL)(Europe),8-Aug-13
Art Academy: Home Studio,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (PAL)(Europe),26-Jun-15
Art Academy: SketchPad,Art,"Headstrong Games, Nintendo SPD",Nintendo,Regions released/Release date (PAL)(Europe),9-Aug-13
Bandai Channel,Video on demand,Bandai Channel,Namco Bandai,Regions released/Release date (PAL)(Europe),Unreleased
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,Regions released/Release date (PAL)(Europe),5-Jan-15
Demae-can,Miscellaneous,"Yume no Machi Souzou Iinkai Co., Ltd.","Yume no Machi Souzou Iinkai Co., Ltd.",Regions released/Release date (PAL)(Europe),Unreleased
Hulu Plus HuluJP,Video on demand,Hulu,Hulu,Regions released/Release date (PAL)(Europe),Unreleased
LoveFilm,Video on demand,LoveFilm,LoveFilm,Regions released/Release date (PAL)(Europe),30-Nov-12
