University (in alphabetical order),var,value
Brown,ARWU (2014),43
Columbia,ARWU (2014),7
Cornell,ARWU (2014),11
Dartmouth,ARWU (2014),78–104
Harvard,ARWU (2014),1
Penn,ARWU (2014),14
Princeton,ARWU (2014),5
Yale,ARWU (2014),9
Brown,Forbes (2016),8
Columbia,Forbes (2016),16
Cornell,Forbes (2016),29
Dartmouth,Forbes (2016),17
Harvard,Forbes (2016),4
Penn,Forbes (2016),11
Princeton,Forbes (2016),3
Yale,Forbes (2016),6
Brown,USNWR (2014),16
Columbia,USNWR (2014),4
Cornell,USNWR (2014),15
Dartmouth,USNWR (2014),11
Harvard,USNWR (2014),2
Penn,USNWR (2014),8
Princeton,USNWR (2014),1
Yale,USNWR (2014),3
Brown,Washington Monthly (2014),113
Columbia,Washington Monthly (2014),51
Cornell,Washington Monthly (2014),39
Dartmouth,Washington Monthly (2014),54
Harvard,Washington Monthly (2014),10
Penn,Washington Monthly (2014),41
Princeton,Washington Monthly (2014),27
Yale,Washington Monthly (2014),57
