Place,1949,1950,1951,1952,1953
1,Bob Hope,John Wayne,John Wayne,Martin & Lewis,Gary Cooper
2,Bing Crosby,Bob Hope,Martin & Lewis,Gary Cooper,Martin & Lewis
3,Abbott & Costello,Bing Crosby,Betty Grable,John Wayne,John Wayne
4,John Wayne,Betty Grable,Abbott & Costello,Bing Crosby,Alan Ladd
5,Gary Cooper,James Stewart,Bing Crosby,Bob Hope,Gary Cooper
6,Cary Grant,Abbott & Costello,Bob Hope,James Stewart,Marlon Brando
7,Betty Grable,Clifton Webb,Randolph Scott,Doris Day,Martin & Lewis
8,Esther Williams,Esther Williams,Gary Cooper,Gregory Peck,Humphrey Bogart
9,Humphrey Bogart,Spencer Tracy,Doris Day,Susan Hayward,June Allyson
10,Clark Gable,Randolph Scott,Spencer Tracy,Randolph Scott,Clark Gable
