Place,var,value
1,1949,Bob Hope
2,1949,Bing Crosby
3,1949,Abbott & Costello
4,1949,John Wayne
5,1949,Gary Cooper
6,1949,Cary Grant
7,1949,Betty Grable
8,1949,Esther Williams
9,1949,Humphrey Bogart
10,1949,Clark Gable
1,1950,John Wayne
2,1950,Bob Hope
3,1950,Bing Crosby
4,1950,Betty Grable
5,1950,James Stewart
6,1950,Abbott & Costello
7,1950,Clifton Webb
8,1950,Esther Williams
9,1950,Spencer Tracy
10,1950,Randolph Scott
1,1951,John Wayne
2,1951,Martin & Lewis
3,1951,Betty Grable
4,1951,Abbott & Costello
5,1951,Bing Crosby
6,1951,Bob Hope
7,1951,Randolph Scott
8,1951,Gary Cooper
9,1951,Doris Day
10,1951,Spencer Tracy
1,1952,Martin & Lewis
2,1952,Gary Cooper
3,1952,John Wayne
4,1952,Bing Crosby
5,1952,Bob Hope
6,1952,James Stewart
7,1952,Doris Day
8,1952,Gregory Peck
9,1952,Susan Hayward
10,1952,Randolph Scott
1,1953,Gary Cooper
2,1953,Martin & Lewis
3,1953,John Wayne
4,1953,Alan Ladd
5,1953,Gary Cooper
6,1953,Marlon Brando
7,1953,Martin & Lewis
8,1953,Humphrey Bogart
9,1953,June Allyson
10,1953,Clark Gable
