No.,President,var,value
1,George Washington,R-McI 1996,3
2,John Adams,R-McI 1996,14
3,Thomas Jefferson,R-McI 1996,4
4,James Madison,R-McI 1996,10
5,James Monroe,R-McI 1996,13
6,John Quincy Adams,R-McI 1996,18
7,Andrew Jackson,R-McI 1996,8
8,Martin Van Buren,R-McI 1996,21
9,William Henry Harrison,R-McI 1996,35
10,John Tyler,R-McI 1996,34
11,James K. Polk,R-McI 1996,11
12,Zachary Taylor,R-McI 1996,29
13,Millard Fillmore,R-McI 1996,36
14,Franklin Pierce,R-McI 1996,37
15,James Buchanan,R-McI 1996,40
16,Abraham Lincoln,R-McI 1996,1
17,Andrew Johnson,R-McI 1996,39
18,Ulysses S. Grant,R-McI 1996,38
19,Rutherford B. Hayes,R-McI 1996,25
20,James A. Garfield,R-McI 1996,30
21,Chester A. Arthur,R-McI 1996,28
22,Grover Cleveland,R-McI 1996,16
23,Benjamin Harrison,R-McI 1996,31
25,William McKinley,R-McI 1996,17
26,Theodore Roosevelt,R-McI 1996,5
27,William Howard Taft,R-McI 1996,20
28,Woodrow Wilson,R-McI 1996,6
29,Warren G. Harding,R-McI 1996,41
30,Calvin Coolidge,R-McI 1996,33
31,Herbert Hoover,R-McI 1996,24
32,Franklin D. Roosevelt,R-McI 1996,2
33,Harry S. Truman,R-McI 1996,7
34,Dwight D. Eisenhower,R-McI 1996,9
35,John F. Kennedy,R-McI 1996,15
36,Lyndon B. Johnson,R-McI 1996,12
37,Richard M. Nixon,R-McI 1996,32
38,Gerald R. Ford,R-McI 1996,27
39,Jimmy Carter,R-McI 1996,19
40,Ronald Reagan,R-McI 1996,26
41,George H. W. Bush,R-McI 1996,22
42,Bill Clinton,R-McI 1996,23 *
43,George W. Bush,R-McI 1996,-
44,Barack Obama,R-McI 1996,-
45,Donald Trump,R-McI 1996,-
1,George Washington,Schl. 1996,2
2,John Adams,Schl. 1996,11
3,Thomas Jefferson,Schl. 1996,4
4,James Madison,Schl. 1996,17
5,James Monroe,Schl. 1996,15
6,John Quincy Adams,Schl. 1996,18
7,Andrew Jackson,Schl. 1996,5
8,Martin Van Buren,Schl. 1996,21
9,William Henry Harrison,Schl. 1996,-
10,John Tyler,Schl. 1996,32
11,James K. Polk,Schl. 1996,9
12,Zachary Taylor,Schl. 1996,29
13,Millard Fillmore,Schl. 1996,31
14,Franklin Pierce,Schl. 1996,33
15,James Buchanan,Schl. 1996,38
16,Abraham Lincoln,Schl. 1996,1
17,Andrew Johnson,Schl. 1996,37
18,Ulysses S. Grant,Schl. 1996,34
19,Rutherford B. Hayes,Schl. 1996,23
20,James A. Garfield,Schl. 1996,-
21,Chester A. Arthur,Schl. 1996,26
22,Grover Cleveland,Schl. 1996,13
23,Benjamin Harrison,Schl. 1996,19
25,William McKinley,Schl. 1996,16
26,Theodore Roosevelt,Schl. 1996,6
27,William Howard Taft,Schl. 1996,22
28,Woodrow Wilson,Schl. 1996,7
29,Warren G. Harding,Schl. 1996,39
30,Calvin Coolidge,Schl. 1996,30
31,Herbert Hoover,Schl. 1996,35
32,Franklin D. Roosevelt,Schl. 1996,3
33,Harry S. Truman,Schl. 1996,8
34,Dwight D. Eisenhower,Schl. 1996,10
35,John F. Kennedy,Schl. 1996,12
