Year,var,value
1969,September,Evelyn Treacher
1970,September,Tina McDowall
1971,September,Maureen Renzen
1972,September,Isobel Garcia Orobiyi
1973,September,Anneka De Lorenzo
1974,September,Janice Kane
1975,September,Michelle Stevens
1976,September,Dawn Shaw
1977,September,Lucia St. Angelo
1978,September,Kate Simmons
1979,September,Joanne Latham
1980,September,Delia Cosner
1981,September,Cynthia Peterson
1982,September,Lee Ann Lee
1983,September,Rachel Wesley
1984,September,Traci Lords
1985,September,Christine Dupre
1986,September,Ginger Miller
1987,September,Stephanie Page
1988,September,Twyla Martak
1989,September,Lynn Johnson
1990,September,Linda Johansen
1991,September,Sasha Vinni
1992,September,Seana Ryan
1993,September,Andi Sue Irwin
1994,September,Leigh Anderson
1995,September,Ashley Williams
1996,September,Tania Russof
1997,September,Rocki Roads
1998,September,Tamara
1999,September,Alexa Lauren
2000,September,Aria Giovanni
2001,September,Stephanie Wood
2002,September,Jassie Lewis
2003,September,Chantelle Fontain
2004,September,Ginger Jolie
2005,September,Gina Austin
2006,September,Michelle Ramos
2007,September,Justine Joli
2008,September,Kayden Kross
2009,September,Taylor Vixen
2010,September,Isis Taylor
2011,September,Emily Addison
2012,September,Ainsley Addison
2013,September,Capri Cavanni
2014,September,Jessi June
2015,September,Jenna Reid
2016,September,Misty Lovelace
2017,September,
1969,October,Kelly McQueen
1970,October,Heide Mann
1971,October,Helen Caunt
1972,October,Janet Dunphy
1973,October,Francis Canon
1974,October,Laura Bennett Doone
1975,October,Anne Peters
1976,October,Susanne Saxon
1977,October,Cynthia Gaynor
1978,October,Veronique de Valdene
1979,October,Tammy Hill
1980,October,Kristen Knutsen
1981,October,Connie Lynn Hadden
1982,October,Laurie L'Oranger
1983,October,Nadine Greenlaw
1984,October,Marie Ehlman
1985,October,Jennifer James
1986,October,Janna Adams
1987,October,Terri Lenee Peake
1988,October,Tami Hogen
1989,October,Diana Van Gils
1990,October,Kelly Jackson
1991,October,Pamela Peters
1992,October,Chanel
1993,October,Stacy Moran
1994,October,Heidi Lynne
1995,October,Shandra Leigh
1996,October,Lisa Gayle
1997,October,Mason Marconi
1998,October,Silvia Saint
1999,October,Devinn Lane
2000,October,Linn Thomas
2001,October,Teanna Kai
2002,October,Monique Hajkova
2003,October,none
2004,October,Prinzzess
2005,October,Melissa Jacobs
2006,October,Kimberley Rogers
2007,October,Lux Kassidy
2008,October,Justene Jaro
2009,October,Ryan Keely
2010,October,Nina James
2011,October,Jenna Rose
2012,October,Samantha Saint
2013,October,Kortney Kane
2014,October,Aidra Fox
2015,October,Anna Lee
2016,October,Mia Malkova
2017,October,
1969,November,Ulla Lindstrom
1970,November,Franca Petrov
1971,November,Lynette Asquith
1972,November,Angela Adams
1973,November,Debbie Griffin
1974,November,Sharon Longworth
1975,November,Bonnie Dee Wilson
1976,November,Carolyn Patsis
1977,November,Debora Zullo
1978,November,Malia Redford
1979,November,Danielle Ginibre
1980,November,Betsy Dobson
1981,November,Terry Armstrong
1982,November,Nicole Monrowe
1983,November,Lale Hansen
1984,November,Mindy Farrar
1985,November,Carina Ragnarsson
1986,November,Beth Snyder
1987,November,Lisa Bradford
1988,November,Deborah Laufer
1989,November,Mikki Brenner
1990,November,Barbie Ashton
1991,November,Shannon Williams
1992,November,Alexis Christian
1993,November,Melissa McGlathery
1994,November,Veronica Gillespie
1995,November,Veronica Sage
1996,November,Samantha Michaels
1997,November,Alexus Winston
1998,November,Melissa Ann
1999,November,K.C. Tyler
2000,November,Mercedes Lynn
2001,November,Melissa Starr
2002,November,Natalia Cruze
2003,November,Anais Alexander
2004,November,Peach
2005,November,Renee Diaz
2006,November,Brea Lynn
2007,November,Jaime Hammer
2008,November,Audrey Bitoni
2009,November,Yumi Kai
2010,November,Phoenix Marie
2011,November,Malena Morgan
2012,November,Adrianna Luna
2013,November,Valentina Nappi
2014,November,Ariana Marie
2015,November,Bailey Rayne
2016,November,Mary Moody
2017,November,
1969,December,Janet Pearce
1970,December,Jennifer Furse
1971,December,Lynn Partington
1972,December,Lynn Carey
1973,December,Sandy Robertson
1974,December,Cathy Green
1975,December,Susan Waide
1976,December,Adrian King
1977,December,Cheryl Rixon
1978,December,Amber Ramsey
1979,December,Judi Gibbs
1980,December,Ava Monet
