var,value
Tanakh (Jewish Bible) (24 books) ,Torah
Tanakh (Jewish Bible) (24 books) ,Bereishit
Tanakh (Jewish Bible) (24 books) ,Shemot
Tanakh (Jewish Bible) (24 books) ,Vayikra
Tanakh (Jewish Bible) (24 books) ,Bamidbar
Tanakh (Jewish Bible) (24 books) ,Devarim
Tanakh (Jewish Bible) (24 books) ,Nevi'im (Prophets)
Tanakh (Jewish Bible) (24 books) ,Yehoshua
Tanakh (Jewish Bible) (24 books) ,Shofetim
Tanakh (Jewish Bible) (24 books) ,Rut (Ruth)
Tanakh (Jewish Bible) (24 books) ,Shemuel
Tanakh (Jewish Bible) (24 books) ,Shemuel
Tanakh (Jewish Bible) (24 books) ,Melakhim
Tanakh (Jewish Bible) (24 books) ,Melakhim
Tanakh (Jewish Bible) (24 books) ,Divrei Hayamim (Chronicles)
Tanakh (Jewish Bible) (24 books) ,Divrei Hayamim (Chronicles)
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Ezra-Nehemiah
Tanakh (Jewish Bible) (24 books) ,Ezra-Nehemiah
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Esther
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Ketuvim (Writings)
Tanakh (Jewish Bible) (24 books) ,Iyov (Job)
Tanakh (Jewish Bible) (24 books) ,Tehillim (Psalms)
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Mishlei (Proverbs)
Tanakh (Jewish Bible) (24 books) ,Qoheleth (Ecclesiastes)
Tanakh (Jewish Bible) (24 books) ,Shir Hashirim (Song of Songs)
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Nevi'im (Latter Prophets)
Tanakh (Jewish Bible) (24 books) ,Yeshayahu
Tanakh (Jewish Bible) (24 books) ,Yirmeyahu
Tanakh (Jewish Bible) (24 books) ,Eikhah (Lamentations)
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,
Tanakh (Jewish Bible) (24 books) ,Yekhezqel
Tanakh (Jewish Bible) (24 books) ,Daniel
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Tanakh (Jewish Bible) (24 books) ,The Twelve or Trei Asar
Protestant Old Testament (39 books),Pentateuch or the Five Books of Moses
Protestant Old Testament (39 books),Genesis
Protestant Old Testament (39 books),Exodus
Protestant Old Testament (39 books),Leviticus
Protestant Old Testament (39 books),Numbers
Protestant Old Testament (39 books),Deuteronomy
Protestant Old Testament (39 books),Historical books
Protestant Old Testament (39 books),Joshua
Protestant Old Testament (39 books),Judges
Protestant Old Testament (39 books),Ruth
Protestant Old Testament (39 books),1 Samuel
Protestant Old Testament (39 books),2 Samuel
Protestant Old Testament (39 books),1 Kings
Protestant Old Testament (39 books),2 Kings
Protestant Old Testament (39 books),1 Chronicles
Protestant Old Testament (39 books),2 Chronicles
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),Ezra
Protestant Old Testament (39 books),Nehemiah
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),Esther
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),Wisdom books
Protestant Old Testament (39 books),Job
Protestant Old Testament (39 books),Psalms
Protestant Old Testament (39 books),
Protestant Old Testament (39 books),Proverbs
