Country,< $1.90,< $3.20,< $5.50,Year,Continent
 Albania,0.00%,1.20%,10.00%,2019,Europe
 Algeria,0.40%,3.70%,28.60%,2011,Africa
 Angola,49.90%,71.50%,88.50%,2018,Africa
 Argentina,1.60%,5.80%,18.20%,2020,South America
 Armenia,0.40%,6.90%,44.70%,2020,Asia
 Australia,0.50%,0.70%,0.70%,2018,Oceania
 Austria,0.60%,0.70%,0.80%,2019,Europe
 Azerbaijan,0.00%,0.00%,7.00%,2005,Asia
 Bangladesh,14.30%,52.30%,84.20%,2016,Asia
 Belarus,0.00%,0.00%,0.10%,2020,Europe
 Belgium,0.10%,0.10%,0.20%,2019,Europe
 Belize,13.90%,27.70%,51.10%,1999,North America
 Benin,19.20%,51.30%,79.30%,2018,Africa
 Bhutan,1.50%,12.20%,38.90%,2017,Asia
 Bolivia,4.40%,9.00%,21.60%,2020,South America
 Bosnia and Herzegovina,0.10%,0.70%,3.80%,2011,Europe
 Botswana,14.50%,36.50%,59.10%,2015,Africa
 Brazil,1.70%,4.30%,13.10%,2020,South America
 Bulgaria,0.90%,2.60%,6.20%,2019,Europe
 Burkina Faso,33.70%,61.80%,80.00%,2018,Africa
 Burundi,72.80%,89.60%,96.90%,2013,Africa
 Cameroon,26.00%,47.00%,71.00%,2014,Africa
 Canada,0.20%,0.50%,0.70%,2017,North America
 Cape Verde,3.40%,15.40%,41.30%,2015,Africa
 Central African Republic,65.90%,82.90%,92.80%,2008,Africa
 Chad,33.20%,66.40%,87.90%,2018,Africa
 Chile,0.70%,1.40%,4.40%,2020,South America
 China,0.10%,1.70%,15.80%,2019,Asia
 Colombia,10.30%,19.90%,38.30%,2020,South America
 Comoros,19.10%,39.70%,64.60%,2014,Africa
" Congo, Democratic Republic of the",77.20%,91.40%,97.90%,2012,Africa
" Congo, Republic of the",39.60%,64.10%,83.90%,2011,Africa
 Costa Rica,2.10%,5.70%,16.10%,2020,North America
 Croatia,0.30%,0.60%,1.80%,2019,Europe
 Cyprus,0.20%,0.20%,0.30%,2019,Asia
 Czech Republic,0.00%,0.00%,0.30%,2019,Europe
 Denmark,0.30%,0.30%,0.40%,2019,Europe
 Djibouti,17.00%,39.80%,70.20%,2017,Africa
 Dominican Republic,0.80%,4.00%,15.20%,2020,North America
 East Timor,22.00%,65.90%,91.80%,2014,Asia
 Ecuador,6.50%,14.20%,30.60%,2020,South America
 Egypt,3.80%,28.90%,72.60%,2017,Africa
 El Salvador,1.30%,5.70%,22.30%,2019,North America
 Estonia,0.50%,0.80%,1.30%,2019,Europe
 Eswatini,29.20%,52.10%,72.00%,2016,Africa
 Ethiopia,30.80%,68.90%,90.20%,2015,Africa
 Fiji,2.60%,17.80%,55.50%,2019,Oceania
 Finland,0.00%,0.10%,0.10%,2019,Europe
 France,0.00%,0.10%,0.10%,2018,Europe
 Gabon,3.40%,11.20%,32.20%,2017,Africa
" Gambia, The",10.30%,38.40%,72.70%,2015,Africa
 Georgia,4.20%,17.00%,46.60%,2020,Europe
 Germany,0.00%,0.20%,0.20%,2018,Europe
 Ghana,12.70%,29.30%,55.10%,2016,Africa
 Greece,0.70%,1.30%,3.40%,2019,Europe
 Guatemala,8.80%,24.40%,49.10%,2014,North America
 Guinea,23.20%,60.40%,89.80%,2018,Africa
 Guinea-Bissau,24.70%,59.50%,86.00%,2018,Africa
 Guyana,11.80%,24.00%,51.00%,1998,South America
 Haiti,24.50%,50.30%,78.60%,2012,North America
 Honduras,14.80%,29.00%,49.00%,2019,North America
 Hungary,0.30%,0.70%,1.80%,2019,Europe
 Iceland,0.00%,0.00%,0.00%,2017,Europe
 India,5.50%,26.20%,60.50%,2021,Asia
 Indonesia,2.30%,18.80%,50.90%,2020,Asia
 Iran,0.60%,4.30%,17.80%,2019,Asia
 Iraq,1.70%,14.80%,52.40%,2012,Asia
 Ireland,0.00%,0.10%,0.10%,2018,Europe
 Israel,0.20%,1.00%,2.00%,2018,Asia
 Italy,1.50%,2.10%,2.90%,2018,Europe
 Ivory Coast,19.20%,34.90%,67.40%,2018,Africa
 Jamaica,1.70%,8.80%,29.20%,2004,North America
 Japan,0.70%,0.90%,1.20%,2013,Asia
 Jordan,0.10%,2.00%,17.50%,2010,Asia
 Kazakhstan,0.00%,0.20%,4.60%,2018,Asia
 Kenya,37.10%,66.50%,86.60%,2015,Africa
 Kiribati,1.30%,16.20%,58.50%,2019,Oceania
" Korea, South",0.20%,0.20%,0.70%,2016,Asia
 Kosovo,0.40%,3.60%,24.40%,2017,Europe
 Kyrgyzstan,1.10%,16.20%,58.10%,2020,Asia
 Laos,10.00%,37.40%,70.40%,2018,Asia
 Latvia,0.20%,0.70%,2.00%,2019,Europe
 Lebanon,0.00%,0.10%,1.70%,2011,Asia
 Lesotho,27.20%,49.90%,73.20%,2017,Africa
 Liberia,44.40%,75.60%,93.20%,2016,Africa
 Lithuania,0.50%,0.70%,1.40%,2019,Europe
 Luxembourg,0.10%,0.10%,0.30%,2019,Europe
 Madagascar,78.80%,91.50%,97.50%,2012,Africa
 Malawi,73.50%,90.40%,97.10%,2019,Africa
 Malaysia,0.00%,0.30%,2.90%,2015,Asia
 Maldives,0.00%,0.00%,1.70%,2019,Asia
 Mali,16.30%,49.50%,77.80%,2018,Africa
 Malta,0.30%,0.40%,0.70%,2019,Europe
 Marshall Islands,0.80%,5.20%,22.50%,2019,Oceania
 Mauritania,6.00%,24.10%,58.80%,2014,Africa
 Mauritius,0.20%,2.20%,12.70%,2017,Africa
 Mexico,3.10%,9.80%,28.10%,2020,North America
 Micronesia,15.40%,38.70%,69.10%,2013,Oceania
 Moldova,0.00%,0.50%,13.30%,2019,Europe
 Mongolia,0.50%,5.00%,27.10%,2018,Asia
 Montenegro,2.90%,6.40%,16.80%,2018,Europe
 Morocco,0.90%,7.30%,30.20%,2013,Africa
 Mozambique,63.70%,82.40%,92.20%,2014,Africa
 Myanmar,1.40%,15.00%,54.30%,2017,Asia
 Namibia,13.80%,30.30%,51.00%,2015,Africa
   Nepal,15.00%,50.80%,83.00%,2010,Asia
 Netherlands,0.10%,0.10%,0.30%,2019,Europe
 Nicaragua,3.40%,13.10%,35.40%,2014,North America
 Niger,41.40%,75.20%,91.80%,2018,Africa
 Nigeria,39.10%,71.00%,92.00%,2018,Africa
 North Macedonia,3.40%,7.10%,17.90%,2018,Europe
 Norway,0.20%,0.20%,0.30%,2019,Europe
 Pakistan,3.60%,34.40%,77.60%,2018,Asia
 Palestine,0.80%,4.50%,21.90%,2016,Asia
 Panama,1.20%,4.60%,12.10%,2019,North America
 Papua New Guinea,38.00%,65.60%,86.90%,2009,Oceania
 Paraguay,0.80%,4.70%,17.90%,2020,South America
 Peru,4.40%,14.10%,32.90%,2020,South America
 Philippines,2.70%,17.00%,46.90%,2018,Asia
 Poland,0.20%,0.40%,1.10%,2018,Europe
 Portugal,0.10%,0.20%,0.90%,2019,Europe
 Romania,2.00%,4.10%,9.20%,2019,Europe
 Russia,0.10%,0.40%,2.10%,2018,"Asia, Europe"
 Rwanda,56.50%,80.30%,91.90%,2016,Africa
 Saint Lucia,4.60%,10.20%,19.90%,2016,North America
 Samoa,1.10%,9.60%,33.90%,2013,Oceania
 São Tomé and Príncipe,25.60%,57.00%,82.90%,2017,Africa
 Senegal,7.60%,34.00%,66.80%,2018,Africa
 Serbia,2.30%,4.00%,10.10%,2019,Europe
 Seychelles,0.50%,1.10%,5.20%,2018,Africa
 Sierra Leone,43.00%,76.00%,92.70%,2018,Africa
 Slovakia,0.10%,0.40%,1.30%,2019,Europe
 Slovenia,0.00%,0.00%,0.10%,2019,Europe
 Solomon Islands,24.70%,58.10%,84.50%,2012,Oceania
 Somalia,68.60%,88.90%,97.90%,2017,Africa
 South Africa,18.70%,37.30%,56.90%,2014,Africa
 South Sudan,76.50%,91.70%,97.80%,2016,Africa
 Spain,0.80%,1.20%,2.50%,2019,Europe
 Sri Lanka,0.90%,11.00%,42.00%,2016,Asia
 Sudan,12.20%,44.00%,79.30%,2014,Africa
 Suriname,21.10%,34.20%,48.20%,1999,South America
 Sweden,0.30%,0.40%,0.60%,2019,Europe
  Switzerland,0.00%,0.00%,0.10%,2018,Europe
 Syria,0.90%,10.20%,40.10%,2003,Asia
 Tajikistan,4.10%,17.80%,50.50%,2015,Asia
 Tanzania,49.40%,76.80%,91.80%,2018,Africa
 Thailand,0.00%,0.30%,6.40%,2020,Asia
 Togo,24.10%,51.80%,78.00%,2018,Africa
 Tonga,1.00%,7.50%,27.50%,2015,Asia
 Trinidad and Tobago,3.20%,12.50%,31.90%,1992,South America
 Tunisia,0.20%,3.00%,17.50%,2015,Africa
 Turkey,0.40%,2.20%,10.20%,2019,"Asia, Europe"
 Turkmenistan,49.80%,75.40%,91.70%,1998,Asia
 Tuvalu,3.30%,17.60%,46.70%,2010,Oceania
 Uganda,41.00%,70.50%,89.00%,2019,Africa
