Year,Album details,Certifications,var,value
1972,Whole Oats,,US,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],US,33
1974,War Babies,,US,86
1975,Daryl Hall & John Oates,RIAA: Gold[8],US,17
1976,Bigger Than Both of Us,RIAA: Gold[8],US,13
1977,Beauty on a Back Street,RIAA: Gold[8],US,30
1978,Along the Red Ledge,RIAA: Gold[8],US,27
1979,X-Static,,US,33
1980,Voices,RIAA: Platinum[8],US,17
1981,Private Eyes,RIAA: Platinum[8],US,5
1982,H2O,RIAA: 2× Platinum[8],US,3
1984,Big Bam Boom,RIAA: 2× Platinum[8],US,5
1988,Ooh Yeah!,RIAA: Platinum[8],US,24
1990,Change of Season,RIAA: Gold[8],US,60
1997,Marigold Sky,,US,95
2003,Do It for Love,,US,77
2004,Our Kind of Soul,,US,69
2006,Home for Christmas,,US,—
1972,Whole Oats,,USR&B,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],USR&B,—
1974,War Babies,,USR&B,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],USR&B,50
1976,Bigger Than Both of Us,RIAA: Gold[8],USR&B,33
1977,Beauty on a Back Street,RIAA: Gold[8],USR&B,—
1978,Along the Red Ledge,RIAA: Gold[8],USR&B,—
1979,X-Static,,USR&B,—
1980,Voices,RIAA: Platinum[8],USR&B,—
1981,Private Eyes,RIAA: Platinum[8],USR&B,11
1982,H2O,RIAA: 2× Platinum[8],USR&B,8
1984,Big Bam Boom,RIAA: 2× Platinum[8],USR&B,25
1988,Ooh Yeah!,RIAA: Platinum[8],USR&B,30
1990,Change of Season,RIAA: Gold[8],USR&B,—
1997,Marigold Sky,,USR&B,—
2003,Do It for Love,,USR&B,—
2004,Our Kind of Soul,,USR&B,71
2006,Home for Christmas,,USR&B,—
1972,Whole Oats,,AUS,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],AUS,—
1974,War Babies,,AUS,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],AUS,—
1976,Bigger Than Both of Us,RIAA: Gold[8],AUS,23
1977,Beauty on a Back Street,RIAA: Gold[8],AUS,60
1978,Along the Red Ledge,RIAA: Gold[8],AUS,69
1979,X-Static,,AUS,74
