Business School,University,"Location (State, City)",var,value
A. Gary Anderson Graduate School of Management,University of California Riverside,"California, Riverside",USN 2023,89
Argyros School of Business and Economics,Chapman University,"California, Orange",USN 2023,72
Atkinson Graduate School of Management,Willamette University,"Oregon, Salem",USN 2023,102-134
Babcock Graduate School of Management,Wake Forest University,"North Carolina, Winston-Salem",USN 2023,NR
Bauer College of Business,University of Houston,"Texas, Houston",USN 2023,85
Bennett S. LeBow College of Business,Drexel University,"Pennsylvania, Philadelphia",USN 2023,NR
Binghamton University School of Management,Binghamton University,"New York, Binghamton",USN 2023,102-134
Booth School of Business,University of Chicago,"Illinois, Chicago",USN 2023,1
Brandeis International Business School,Brandeis University,"Massachusetts, Waltham",USN 2023,102-134
Busch School of Business and Economics,Catholic University of America,"Washington, DC",USN 2023,NR
Carl H. Lindner College of Business,University of Cincinnati,"Ohio, Cincinnati",USN 2023,89
Carlson School of Management,University of Minnesota,"Minnesota, Minneapolis",USN 2023,33
Carroll School of Management,Boston College,"Massachusetts, Chestnut Hill",USN 2023,41
Raymond J. Harbert College of Business,Auburn University,"Alabama, Auburn",USN 2023,80
Charlton College of Business,University of Massachusetts Dartmouth,"Massachusetts, Dartmouth",USN 2023,NR
Columbia Business School,Columbia University,"New York, New York City",USN 2023,8
Cox School of Business,Southern Methodist University,"Texas, Dallas",USN 2023,41
Crummer Graduate School of Business,Rollins College,"Florida, Winter Park",USN 2023,102-134
Manderson Graduate School of Business,University of Alabama,"Alabama, Tuscaloosa",USN 2023,57
Daniels College of Business,University of Denver,"Denver, Colorado",USN 2023,71
Darden Graduate School of Business Administration,University of Virginia,"Virginia, Charlottesville",USN 2023,14
David Eccles School of Business,University of Utah,"Utah, Salt Lake City",USN 2023,40
E. J. Ourso College of Business,Louisiana State University,"Louisiana, Baton Rouge",USN 2023,89
E. Philip Saunders College of Business,Rochester Institute of Technology,"New York, Henrietta",USN 2023,102-134
Eli Broad College of Business,Michigan State University,"Michigan, East Lansing",USN 2023,36
