"Product Code
nieuw",VPE,Opmerking,Omschrijving 2,MOQ,EAN code,Omschrijving 1,Bruto systeemprijs
Cable knives,,,,,,,
70000,,,Cable Knife System 4-70,,4011391700000.0,"Jokari Kabelmes System 4-70, incl. beugel 8-28mm",63.3
79016,,,Cable bracket No. 16,,4011391790162.0,"Jokari Wisselbeugel 4 - 16mm O, systeem 4-70",14.65
79028,,,Cable bracket No. 28,,4011391790285.0,"Jokari Wisselbeugel 8 - 28mm O, systeem 4-70",14.65
79035,,,Cable bracket No. 35,,4011391790353.0,"Jokari Wisselbeugel 27 - 35mm O, systeem 4-70",16.75
79050,,,Cable bracket No. 50,,4011391790506.0,"Jokari Wisselbeugel 35 - 50mm O, systeem 4-70",16.75
79070,,,Cable bracket No. 70,,4011391790704.0,"Jokari Wisselbeugel 50-70mm O, systeem 4-70",19.7
79055,,,Spare hook blade 4-70,,,,11.7
Cable knives Secura,,,,,,,
10160,,,0,,4011391101609.0,Jokari Kabelmes Secura Nr. 16,14.3
10270,,,No. 27,,4011391102705.0,Jokari Kabelmes Secura Nr. 27,14.3
10280,,,No. 28H,,4011391102804.0,Jokari Kabelmes Secura Nr. 28H,15.25
10281,,,No. 28G,,4011391102811.0,Jokari Kabelmes Secura Nr. 28G,15.25
Cable knives Standard,,,,,,,
10162,,,0,,4011391101623.0,Jokari Kabelmes Standaard Nr. 16,12.25
10272,,,No. 27 ,,4011391102729.0,Jokari Kabelmes Standaard Nr. 27,12.25
10271,,,No. 27ISO,,4011391102712.0,Jokari Kabelmes Nr. 27 ISO,19.65
10282,,,No. 28H ,,4011391102828.0,Jokari Kabelmes Standaard Nr. 28H,12.8
10285,,,No. 28G ,,4011391102859.0,Jokari Kabelmes Standaard Nr. 28G,12.8
10350,,,No. 35 ,,4011391103504.0,Jokari Kabelmes Nr. 35,25.55
10355,,,No. 35P,,4011391103559.0,Jokari Kabelmes Nr. 35P,67.95
10500,,,No. 50 ,,4011391105003.0,Jokari Kabelmes Nr. 50,31.5
10700,,,No. 70,,4011391107007.0,Jokari Kabelmes Nr. 70,38.5
19000,,,Spare Blade Set 3pcs.,,4011391190009.0,Attention new Jokari vervangmesje EM per 3 stuks,9.45
19001,,,Spare Blade ,,,Attention new Article No. (old 19000) ,3.15
Wire stripper,,,,,,,
20100,,,Secura 2K,,4011391201002.0,Jokari Draadstripper Secura Soft Grip,49.95
20050,,,Super 4 plus,,4011391200500.0,Jokari Draadstripper Super 4 plus,21.4
20450,,,High Strip,,4011391204506.0,Jokari High Strip,74.85000000000002
20060,,,Special,,4011391200609.0,Jokari Draadstripper Special,68.60000000000001
20070,,,AS-Interface Special,,4011391200708.0,Jokari AS-Interface Special Set,113.0
20090,,,6-16,,4011391200906.0,Jokari Draadstripper 6-16,80.7
20030,,,Flat-Cable-Stripper,,4011391200302.0,Jokari Draadstripper Fiat-cable-stripper,73.25
20220,,,Outlet Special 20,,4011391202207.0,Jokari Outlet Special 20,88.9
20255,,,Outlet Special 55,,4011391202559.0,Jokari Outlet Special 55,88.9
20300,,,Sensor Special,,4011391203006.0,Jokari Draadstripper Sensor Special,122.9
20310,,,Sensor Mini,,4001391203105.0,Jokari draad stripper Sensor Mini,122.9
Cable stripper,,,,,,,
30013,,,CAN-Strip,,4011391300132.0,Jokari Kabelstripper Can Strip,164.10000000000005
30110,,,Top Coax Plus,,4014915055921.0,Jokari Kabelstripper Top Coax Plus,
30120,,,No. 12 Universal,,4011391301207.0,Jokari Kabelstripper Universeel No. 12,22.05
30140,,,No. 14 Flatcable,,4011391301405.0,Jokari Kabelstripper Flatkabel No. 14,26.85
30155,,,Secura No. 15,,4011391301559.0,Jokari Kabelstripper Super Stripper Secura No. 15,37.05
30160,,,PC-Strip,,4011391301603.0,Jokari Kabelstripper PC-strip,44.85
30161,,,PC-CAT,,4011391301610.0,Jokari Kabelstripper PC-CAT,33.75
30180,,,"SE-Strip 1,5",,4011391301801.0,"Jokari Kabelstripper SE/Strip 1,5",38.55
30190,,,"SE-Strip 2,5-6",,4011391301900.0,"Jokari Kabelstripper SE-Strip 2,5-6",38.55
30200,,,SE-Strip 10/16,,4011391302006.0,Jokari Kabelstripper SE/Strip 10 16,38.55
30300,,,AS-Interface Strip,,4011391303003.0,Jokari Kabelstripper AS-Interface strip,45.7
30400,,,Uni-Plus,,0.0,Jokari Kabelstripper Uni-Plus,17.35
30500,,,No.1-Cat,,0.0,"Jokari Kabelstripper No-1, in toolbag",34.5
30600,,,Secura Coaxi No.1,,4011391306004.0,Jokari Kabelstripper Secura Coaxi No. 1,15.9
30700,,,Fibre Strip DC,,4011391307001.0,Jokari Kabelstripper Fibre Strip DC,28.20000000000001
