Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"Adelphi University, Garden City",,,,,
,0,0.0,,Garden City,0
Alfred University,,,,,
,Master of Fine Arts,1.0,,Alfred,0
Alverno College,,,,,
,1,2.0,,0,1
,Master of Science in Community Psychology,2.0,,0,1
,Master of Arts in Education,0.0,,0,1
,2,2.0,,0,1
American University,,,,,
,3,2.0,,1,2
,School of Communication,2.0,,1,2
,4,2.0,,1,2
,School of International Service,2.0,,1,2
,Kogod School of Business,2.0,,1,2
"Anderson University, Indiana",,,,,
,"School of Nursing, MS in Nursing",0.0,0,Anderson,3
Andrews University,,,,,
,Department of Physical Therapy,3.0,,Berrien Springs,4
"Arizona State University, Mesa",,,,,
,5,0.0,1,2,5
"Arizona State University, Phoenix",,,,,
,5,0.0,1,3,5
"Arizona State University, Tempe",,,,,
,5,0.0,1,Tempe,5
Arkansas State University,,,,,
,6,1.0,,Jonesboro,6
Arkansas Tech University,,,,,
,0,1.0,,Russellville,6
Assumption College,,,,,
,1,1.0,,4,7
"Auburn University, Auburn",,,,,
,7,0.0,,5,8
,6,0.0,,5,8
,Department of Communication and Journalism,0.0,,5,8
,8,0.0,,5,8
,Harrison School of Pharmacy,0.0,,5,8
"Auburn University, Montgomery",Masters of Real Estate Development,2.0,,5,8
,0,4.0,,Montgomery,8
Azusa Pacific University,,,,,
,School of Business & Management,5.0,,Azusa,9
Baldwin-Wallace College,,,,,
,1,1.0,,Berea,10
"Baruch College, City University of New York (CUNY)",,,,,
,Division of Continuing and Professional Studies,0.0,,6,0
,4,2.0,,6,0
,Zicklin School of Business,5.0,,6,0
Baylor College of Medicine,,,,,
,9,1.0,,7,11
Bellarmine University,,,,,
,W. Fielding Rubel School of Business,1.0,,8,12
Biola University,,,,,
,Applied Linguistics and TESOL,2.0,,La Mirada,9
Bloomfield College,,,,,
,Institute for Technology and Professional Studies,6.0,Bachelor of Science in Nursing (RN to BSN program),Bloomfield,13
Boise State University,,,,,
,Business Graduate Programs,0.0,,9,14
,10,0.0,,9,14
Boston College,,,,,
,Carroll School of Management,7.0,,10,7
,11,8.0,,10,7
,12,7.0,,10,7
Boston University,,,,,
,13,1.0,,11,7
,11,0.0,,11,7
,School of Management,2.0,,11,7
,14,0.0,,11,7
,15,0.0,(7.0 for TESOL),11,7
,16,0.0,,11,7
Brandeis University,,,,,
,11,2.0,,12,7
,Heller Graduate School (SID Program),0.0,,12,7
,SLIFKA Program in Intercommunal Coexistence,2.0,,12,7
,International Business School,2.0,,12,7
"Brigham Young University, Utah",,,,,
,Marriott School of Management,2.0,,Provo,15
Bryn Mawr College,,,,,
,11,2.0,,Bryn Mawr,16
"California Baptist University, Beaumont",,,,,
,17,0.0,,13,9
"California Baptist University, Chino",,,,,
,17,0.0,,Chino,9
"California Baptist University, Hesperia",,,,,
,17,0.0,,Hesperia,9
"California Baptist University, Riverside",,,,,
,17,0.0,,Riverside,9
"California Baptist University, San Bernardino",,,,,
,17,0.0,,San Bernardino,9
California Lutheran University,,,,,
,0,2.0,,Thousand Oaks,9
"California State University, Fullerton",,,,,
,Masters in TESOL,2.0,,14,9
,1,0.0,,14,9
,Master of Music,0.0,,14,9
Capella University (online),,,,,
,18,0.0,,15,17
Capital University,,,,,
,School of Management and Leadership,0.0,,16,10
,Graduate Nursing,0.0,,16,10
,1,0.0,,16,10
,Graduate Music,0.0,,16,10
Carnegie Mellon University,,,,,
,"Tepper School of Business, Master of Business Administration",,2,17,16
,19,2.0,,17,16
,Heinz College,5.0,,17,16
,Civil & Environmental Engineering,5.0,,17,16
,Department of Chemical Engineering,5.0,,17,16
,Master of Science in Computational Finance,,2,17,16
