Item #,Description,On Hand,Reg.,Special,Disc. %
Restricted Firearms,,,,,
J9A9F11,BERETTA 92A1 9MM,1.0,980.0,833.0,15.0
JS92F510,BERETTA 92FS INOX 9MM,1.0,1190.0,995.0,16.38999939
51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0,27.59000015
51808490,"BROWNING 1911-22 A1 TAN FS,S,22 LR",1.0,690.0,515.0,25.36000061
51498490,BROWNING BM CAMPER UFX 22 LR,1.0,475.0,395.0,16.84000015
51507490,"BROWNING BM CNTR SS 5.5"" URX 22LR",1.0,695.0,520.0,25.18000031
BM90831,BUSHMASTER XM15 PATROLMAN 223/5.56,1.0,1500.0,1095.0,27.0
G17GEN4FS,GLOCK 17 GEN 4 FIXED SIGHTS,1.0,1035.0,875.0,15.46000004
G21GEN4FS,GLOCK 21 GEN 4 FIXED SIGHTS,1.0,1175.0,950.0,19.14999962
G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,1065.0,875.0,17.84000015
RUG5027,RUGER RDHWK 45 COLT SS,2.0,1495.0,1075.0,28.09000015
1911-22-OD-TB,SIG 1911 22 OD TB,3.0,699.0,399.0,42.91999817
1911-22-C1,SIG SAUER 1911 22 C1 CAMO,1.0,699.0,399.0,42.91999817
W227R-45-BSS,SIG SAUER P227R 45 ACP,1.0,1325.0,1150.0,13.21000004
Centrefire Rifles,,,,,
35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75,15.00000095
34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75,15.00000095
34018116,BROWNING BLR SS 7MM-08 REM,1.0,1225.0,1041.25,15.00000095
35299226,BROWNING X-BLT ECLP HUNT 30/06 SPRG,1.0,1175.0,998.75,15.00000095
35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1265.0,1075.25,15.00000095
35336209,BROWNING X-BLT SS 22-250 REM,1.0,1325.0,1126.25,15.00000095
35202248,BROWNING X-BLT SS 270 WSM,1.0,1375.0,1168.75,15.00000095
35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1375.0,1168.75,15.00000095
35202246,BROWNING X-BLT SS 300 WSM,2.0,1375.0,1168.75,15.00000095
35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
35202216,BROWNING X-BLT SS 7mm-08 REM,1.0,1325.0,1126.25,15.00000095
35335209,BROWNING X-BLT STLKR 22-250 REM,1.0,999.0,849.15,15.00000095
35201246,BROWNING X-BLT STLKR 300 WSM,2.0,1050.0,892.5,15.00000095
EDGE300,FIERCE EDGE 300 WIN MAG,1.0,3350.0,2500.0,25.37000084
K3000814,KIMBER MONTANA 280 ACK. IMP.,1.0,2099.0,1700.0,19.01000023
K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2975.0,2400.0,19.32999992
NOS32948,NOSLER 48 LIBERTY 26 NOSLER,1.0,2295.0,1900.0,17.20999908
NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,2295.0,1900.0,17.20999908
NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2.0,2295.0,1900.0,17.20999908
R84078,REM 700 CDL DM 7mm REM MAG,1.0,1150.0,695.0,39.56999969
R27107,REM 700 CDL LH 30-06,1.0,1150.0,695.0,39.56999969
R27273,REM 700 SPS SS 300 WIN,1.0,960.0,785.0,18.22999954
R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0,18.22999954
JRS2Q41,SAKO 85 FINNLIGHT 300 WSM,1.0,2300.0,1950.0,15.22000027
JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,2300.0,1950.0,15.22000027
JRS1B34,SAKO 85 SS/SYN 338 WIN MAG,1.0,2300.0,1950.0,15.22000027
SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,500.0,375.0,25.0
SAV19579,SAVAGE AXIS WEB 7mm-08 REM,1.0,500.0,375.0,25.0
SAV22420,SAVAGE AXIS XP 243 WIN,1.0,500.0,425.0,15.0
SAV19234,SAVAGE AXIS XP 30-06 SPRG,2.0,500.0,425.0,15.0
SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,600.0,500.0,16.67000008
SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,500.0,16.67000008
JRTV141,TIKKA T3 CAMO STAINLESS 300 WSM,2.0,1125.0,895.0,20.44000053
JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,1080.0,845.0,21.76000023
TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,1185.0,845.0,28.69000053
TTT71RL103,TIKKA T3 SS FLUTED 300 WSM,1.0,1050.0,845.0,19.52000046
T1T11LL103S,TIKKA T3 SYN 223 REM,1.0,840.0,675.0,19.63999939
TS3203100,TIKKA T3 SYN 300 WIN MAG,1.0,840.0,675.0,19.63999939
TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0,19.63999939
Rimfire Rifles,,,,,
21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,830.0,725.0,12.64999962
H003T,HENRY PUMP 22LR OCT,1.0,680.0,480.0,29.40999985
RUG1121,RUGER 10/22-T 22LR,1.0,775.0,600.0,22.57999992
SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,450.0,360.0,20.0
SAV40203,SAVAGE 64F 22 LR,,210.0,168.0,20.0
SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,225.0,180.0,20.0
SAV40001,SAVAGE 64F SEMI 22LR,1.0,230.0,184.0,20.0
SAV45110,SAVAGE 64FV-SR SEMI 22LR,2.0,315.0,252.0,20.0
SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,599.0,479.2,20.0
SAV96712,SAVAGE 93R17 FSSNS 17 HMR,1.0,445.0,356.0,20.0
SAV96703,SAVAGE 93R17 FVSS 17 HMR,2.0,570.0,456.0,20.0
