School,Item ,Qty,Unit Price,Total Price
Kiser,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,15.0,,
,5,15.0,,
,,,0.0,
Belle Haven,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,14.0,,
,5,14.0,,
,,,0.0,
,,,,
Wogaman,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,14.0,,
,5,14.0,,
,,,0.0,
Cleveland,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,14.0,,
,5,14.0,,
,,,0.0,
Stivers School for the Arts,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,16.0,,0.0
,5,16.0,,0.0
,,,0.0,
Rosa Parks PK,,,,
,0,1.0,,
,1,1.0,,
,2,3.0,,
,4,14.0,,0.0
,5,14.0,,0.0
,,,0.0,
Thurgood Marshall,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,6.0,,0.0
,5,6.0,,0.0
,,,0.0,
,,,,
Louise Troy PK-8,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,12.0,,0.0
,5,12.0,,0.0
,,,0.0,
Ruskin PK-8,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,12.0,,0.0
,5,12.0,,0.0
,,,0.0,
Westwood,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,10.0,,0.0
,5,12.0,,0.0
,,,0.0,
,,,,
Kemp PK-8,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,12.0,,0.0
,5,12.0,,0.0
,,,0.0,
,,,,
Horace Mann PK-8,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,4.0,,0.0
,5,4.0,,0.0
,,,0.0,
,,,,
Edwin Joel Brown,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,14.0,,0.0
,5,14.0,,0.0
,,,,
,,,0.0,
,,,,
,,,,
Dunbar High School,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,4,6.0,,0.0
,5,6.0,,0.0
,,,0.0,
,,,,
David H. Ponitz CTC,,,,
,0,1.0,,
,1,1.0,,
,2,4.0,,
,4,8.0,,0.0
,5,8.0,,0.0
,,,0.0,
Longfellow Academy,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,14.0,,
,5,14.0,,
,,,1.0,
Valerie,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,2.0,,
,5,2.0,,
,,,1.0,
Gardendale,,,,
,0,1.0,,
,1,1.0,,
,2,1.0,,
,3,1.0,,
,4,2.0,,
,5,2.0,,
,,,1.0,
Jackson Center,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,10.0,,
,5,10.0,,
,,,1.0,
Ludlow I,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,15.0,,
,,,1.0,
,,,,
Ludlow I NOC,,,,
,WS-X6716-10G-3C,1.0,,0.0
,6,16.0,,0.0
,4900M,3.0,,0.0
,WS-4908-10G-RJ45,6.0,,0.0
,X2-10GB-T,18.0,,0.0
,,,,0.0
,,,1.0,
Service Building,,,,
,0,1.0,,
,1,1.0,,
,2,2.0,,
,3,1.0,,
,4,6.0,,
,5,6.0,,
,,,1.0,
Transportation,,,,
,0,1.0,,
,1,1.0,,
,2,1.0,,
,3,1.0,,
,,,1.0,
,,,,
Welcome Stadium,,,,
,0,1.0,,
,1,1.0,,
,2,1.0,,
,3,1.0,,
,4,6.0,,
,5,6.0,,
,,,1.0,
Meadowdale HS,,,,
,2,3.0,,
,4,5.0,,
,,,2.0,
Meadowdale PK-8,,,,
,2,3.0,,
,4,13.0,,
,,,,
,,,2.0,
Charity Adams,,,,
,2,2.0,,
,(5) LC SFP+ transceivers,12.0,,
,,,2.0,
Dayton Boys Prep Academy,,,,
,2,3.0,,
,4,19.0,,
,,,2.0,
Eastmont PK-8,,,,
,2,3.0,,
,4,16.0,,
,,,2.0,
Edison PK-8,,,,
,2,3.0,,
,4,20.0,,
,,,2.0,
,,,,
World of Wonder,,,,
,2,3.0,,
,4,12.0,,
,,,2.0,
Wright Brothers,,,,
,2,3.0,,
,4,13.0,,
,5,13.0,,
,,,2.0,
,,,,
Fairview ,,,,
,2,3.0,,
,4,15.0,,
,,,2.0,
River's Edge,,,,
,WS-X4606-X2-E,4.0,,0.0
,6,18.0,,0.0
,OneX converter modules,5.0,,0.0
,SC-to-SC fiber patch cables,18.0,,0.0
