Subtitle,Item ,Qty,Unit Price,Total Price
Kiser,0,1.0,,
Kiser,1,1.0,,
Kiser,2,2.0,,
Kiser,3,1.0,,
Kiser,4,15.0,,
Kiser,5,15.0,,
Kiser,,,0.0,
Belle Haven,0,1.0,,
Belle Haven,1,1.0,,
Belle Haven,2,2.0,,
Belle Haven,3,1.0,,
Belle Haven,4,14.0,,
Belle Haven,5,14.0,,
Belle Haven,,,0.0,
Belle Haven,,,,
Wogaman,0,1.0,,
Wogaman,1,1.0,,
Wogaman,2,2.0,,
Wogaman,3,1.0,,
Wogaman,4,14.0,,
Wogaman,5,14.0,,
Wogaman,,,0.0,
Cleveland,0,1.0,,
Cleveland,1,1.0,,
Cleveland,2,2.0,,
Cleveland,3,1.0,,
Cleveland,4,14.0,,
Cleveland,5,14.0,,
Cleveland,,,0.0,
Stivers School for the Arts,0,1.0,,
Stivers School for the Arts,1,1.0,,
Stivers School for the Arts,2,2.0,,
Stivers School for the Arts,4,16.0,,0.0
Stivers School for the Arts,5,16.0,,0.0
Stivers School for the Arts,,,0.0,
Rosa Parks PK,0,1.0,,
Rosa Parks PK,1,1.0,,
Rosa Parks PK,2,3.0,,
Rosa Parks PK,4,14.0,,0.0
Rosa Parks PK,5,14.0,,0.0
Rosa Parks PK,,,0.0,
Thurgood Marshall,0,1.0,,
Thurgood Marshall,1,1.0,,
Thurgood Marshall,2,2.0,,
Thurgood Marshall,4,6.0,,0.0
Thurgood Marshall,5,6.0,,0.0
Thurgood Marshall,,,0.0,
Thurgood Marshall,,,,
Louise Troy PK-8,0,1.0,,
Louise Troy PK-8,1,1.0,,
Louise Troy PK-8,2,2.0,,
Louise Troy PK-8,4,12.0,,0.0
Louise Troy PK-8,5,12.0,,0.0
Louise Troy PK-8,,,0.0,
Ruskin PK-8,0,1.0,,
Ruskin PK-8,1,1.0,,
Ruskin PK-8,2,2.0,,
Ruskin PK-8,4,12.0,,0.0
Ruskin PK-8,5,12.0,,0.0
Ruskin PK-8,,,0.0,
Westwood,0,1.0,,
Westwood,1,1.0,,
Westwood,2,2.0,,
Westwood,4,10.0,,0.0
Westwood,5,12.0,,0.0
Westwood,,,0.0,
Westwood,,,,
Kemp PK-8,0,1.0,,
Kemp PK-8,1,1.0,,
Kemp PK-8,2,2.0,,
Kemp PK-8,4,12.0,,0.0
Kemp PK-8,5,12.0,,0.0
Kemp PK-8,,,0.0,
Kemp PK-8,,,,
Horace Mann PK-8,0,1.0,,
Horace Mann PK-8,1,1.0,,
Horace Mann PK-8,2,2.0,,
Horace Mann PK-8,4,4.0,,0.0
Horace Mann PK-8,5,4.0,,0.0
Horace Mann PK-8,,,0.0,
Horace Mann PK-8,,,,
Edwin Joel Brown,0,1.0,,
Edwin Joel Brown,1,1.0,,
Edwin Joel Brown,2,2.0,,
Edwin Joel Brown,4,14.0,,0.0
Edwin Joel Brown,5,14.0,,0.0
Edwin Joel Brown,,,,
Edwin Joel Brown,,,0.0,
Edwin Joel Brown,,,,
Edwin Joel Brown,,,,
Dunbar High School,0,1.0,,
Dunbar High School,1,1.0,,
Dunbar High School,2,2.0,,
Dunbar High School,4,6.0,,0.0
Dunbar High School,5,6.0,,0.0
Dunbar High School,,,0.0,
Dunbar High School,,,,
David H. Ponitz CTC,0,1.0,,
David H. Ponitz CTC,1,1.0,,
David H. Ponitz CTC,2,4.0,,
David H. Ponitz CTC,4,8.0,,0.0
David H. Ponitz CTC,5,8.0,,0.0
David H. Ponitz CTC,,,0.0,
Longfellow Academy,0,1.0,,
Longfellow Academy,1,1.0,,
Longfellow Academy,2,2.0,,
Longfellow Academy,3,1.0,,
Longfellow Academy,4,14.0,,
Longfellow Academy,5,14.0,,
Longfellow Academy,,,1.0,
Valerie,0,1.0,,
Valerie,1,1.0,,
Valerie,2,2.0,,
Valerie,3,1.0,,
Valerie,4,2.0,,
Valerie,5,2.0,,
Valerie,,,1.0,
Gardendale,0,1.0,,
Gardendale,1,1.0,,
Gardendale,2,1.0,,
Gardendale,3,1.0,,
Gardendale,4,2.0,,
Gardendale,5,2.0,,
Gardendale,,,1.0,
Jackson Center,0,1.0,,
Jackson Center,1,1.0,,
Jackson Center,2,2.0,,
Jackson Center,3,1.0,,
Jackson Center,4,10.0,,
Jackson Center,5,10.0,,
Jackson Center,,,1.0,
