Artikelnr.,Unnamed: 1,"Verwijderings
bijdrage",Brutoprijs,Unnamed: 4,Unnamed: 5
SENSORLAMPEN BUITEN,,,,,
650513,,,44.4,,
650612,,,44.4,,
657512,,,72.2,,
657413,,,65.3,,
657819,,,61.6,,
657918,,,61.6,,
617813,,,61.7,,
617912,,,61.7,,
645311,,,133.6,,
644413,,,107.9,,
644512,,,107.9,,
35693,,,75.0,,
566814,,,71.6,,
35709,,,75.0,,
9816,,,71.6,,
634216,,,53.4,,
634315,,,53.4,,
5535,,,38.3,,
5917,,,38.3,,
35723,,,41.8,,
SENSORLAMPEN BUITEN LED,,,,,
10454,,0.36,132.7,,
10461,,0.36,115.4,,
33224,,0.36,132.7,,
33231,,0.36,132.7,,
33248,,0.36,125.8,,
33255,,0.36,125.8,,
7874,,0.36,180.6,,
7898,,0.06,162.5,,
35716,,0.36,162.5,,
20378,,0.36,171.9,,
20385,,0.36,171.9,,
20392,,0.06,160.4,,
20408,,0.06,160.4,,
53185,,0.06,109.6,,
53192,,0.06,109.6,,
671419,,0.36,193.1,,
9847,,0.36,207.6,,
671310,,0.36,207.6,,
671327,,0.36,216.5,,
7171,,0.36,198.5,,
576318,,0.06,109.6,,
576219,,0.06,121.1,,
576202,,0.06,121.1,,
56483,,0.36,115.4,,
56490,,0.36,115.4,,
649715,,0.06,77.1,,
53161,,0.06,98.1,,
53178,,0.06,98.1,,
SENSORLAMPEN BUITEN PLAFOND,,,,,
760113,,0.64,91.8,,
57602,,0.36,125.8,,
35440,,0.36,125.8,,
CAMERA LAMP                      ,,,,,
52997,,0.36,225.0,,
TUINVERLICHTING         ,,,,,
55493,,0.06,160.4,,
55509,,0.06,160.4,,
55516,,0.06,160.4,,
55523,,0.06,160.4,,
55530,,0.06,160.4,,
55547,,0.06,160.4,,
55479,,0.36,183.4,,
55486,,0.36,183.4,,
7881,,0.36,221.3,,
SENSORSPOTS BUITEN,,,,,
58616,,0.36,74.2,,
58623,,0.36,56.0,,
58630,,0.3,98.9,,
58647,,0.36,147.1,,
58654,,0.36,159.5,,
58661,,0.36,139.2,,
58678,,0.36,115.0,,
58685,,0.36,111.2,,
58692,,0.36,86.5,,
